coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome
0.00554266845058904,0.0428740625586248,0.0141442809722396,0.0430886353662577,0.695156931161744,0.319726440194466,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.0221801222550006,0.0332654591561787,-0.0415796627592403,0.12732778787649,enrol_2_ontime_all_0914
-0.0154800948249827,-0.0321123651667978,0.00805168311565817,0.024553929566557,0.0545314143875363,0.19093098379015,21324,14155,1,1,1,16,TRUE,FALSE,*,"",-0.0312613937316727,0.000301204081707324,-0.0802380671172496,0.0160133367836539,enrol_2_anytime_all_0914
0.003072559975835,0.0141165564412376,0.0167019690343531,0.0506055834519974,0.85404174629688,0.780281241040836,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.029663299331497,0.035808419283167,-0.0850703871246773,0.113303500007152,enrol_3_ontime_all_0914
-0.011513821838959,-0.0195307979456247,0.012352516971704,0.0379003317798195,0.351283142511895,0.606329444308844,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.0357247551034989,0.0126971114255809,-0.093815448234071,0.0547538523428215,enrol_3_anytime_all_0914
0.0376647392667735,0.0454121910889498,0.0522273701916866,0.153694932812559,0.47080579043993,0.767635118395848,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.0647009063089323,0.140030384842479,-0.255829877223666,0.346654259401566,quality
0.0243843281878071,0.0536502227009095,0.0533676760524579,0.157983987206165,0.647734344373439,0.734163209925894,20144,13674,1,1,1,16,TRUE,FALSE,"","",-0.0802163168750105,0.128984973250625,-0.255998392223174,0.363298837624992,quality_bacyear_plus1
0.0322278334619952,-0.0654549292793831,0.0524625576705545,0.156498310000942,0.539016041106665,0.675766626065459,17499,12780,1,1,1,16,TRUE,FALSE,"","",-0.0705987795722915,0.135054446496282,-0.372191616881229,0.241281758322463,quality_bacyear_plus2
0.0175549947333984,0.141226943891786,0.0830690891379812,0.247452720827945,0.832629736141868,0.568187467319975,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.145260419977045,0.180370409443842,-0.343780388930986,0.626234276714557,tot_enrol_yrs
-0.0599782502553783,-0.152564487868322,0.0455328530047359,0.138620426888945,0.187754105787818,0.271074410252825,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.149222642144661,0.029266141633904,-0.424260524570654,0.119131548834011,max_enrol_degetu
-0.0248435190097285,-0.067474781681532,0.0171390415806352,0.0517448466985452,0.147190213659701,0.192236866535961,17676,12827,1,1,1,16,TRUE,FALSE,"","",-0.0584360405077735,0.0087490024883165,-0.168894681210681,0.0339451178476166,grad_5_all
-0.0204672415966876,-0.0464899339196669,0.0142753479881359,0.0431523240128152,0.151644389625623,0.281326233775087,17676,12827,1,1,1,16,TRUE,FALSE,"","",-0.0484469236534339,0.00751244046005875,-0.131068488984785,0.0380886211454509,grad_7_all
-0.0208474247290931,-0.0351971801898436,0.0133761447470111,0.0403129127877415,0.119102317121832,0.382608897905264,17676,12827,1,1,1,16,TRUE,FALSE,"","",-0.0470646684332349,0.00536981897504878,-0.114210489253817,0.0438161288741297,grad_9_all
-7.80946785643857,-21.7700489475695,4.80427872417045,14.6758659281978,0.104051065586164,0.137970529851379,13659,9213,1,1,1,16,TRUE,FALSE,"","",-17.2258541558127,1.6069184429355,-50.5347461668372,6.99464827169815,max_ects_credits
-0.023516765108456,-0.0577845831697967,0.0156963436038927,0.0475338492421029,0.134072970459995,0.224117802846011,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.0542815985720858,0.00724806835517372,-0.150950927684318,0.0353817613447249,master_anytime_all
-0.0120341087777229,-0.0626275045042963,0.0156437186987338,0.0467228896662504,0.441738153465535,0.180114339876929,21324,14155,1,1,1,16,TRUE,FALSE,"","",-0.0426957974272411,0.0186275798717952,-0.154204368250147,0.0289493592415545,master_select_anytime_all
0.0604505385947931,0.0532534830198443,0.0557105125660659,0.165842912741362,0.277884828475692,0.748128561694226,13776,10435,1,1,1,16,TRUE,FALSE,"","",-0.048742066034696,0.169643143224282,-0.271798625953224,0.378305591992913,quality_first_grad_degree
