coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome
-0.00374761165085147,0.0181116262092131,0.0172722451713128,0.052795007887565,0.828229350527962,0.731556588304782,14478,9970,1,1,1,16,TRUE,FALSE,"","",-0.0376012121866246,0.0301059888849217,-0.0853665892504143,0.121589841668841,enrol_2_ontime_all_0914
-0.0218634343598816,-0.0430460259194621,0.00958624092585432,0.029432248097455,0.0225656203370666,0.143591563023995,14478,9970,1,1,1,16,TRUE,FALSE,**,"",-0.0406524665745561,-0.00307440214520712,-0.100733232190474,0.0146411803515498,enrol_2_anytime_all_0914
0.00772581162524921,0.0171448926558242,0.0201091857771699,0.0612136556182348,0.700835287695012,0.779413973002884,14478,9970,1,1,1,16,TRUE,FALSE,"","",-0.0316881924980039,0.0471398157485023,-0.102833872355916,0.137123657667564,enrol_3_ontime_all_0914
-0.0131870533888789,-0.0131014873467477,0.0143241895562362,0.0445090983735923,0.357251846446959,0.768486448454716,14478,9970,1,1,1,16,TRUE,FALSE,"","",-0.0412624649191019,0.0148883581413441,-0.100339320158989,0.0741363454654933,enrol_3_anytime_all_0914
0.0411987690665967,-0.0476650367945766,0.0640485721578573,0.190096131512967,0.520066705468765,0.802013779267106,14478,9970,1,1,1,16,TRUE,FALSE,"","",-0.0843364323628037,0.166733970495997,-0.420253454559992,0.324923380970839,quality
0.047436884077257,0.0415274489424533,0.0649978564886859,0.193388480741033,0.465498821413494,0.829973233363511,13698,9647,1,1,1,16,TRUE,FALSE,"","",-0.0799589146405673,0.174832682795081,-0.337513973309971,0.420568871194877,quality_bacyear_plus1
0.0303585266112734,-0.0484443533938261,0.062514392409721,0.18694733449125,0.627233353818898,0.795532088311569,12160,9124,1,1,1,16,TRUE,FALSE,"","",-0.0921696825117798,0.152886735734327,-0.414861128996675,0.317972422209023,quality_bacyear_plus2
0.102065002617064,0.338939481252611,0.0983349343159209,0.29311014067816,0.299301583763341,0.247535834243386,14478,9970,1,1,1,16,TRUE,FALSE,"","",-0.0906714686421414,0.294801473876268,-0.235556394476582,0.913435356981804,tot_enrol_yrs
-0.0460088697883254,-0.151189808862075,0.0536248576339924,0.164647007712321,0.390905418033199,0.358479433111304,14478,9970,1,1,1,16,TRUE,FALSE,"","",-0.151113590750951,0.0590958511742997,-0.473897943978225,0.171518326254075,max_enrol_degetu
-0.0374714810441652,-0.0973687902855744,0.0201524753610258,0.0606833595995548,0.0629706842063555,0.108595392482788,12657,9287,1,1,1,16,TRUE,FALSE,*,"",-0.0769703327517757,0.00202737066344531,-0.216308175100702,0.021570594529553,grad_5_all
-0.0314490777854362,-0.0960535860273235,0.0167135873996821,0.0500878654849906,0.0598839099063687,0.0551488429311212,12657,9287,1,1,1,16,TRUE,FALSE,*,*,-0.0642077090888131,0.00130955351794075,-0.194225802377905,0.00211863032325801,grad_7_all
-0.0290523969841119,-0.0654547737364473,0.0156748432916732,0.046834829583659,0.063819177533102,0.162243381099986,12657,9287,1,1,1,16,TRUE,FALSE,*,"",-0.0597750898357913,0.00167029586756749,-0.157251039720419,0.0263414922475243,grad_9_all
-5.31900407232388,-18.4677052432443,5.75243670821843,17.6263604613427,0.355146777209321,0.294762012387755,9534,6550,1,1,1,16,TRUE,FALSE,"","",-16.593780020432,5.95577187578424,-53.015371747476,16.0799612609874,max_ects_credits
-0.0296100594341719,-0.0962912145789205,0.0186246114486376,0.0564971661542128,0.111871998774461,0.0883148286118532,14478,9970,1,1,1,16,TRUE,FALSE,"",*,-0.0661142978735017,0.00689417900515778,-0.207025660241178,0.0144432310833366,master_anytime_all
-0.0124850525460767,-0.0825547516405165,0.0191594045900424,0.0572963822674075,0.514632826288416,0.149630717526787,14478,9970,1,1,1,16,TRUE,FALSE,"","",-0.0500374855425597,0.0250673804504064,-0.194855660884635,0.0297461576036023,master_select_anytime_all
0.0916627811888233,0.120870165189608,0.0661906923036729,0.196951750571053,0.166104802967539,0.539410649152225,9712,7459,1,1,1,16,TRUE,FALSE,"","",-0.0380709757263755,0.221396538104022,-0.265155265929656,0.506895596308872,quality_first_grad_degree
