coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome
0.0272437659817835,0.0980027123310512,0.024569153408001,0.074457333866134,0.267490326700037,0.188098048110908,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.0209117746978986,0.0753993066614655,-0.0479336620465715,0.243939086708674,enrol_2_ontime_all_0914
-0.00198136803725335,-0.00937086900736395,0.0147752765999819,0.0445099152412112,0.893323315263818,0.833250593525621,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.0309409101732179,0.0269781740987112,-0.0966103028801378,0.0778685648654099,enrol_2_anytime_all_0914
-0.0093367023916171,0.00190248409682137,0.0298581709419377,0.0895849527759025,0.754507263698178,0.983056880092824,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.0678587174378151,0.0491853126545809,-0.173684023343948,0.17748899153759,enrol_3_ontime_all_0914
-0.011243103650139,-0.0399445805170773,0.023613329081032,0.0710610902977428,0.633979072104225,0.574036942888998,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.0575252286489616,0.0350390213486836,-0.179224317500653,0.0993351564664986,enrol_3_anytime_all_0914
0.0122123824185465,0.216714107166435,0.0892848631712755,0.257743952728777,0.891204703058055,0.40045348348528,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.162785949397153,0.187210714234246,-0.288464040181968,0.721892254514838,quality
-0.0393232063803843,0.0648131500557625,0.093171339466237,0.273061063049829,0.672986622129278,0.812379290771116,6446,4027,1,1,1,16,TRUE,FALSE,"","",-0.221939031734209,0.14329261897344,-0.470386533521902,0.600012833633427,quality_bacyear_plus1
0.0287274858884246,-0.116502081594106,0.0967284609768864,0.287021033406869,0.766473352379645,0.684815453054213,5339,3656,1,1,1,16,TRUE,FALSE,"","",-0.160860297626273,0.218315269403122,-0.679063307071569,0.446059143883356,quality_bacyear_plus2
-0.180987941228114,-0.313690011810303,0.153759806326621,0.458048301502556,0.239162672670242,0.493444597621868,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.482357161628292,0.120381279172063,-1.21146468275531,0.584084659134706,tot_enrol_yrs
-0.103672370629125,-0.181303036490766,0.0847272154982101,0.254302968966027,0.221102492567758,0.47588220983735,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.269737713005617,0.0623929717473666,-0.67973685566418,0.317130782682648,max_enrol_degetu
0.00562534483561628,0.00359364054719191,0.0325011153808991,0.098826032883334,0.86258729297185,0.970992678255157,5019,3540,1,1,1,16,TRUE,FALSE,"","",-0.058076841310946,0.0693275309821785,-0.190105383904143,0.197292664998526,grad_5_all
-0.000325252817741539,0.0397735898771059,0.0255871178516662,0.0786204881655931,0.989857895899015,0.612931451805235,5019,3540,1,1,1,16,TRUE,FALSE,"","",-0.0504760038070072,0.0498254981715242,-0.114322566927457,0.193869746681668,grad_9_all
-13.5825820240533,-29.6291600022904,8.69319420084098,26.2658171970071,0.118184703885119,0.259298724560295,4125,2663,1,1,1,16,TRUE,FALSE,"","",-30.6212426577016,3.45607860959503,-81.1101617084243,21.8518417038435,max_ects_credits
-0.0142942309791629,0.0158835212319495,0.0288134856679566,0.0869214572760555,0.619827269036943,0.855006595417222,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.070768662888358,0.0421802009300321,-0.154482535029119,0.186249577493018,master_anytime_all
-0.0134509885572324,-0.0247247695031894,0.0269705210577674,0.0804671022977039,0.617970114188779,0.758641245249918,6846,4185,1,1,1,16,TRUE,FALSE,"","",-0.0663132098304565,0.0394112327159917,-0.182440290006689,0.13299075100031,master_select_anytime_all
-0.0151741117733692,-0.11059412080958,0.103265436019781,0.307781922954525,0.8831771731717,0.719351047398138,4064,2976,1,1,1,16,TRUE,FALSE,"","",-0.217574366372141,0.187226142825402,-0.713846689800448,0.492658448181289,quality_first_grad_degree
