coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome
-0.00149205646011907,-0.00524269140341027,0.0188161866787784,0.0228896106721471,0.93679684452937,0.818835960141135,13109,9559,1,0.935234029273943,1.88025675647497,16,TRUE,FALSE,"","",-0.0383717823505248,0.0353876694302866,-0.0501063283208186,0.0396209455139981,enrol_2_ontime_all_0914
-0.0231734364879377,-0.0268711113931834,0.0101638435891536,0.0117072497815738,0.0226084289611422,0.0217185745750353,13770,9767,1,0.954094668592976,2.09121950831418,16,TRUE,FALSE,**,**,-0.0430945699226787,-0.00325230305319662,-0.0498173209650681,-0.0039249018212988,enrol_2_anytime_all_0914
0.0102284598544169,0.0103032772555116,0.0248327372194597,0.0307184517528678,0.680416989163458,0.737315792296556,11149,8965,1,0.854752143353857,1.6922433523469,16,TRUE,FALSE,"","",-0.0384437050957242,0.058900624804558,-0.0499048881801093,0.0705114426911325,enrol_3_ontime_all_0914
-0.00918827642798714,-0.0106352967772176,0.01190553052898,0.0146377050474964,0.44025339303776,0.467490273064056,19096,11224,1,1.16921385699729,2.26746148722633,16,TRUE,FALSE,"","",-0.0325231162647879,0.0141465634088136,-0.0393251986703106,0.0180546051158754,enrol_3_anytime_all_0914
0.0406873788611719,0.017505494669507,0.0647321828721129,0.0755364287132556,0.529644053847807,0.81673294141425,14478,9970,1,0.990632139904468,2.08782468626018,16,TRUE,FALSE,"","",-0.0861876995681693,0.167562457290513,-0.130545905608474,0.165556894947488,quality
0.0434318957873572,0.0217813888149649,0.0704912744077848,0.0841416857569915,0.53780772288666,0.795738933130864,12417,9243,1,0.935668378692871,1.93259072484532,16,TRUE,FALSE,"","",-0.0947310020519011,0.181594793626615,-0.143136315268738,0.186699092898668,quality_bacyear_plus1
0.0383764181901505,0.0310388801944441,0.0518476761595081,0.0639757437913239,0.459193060335406,0.627558326443244,16212,10441,1,1.18634590491571,2.25608788977285,16,TRUE,FALSE,"","",-0.0632450270824854,0.139997863462786,-0.0943535776365508,0.156431338025439,quality_bacyear_plus2
0.12317070270699,0.117152999894548,0.113662685439624,0.141139593235975,0.278519491162295,0.406510192217976,11929,9355,1,0.891030659318591,1.74363912383847,16,TRUE,FALSE,"","",-0.099608160754673,0.345949566168652,-0.159480602847963,0.393786602637059,tot_enrol_yrs
-0.0606850968504791,-0.0837167752838823,0.063323883036908,0.0727443684931204,0.337897017431102,0.249800066424111,11810,9195,1,0.881432786988075,1.97832479440571,16,TRUE,FALSE,"","",-0.184799907602819,0.0634297139018606,-0.226295737530398,0.0588621869626337,max_enrol_degetu
-0.0919669165069439,-0.105014586523069,0.0478002108571904,0.0544677928881099,0.0543563907251356,0.0538535691421427,4623,6122,1,0.599258700490229,1.35667774922527,16,TRUE,FALSE,*,*,-0.185655329787037,0.00172149677314937,-0.211771460583764,0.00174228753762674,grad_5_all
-0.0255501944649736,-0.0268801038593931,0.0141875459882218,0.0175396808561119,0.0717203886964374,0.125391464807127,16593,10489,1,1.16106958213439,2.20492120658968,16,TRUE,FALSE,*,"",-0.0533577846018884,0.00225739567194109,-0.0612578783373725,0.00749767061858631,grad_7_all
-0.0261472434575445,-0.0282817789993417,0.0137724379168342,0.0169398289064334,0.0576276670789923,0.0950097432054614,15571,10152,1,1.12209868331544,2.14358514083866,16,TRUE,FALSE,*,*,-0.0531412217745395,0.000846734859450474,-0.0614838436559511,0.00492028565726773,grad_9_all
-7.24229558413572,-7.8923766113187,6.70084809127316,8.26917961445848,0.279784829098333,0.33986458801075,7834,6148,1,0.891449667687497,1.76495040107746,16,TRUE,FALSE,"","",-20.3759578430311,5.89136667475968,-24.0999686556573,8.31521543301993,max_ects_credits
-0.0400011026179308,-0.0483032394650729,0.0229117493936135,0.0262977442460854,0.0808322793189189,0.0662419932760464,11149,8965,1,0.855695105836962,1.93215551364779,16,TRUE,FALSE,*,*,-0.0849081314294133,0.00490592619355173,-0.0998468181874001,0.00324033925725443,master_anytime_all
-0.0387780225812837,-0.049897033520065,0.0449946455744112,0.0506739491271211,0.388777560849382,0.32478700750203,5360,6795,1,0.603187718632041,1.39454660335248,16,TRUE,FALSE,"","",-0.12696752790713,0.0494114827445623,-0.149217973809222,0.0494239067690923,master_select_anytime_all
0.0936486696444661,0.0882934229642842,0.0928388540269752,0.1149753950491,0.313107589590721,0.442526872359964,6294,6180,1,0.777902084169174,1.55936693753913,16,TRUE,FALSE,"","",-0.0883154842484054,0.275612823537337,-0.137058351331952,0.313645197260521,quality_first_grad_degree
