coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome
0.00320265838762479,0.0991827310946929,0.02827977122111,0.0884774465542436,0.909833076895362,0.262290202912864,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.0522256932057508,0.0586310099810004,-0.0742330641516247,0.27259852634101,enrol_2_ontime_all_0914
-0.0153033730351702,-0.0360267980785411,0.0155931297414906,0.048937192835303,0.326386816707827,0.461618482990701,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.0458659073284917,0.0152591612581514,-0.131943696035735,0.0598900998786527,enrol_2_anytime_all_0914
0.0108651343239163,0.138361927061345,0.0311856973542208,0.097633589146867,0.727538902820138,0.156437621017391,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.0502588324903565,0.0719891011381892,-0.0529999076665138,0.329723761789205,enrol_3_ontime_all_0914
-0.0349473806854914,-0.0603594777443828,0.0216297797611502,0.0681909779636827,0.106157735656557,0.376073887943142,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.0773417490173458,0.00744698764636295,-0.194013794553201,0.0732948390644352,enrol_3_anytime_all_0914
-0.248735662321323,-0.49936147145597,0.111411463892885,0.344632295974186,0.0255762654085337,0.147346273887811,5544,5485,1,1,1,16,TRUE,FALSE,**,"",-0.467102131551377,-0.0303691930912688,-1.17484077156537,0.176117828653435,quality
-0.1343471495912,-0.0910802709265894,0.11407346815593,0.351648327051297,0.238906346733716,0.795627880860649,5227,5273,1,1,1,16,TRUE,FALSE,"","",-0.357931147176822,0.0892368479944222,-0.780310991947131,0.598150450093952,quality_bacyear_plus1
-0.151211915913962,-0.0180658055284155,0.10941189780051,0.337683024909039,0.166958587019948,0.957334088197026,4800,5028,1,1,1,16,TRUE,FALSE,"","",-0.365659235602962,0.0632354037750388,-0.679924534350131,0.6437929232933,quality_bacyear_plus2
0.0684770214370847,0.602358860273768,0.146048442197027,0.457576797107409,0.639166044234695,0.188036329427938,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.217777925269089,0.354731968143259,-0.294491662056753,1.49920938260429,tot_enrol_yrs
-0.0607233134946235,0.155603812876876,0.0809355420904119,0.252951770355452,0.453093562770471,0.538454277334041,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.219356975991831,0.0979103490025839,-0.340181657019809,0.651389282773562,max_enrol_degetu
-0.0343436391469345,-0.000197890924543476,0.0307354172521407,0.0961415934682665,0.263824949410683,0.998357693104219,5048,5207,1,1,1,16,TRUE,FALSE,"","",-0.0945850569611302,0.0258977786672612,-0.188635414122346,0.188239632273259,grad_5_all
-0.0198235480875817,0.0114947265899157,0.0250691248081811,0.0794917794276438,0.429086687765137,0.885024558826236,5048,5207,1,1,1,16,TRUE,FALSE,"","",-0.0689590327116167,0.0293119365364533,-0.144309161088266,0.167298614268098,grad_7_all
-0.0037687937977231,0.0868242683391927,0.0239761545271619,0.0769247190947004,0.875095698605365,0.259028041456124,5048,5207,1,1,1,16,TRUE,FALSE,"","",-0.0507620566709603,0.0432244690755141,-0.0639481810864202,0.237596717764805,grad_9_all
-15.9704752170557,-2.8156859444789,8.78835548943624,27.2950240039427,0.0691816947087466,0.917837984355248,3687,3606,1,1,1,16,TRUE,FALSE,*,"",-33.1956519763507,1.25470154223938,-56.3139329922066,50.6825611032488,max_ects_credits
-0.0152950067988851,-0.000767904012853649,0.0275327478061948,0.0864317088331813,0.578538668069106,0.992911274069731,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.0692591924990269,0.0386691789012568,-0.170174053325889,0.168638245300182,master_anytime_all
-0.0113001272879492,0.024240791358864,0.030642442864819,0.0942219078953066,0.712296403279748,0.796967718985742,5544,5485,1,1,1,16,TRUE,FALSE,"","",-0.0713593153029944,0.0487590607270961,-0.160434148115937,0.208915730833665,master_select_anytime_all
-0.100937907998855,-0.272127891793225,0.111465636830247,0.342251042245625,0.365173130959231,0.426548387010194,3953,4365,1,1,1,16,TRUE,FALSE,"","",-0.31941055618614,0.11753474018843,-0.942939934594651,0.3986841510082,quality_first_grad_degree
