tau,bandwidth,power,outcome,y_mean
0.016,"(15, 17)",0.753996828189897,enrol_year_bac_all_0914,0.943976945244957
0.0165,MSE-optimal,0.616693469061396,enrol_year_bac_all_0914,0.943976945244957
0.0165,"(15, 17)",0.779302761045874,enrol_year_bac_all_0914,0.943976945244957
0.017,MSE-optimal,0.642513752377045,enrol_year_bac_all_0914,0.943976945244957
0.017,"(15, 17)",0.803048445073891,enrol_year_bac_all_0914,0.943976945244957
0.0175,MSE-optimal,0.667698229612985,enrol_year_bac_all_0914,0.943976945244957
0.0175,"(15, 17)",0.825178170978618,enrol_year_bac_all_0914,0.943976945244957
0.018,MSE-optimal,0.692147820330208,enrol_year_bac_all_0914,0.943976945244957
0.018,"(15, 17)",0.845661316372998,enrol_year_bac_all_0914,0.943976945244957
0.0185,MSE-optimal,0.715773138994151,enrol_year_bac_all_0914,0.943976945244957
0.0185,"(15, 17)",0.864491159448347,enrol_year_bac_all_0914,0.943976945244957
0.019,MSE-optimal,0.738495409742644,enrol_year_bac_all_0914,0.943976945244957
0.019,"(15, 17)",0.881683156264332,enrol_year_bac_all_0914,0.943976945244957
0.0195,MSE-optimal,0.760247158403139,enrol_year_bac_all_0914,0.943976945244957
0.0195,"(15, 17)",0.897272778965966,enrol_year_bac_all_0914,0.943976945244957
0.02,MSE-optimal,0.780972673450352,enrol_year_bac_all_0914,0.943976945244957
0.02,"(15, 17)",0.911313021672898,enrol_year_bac_all_0914,0.943976945244957
0.0205,MSE-optimal,0.800628234328847,enrol_year_bac_all_0914,0.943976945244957
0.0205,"(15, 17)",0.923871684556845,enrol_year_bac_all_0914,0.943976945244957
0.021,MSE-optimal,0.819182112062104,enrol_year_bac_all_0914,0.943976945244957
0.021,"(15, 17)",0.935028545027274,enrol_year_bac_all_0914,0.943976945244957
0.0215,MSE-optimal,0.836614353105868,enrol_year_bac_all_0914,0.943976945244957
0.0215,"(15, 17)",0.944872518568751,enrol_year_bac_all_0914,0.943976945244957
0.022,MSE-optimal,0.852916362783596,enrol_year_bac_all_0914,0.943976945244957
0.022,"(15, 17)",0.953498901420676,enrol_year_bac_all_0914,0.943976945244957
0.0225,MSE-optimal,0.8680903092062,enrol_year_bac_all_0914,0.943976945244957
0.0225,"(15, 17)",0.961006773913236,enrol_year_bac_all_0914,0.943976945244957
0.023,MSE-optimal,0.882148372209313,enrol_year_bac_all_0914,0.943976945244957
0.023,"(15, 17)",0.96749662789455,enrol_year_bac_all_0914,0.943976945244957
0.0235,MSE-optimal,0.89511186446577,enrol_year_bac_all_0914,0.943976945244957
0.0235,"(15, 17)",0.973068265323024,enrol_year_bac_all_0914,0.943976945244957
0.024,MSE-optimal,0.907010253520744,enrol_year_bac_all_0914,0.943976945244957
0.024,"(15, 17)",0.977818998708933,enrol_year_bac_all_0914,0.943976945244957
0.0245,MSE-optimal,0.917880114067431,enrol_year_bac_all_0914,0.943976945244957
0.0245,"(15, 17)",0.981842168504425,enrol_year_bac_all_0914,0.943976945244957
0.025,MSE-optimal,0.927764039387464,enrol_year_bac_all_0914,0.943976945244957
0.025,"(15, 17)",0.985225978439637,enrol_year_bac_all_0914,0.943976945244957
0.0255,MSE-optimal,0.936709539612062,enrol_year_bac_all_0914,0.943976945244957
0.0255,"(15, 17)",0.988052637684894,enrol_year_bac_all_0914,0.943976945244957
0.026,MSE-optimal,0.944767952434561,enrol_year_bac_all_0914,0.943976945244957
0.026,"(15, 17)",0.990397788901475,enrol_year_bac_all_0914,0.943976945244957
0.0265,MSE-optimal,0.951993389260208,enrol_year_bac_all_0914,0.943976945244957
0.0265,"(15, 17)",0.992330193866107,enrol_year_bac_all_0914,0.943976945244957
0.027,MSE-optimal,0.958441736665109,enrol_year_bac_all_0914,0.943976945244957
0.027,"(15, 17)",0.993911643398158,enrol_year_bac_all_0914,0.943976945244957
0.0275,MSE-optimal,0.964169729607786,enrol_year_bac_all_0914,0.943976945244957
0.0275,"(15, 17)",0.995197055632781,enrol_year_bac_all_0914,0.943976945244957
0.028,MSE-optimal,0.969234109246351,enrol_year_bac_all_0914,0.943976945244957
0.028,"(15, 17)",0.996234726015443,enrol_year_bac_all_0914,0.943976945244957
0.0285,MSE-optimal,0.973690874605038,enrol_year_bac_all_0914,0.943976945244957
0.0285,"(15, 17)",0.997066693422934,enrol_year_bac_all_0914,0.943976945244957
0.029,MSE-optimal,0.97759463383478,enrol_year_bac_all_0914,0.943976945244957
0.029,"(15, 17)",0.997729189185274,enrol_year_bac_all_0914,0.943976945244957
0.0295,MSE-optimal,0.980998057534093,enrol_year_bac_all_0914,0.943976945244957
0.0295,"(15, 17)",0.998253139126433,enrol_year_bac_all_0914,0.943976945244957
0.03,MSE-optimal,0.983951433627981,enrol_year_bac_all_0914,0.943976945244957
0.03,"(15, 17)",0.998664692709113,enrol_year_bac_all_0914,0.943976945244957
0.0305,MSE-optimal,0.98650232071047,enrol_year_bac_all_0914,0.943976945244957
0.0305,"(15, 17)",0.99898575764405,enrol_year_bac_all_0914,0.943976945244957
0.031,MSE-optimal,0.988695294584401,enrol_year_bac_all_0914,0.943976945244957
0.031,"(15, 17)",0.999234522637531,enrol_year_bac_all_0914,0.943976945244957
0.0315,MSE-optimal,0.990571781002055,enrol_year_bac_all_0914,0.943976945244957
0.0315,"(15, 17)",0.999425955085851,enrol_year_bac_all_0914,0.943976945244957
0.032,MSE-optimal,0.992169966323699,enrol_year_bac_all_0914,0.943976945244957
0.032,"(15, 17)",0.99957226432108,enrol_year_bac_all_0914,0.943976945244957
0.0325,MSE-optimal,0.993524776952544,enrol_year_bac_all_0914,0.943976945244957
0.0325,"(15, 17)",0.999683324360914,enrol_year_bac_all_0914,0.943976945244957
0.033,MSE-optimal,0.994667917943559,enrol_year_bac_all_0914,0.943976945244957
0.033,"(15, 17)",0.999767052956665,enrol_year_bac_all_0914,0.943976945244957
0.0335,MSE-optimal,0.995627961078789,enrol_year_bac_all_0914,0.943976945244957
0.0335,"(15, 17)",0.999829746048399,enrol_year_bac_all_0914,0.943976945244957
0.034,MSE-optimal,0.996430472904295,enrol_year_bac_all_0914,0.943976945244957
0.034,"(15, 17)",0.999876368538488,enrol_year_bac_all_0914,0.943976945244957
0.0345,MSE-optimal,0.997098173679783,enrol_year_bac_all_0914,0.943976945244957
0.0345,"(15, 17)",0.999910803621938,enrol_year_bac_all_0914,0.943976945244957
0.035,MSE-optimal,0.997651118846604,enrol_year_bac_all_0914,0.943976945244957
0.035,"(15, 17)",0.999936063817641,enrol_year_bac_all_0914,0.943976945244957
0.0355,MSE-optimal,0.99810689541879,enrol_year_bac_all_0914,0.943976945244957
0.0355,"(15, 17)",0.999954467391916,enrol_year_bac_all_0914,0.943976945244957
0.036,MSE-optimal,0.998480826594554,enrol_year_bac_all_0914,0.943976945244957
0.036,"(15, 17)",0.999967784120295,enrol_year_bac_all_0914,0.943976945244957
0.0365,MSE-optimal,0.998786178826035,enrol_year_bac_all_0914,0.943976945244957
0.0365,"(15, 17)",0.999977354359663,enrol_year_bac_all_0914,0.943976945244957
0.037,MSE-optimal,0.999034366533167,enrol_year_bac_all_0914,0.943976945244957
0.037,"(15, 17)",0.999984185260084,enrol_year_bac_all_0914,0.943976945244957
0.0375,MSE-optimal,0.999235150569832,enrol_year_bac_all_0914,0.943976945244957
0.0375,"(15, 17)",0.999989027686198,enrol_year_bac_all_0914,0.943976945244957
0.038,MSE-optimal,0.999396827420642,enrol_year_bac_all_0914,0.943976945244957
0.038,"(15, 17)",0.999992437086114,enrol_year_bac_all_0914,0.943976945244957
0.0385,MSE-optimal,0.999526406904827,enrol_year_bac_all_0914,0.943976945244957
0.0385,"(15, 17)",0.999994821176867,enrol_year_bac_all_0914,0.943976945244957
0.039,MSE-optimal,0.99962977687664,enrol_year_bac_all_0914,0.943976945244957
0.039,"(15, 17)",0.999996476937351,enrol_year_bac_all_0914,0.943976945244957
0.0395,MSE-optimal,0.999711854031637,enrol_year_bac_all_0914,0.943976945244957
0.0395,"(15, 17)",0.999997619032108,enrol_year_bac_all_0914,0.943976945244957
0.04,MSE-optimal,0.999776720452577,enrol_year_bac_all_0914,0.943976945244957
0.04,"(15, 17)",0.999998401446182,enrol_year_bac_all_0914,0.943976945244957
0.0405,MSE-optimal,0.999827745958914,enrol_year_bac_all_0914,0.943976945244957
0.0405,"(15, 17)",0.999998933800845,enrol_year_bac_all_0914,0.943976945244957
0.041,MSE-optimal,0.999867696664608,enrol_year_bac_all_0914,0.943976945244957
0.041,"(15, 17)",0.999999293546339,enrol_year_bac_all_0914,0.943976945244957
0.0415,MSE-optimal,0.999898830407338,enrol_year_bac_all_0914,0.943976945244957
0.0415,"(15, 17)",0.999999534992084,enrol_year_bac_all_0914,0.943976945244957
0.042,MSE-optimal,0.999922979896838,enrol_year_bac_all_0914,0.943976945244957
0.042,"(15, 17)",0.999999695935657,enrol_year_bac_all_0914,0.943976945244957
