coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,gender,mean_y,outcome,bandwidth,variable,value,value_lab,pcs_depp,exagt_name,echelon_gp,income_quint,n_obs,pct,var_group,coef_lab,ci_lower_final,ci_upper_final,outcome_lab
-0.0118119488229285,-0.0172751391820705,0.022016831150733,0.0245268944813501,0.591615580682093,0.481224455024652,5391,6818,1,0.598031959365798,1.41487125656769,16,TRUE,FALSE,"","",-0.0549649378783651,0.0313410402325081,-0.0653478523655166,0.0307975740013757,Male,0.950122649223221,enrol_year_bac_all_0914,mse,Gender,Male,Male,,,,,3669,0.422939481268012,Gender,-0.012$^{}$,-0.0653478523655166,0.0307975740013757,"Enrollment in
Bac Year"
0.00616179115725801,0.00497514997534454,0.00880670462441741,0.0108061398079892,0.484133122715085,0.645228921658036,18529,14244,1,0.937738871595876,1.86679151625694,16,TRUE,FALSE,"","",-0.0110993499066001,0.0234229322211161,-0.0162048840483143,0.0261551839990034,Female,0.939472632840591,enrol_year_bac_all_0914,mse,Gender,Female,Female,,,,,5006,0.577060518731989,Gender,0.006$^{}$,-0.0162048840483143,0.0261551839990034,"Enrollment in
Bac Year"
-0.0184753921229439,-0.0271070231765433,0.00908317717770291,0.0281469799781182,0.0419492673151787,0.335521110686141,14691,10485,1,1,1,16,TRUE,FALSE,**,"",-0.0362784193912416,-0.000672364854646206,-0.082275103933655,0.0280610575805683,Male,0.950122649223221,enrol_year_bac_all_0914,"(15, 17)",Gender,Male,Male,,,,,3669,0.422939481268012,Gender,-0.018$^{**}$,-0.0362784193912416,-0.000672364854646206,"Enrollment in
Bac Year"
0.00467930810323347,0.0285892274916342,0.00809746043699347,0.0252362903183998,0.56334950275804,0.257272323693364,20543,14872,1,1,1,16,TRUE,FALSE,"","",-0.0111917143532737,0.0205503305597407,-0.0208739015324293,0.0780523565156977,Female,0.939472632840591,enrol_year_bac_all_0914,"(15, 17)",Gender,Female,Female,,,,,5006,0.577060518731989,Gender,0.005$^{}$,-0.0111917143532737,0.0205503305597407,"Enrollment in
Bac Year"
-0.026044691589608,-0.0340710837160261,0.0229519219442485,0.0262430731566709,0.256480114734413,0.194188169090446,9854,8852,1,0.79717332306928,1.81035121293433,16,TRUE,FALSE,"","",-0.0710304586003351,0.0189410754211192,-0.0855075071031009,0.0173653396710488,Male,0.778413736713001,enrol_2_ontime_all_0914,mse,Gender,Male,Male,,,,,3669,0.422939481268012,Gender,-0.026$^{}$,-0.0855075071031009,0.0173653396710488,"Enrollment in 2nd
Year in Bac
Year + 1"
0.020431629015893,0.0167837072002546,0.0167846156266009,0.0203228614912042,0.223496520384948,0.408887175764752,19459,14550,1,0.954661359195445,1.9227549390745,16,TRUE,FALSE,"","",-0.0124662176122447,0.0533294756440307,-0.0230491013225056,0.0566165157230147,Female,0.685377546943668,enrol_2_ontime_all_0914,mse,Gender,Female,Female,,,,,5006,0.577060518731989,Gender,0.02$^{}$,-0.0230491013225056,0.0566165157230147,"Enrollment in 2nd
Year in Bac
Year + 1"
-0.0312023417956859,-0.0221612142610383,0.0166834931747687,0.0508360352891357,0.0614487874654679,0.662883787316837,14691,10485,1,1,1,16,TRUE,FALSE,*,"",-0.0639019884182326,0.00149730482686071,-0.121799843427744,0.0774774149056675,Male,0.778413736713001,enrol_2_ontime_all_0914,"(15, 17)",Gender,Male,Male,,,,,3669,0.422939481268012,Gender,-0.031$^{*}$,-0.0639019884182326,0.00149730482686071,"Enrollment in 2nd
Year in Bac
Year + 1"
0.0156430965870191,0.117889326318552,0.015815540865037,0.048760779572378,0.322615915294189,0.0156186051319997,20543,14872,1,1,1,16,TRUE,FALSE,"",**,-0.0153553635084535,0.0466415566824917,0.0223181983566907,0.213460454280413,Female,0.685377546943668,enrol_2_ontime_all_0914,"(15, 17)",Gender,Female,Female,,,,,5006,0.577060518731989,Gender,0.016$^{}$,-0.0153553635084535,0.0466415566824917,"Enrollment in 2nd
Year in Bac
Year + 1"
0.00108094026070305,-0.00582913039502597,0.0261836378109181,0.0311345845954357,0.967070250812692,0.851485287053805,10582,9116,1,0.824600359551347,1.73512282406398,16,TRUE,FALSE,"","",-0.0502389898486965,0.0524008703701026,-0.0668529162020799,0.055194655412028,Male,0.579176887435269,enrol_3_ontime_all_0914,mse,Gender,Male,Male,,,,,3669,0.422939481268012,Gender,0.001$^{}$,-0.0668529162020799,0.055194655412028,"Enrollment in 3rd
Year in Bac
Year + 2"
0.03382541866945,0.0394107457584718,0.0234119154361477,0.0279592332288168,0.148515472259353,0.158664055277125,13849,12628,1,0.796593513598209,1.67519141794408,16,TRUE,FALSE,"","",-0.0120619355853996,0.0797127729242996,-0.0153893513700091,0.0942108428869527,Female,0.551338393927287,enrol_3_ontime_all_0914,mse,Gender,Female,Female,,,,,5006,0.577060518731989,Gender,0.034$^{}$,-0.0153893513700091,0.0942108428869527,"Enrollment in 3rd
Year in Bac
Year + 2"
