coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper
0.00164387973287239,-0.000130494596707109,0.0398197791779781,0.0401599586602597,0.967070289773914,0.997407381774495,7733,13872,1,0.5,1.96266059399222,16,TRUE,FALSE,"","",-0.0764028874559647,0.0796906469217095,-0.078844013570816,0.0785830243774018
-0.0131490289326073,-0.0153856008903812,0.0237665141274034,0.0244364318164459,0.58008632821309,0.528944984090387,13102,16644,1,0.6,1.96266059399222,16,TRUE,FALSE,"","",-0.059731396622318,0.0334333387571034,-0.0632810072506152,0.0325098054698528
-0.014686858748564,-0.0174208952409569,0.0171840835564728,0.0182286594467763,0.392729414317986,0.339230326324873,18374,19284,1,0.7,1.96266059399222,16,TRUE,FALSE,"","",-0.0483676625192507,0.0189939450221227,-0.0531490677566385,0.0183072772747246
-0.0127199563540521,-0.016003139879635,0.0135863937150393,0.0150381390107329,0.349156031766162,0.287251589604169,23703,21480,1,0.8,1.96266059399222,16,TRUE,FALSE,"","",-0.0393492880355292,0.013909375327425,-0.0454778923406715,0.0134716125814016
-0.0160442409501593,-0.0199152332950883,0.0114108977609886,0.0132667398455025,0.159710627169062,0.133319365670147,28994,23793,1,0.9,1.96266059399222,16,TRUE,FALSE,"","",-0.0384096005616971,0.00632111866137842,-0.0459180433922732,0.00608757680209668
-0.0151051322501492,-0.0196024822656828,0.00991383871127599,0.0121591834160443,0.127598387007863,0.106928323496254,35234,25357,1,1,1.96266059399222,16,TRUE,FALSE,"","",-0.0345362561242501,0.00432599162395173,-0.0434344817611297,0.00422951722976398
-0.0121389459264112,-0.0173134397205241,0.0088264130874835,0.0114349916950766,0.169039158476327,0.130006714957507,42376,27307,1,1.1,1.96266059399222,16,TRUE,FALSE,"","",-0.0294387155778788,0.00516082372505648,-0.0397260234428742,0.00509914400182594
-0.0108523190313397,-0.0167461308433416,0.0080161481297227,0.0109582804376304,0.175797896921174,0.126469985774046,49542,29168,1,1.2,1.96266059399222,16,TRUE,FALSE,"","",-0.0265639693655961,0.00485933130291684,-0.0382243605010971,0.00473209881441384
-0.0096695894851857,-0.0163185662764282,0.00738141828603194,0.0106294096223579,0.190198973596426,0.124727855877397,56166,30706,1,1.3,1.96266059399222,16,TRUE,FALSE,"","",-0.0241371693258083,0.00479799035543691,-0.0371522091362498,0.00451507658339327
-0.00890732926141613,-0.0163477604339983,0.00687246164157975,0.0103982528522599,0.194944457106108,0.115912485524783,63373,32212,1,1.4,1.96266059399222,16,TRUE,FALSE,"","",-0.0223773540789124,0.00456269555608018,-0.0367283360244278,0.00403281515643115
-0.00890340480537066,-0.0171757242322348,0.00645478405345935,0.0102351409717916,0.167786942750772,0.0933250201807767,71426,33337,1,1.5,1.96266059399222,16,TRUE,FALSE,"",*,-0.021554781550151,0.00374797193940967,-0.0372366005369464,0.00288515207247682
-0.00876610777210729,-0.0179174589064099,0.00610086990878511,0.0101246360055199,0.150757226324563,0.0767789314369623,80695,34670,1,1.6,1.96266059399222,16,TRUE,FALSE,"",*,-0.0207238127933261,0.00319159724911152,-0.037761745477229,0.00192682766440916
-0.0081350470776882,-0.018196724523369,0.0057986129458312,0.0100640352956738,0.160637764391898,0.0705918302799798,89585,35846,1,1.7,1.96266059399222,16,TRUE,FALSE,"",*,-0.0195003284515173,0.00323023429614095,-0.0379222337028896,0.00152878465615165
-0.00695566379608481,-0.0179654473468487,0.00553423646625211,0.0100599464320861,0.208810659957473,0.0741252870599202,98607,36866,1,1.8,1.96266059399222,16,TRUE,FALSE,"",*,-0.017802767269939,0.00389143967776933,-0.0376829423537374,0.00175204766004001
-0.00611210839484278,-0.0181105155776806,0.00530105230355996,0.0101276130210944,0.248910764765728,0.0737386828324885,108253,37882,1,1.9,1.96266059399222,16,TRUE,FALSE,"",*,-0.0165021709098203,0.00427795412013474,-0.0379606370990256,0.00173960594366437
-0.00431536259034915,-0.0174054321876389,0.00507083099119684,0.0103258559332855,0.394759995647232,0.0918697068019441,127895,38552,1,2,1.96266059399222,16,TRUE,FALSE,"",*,-0.014254191333095,0.00562346615239665,-0.0376441098168785,0.00283324544160073
-0.16482394140627,-0.164344330733094,0.325601577749574,0.325683972355871,0.612706720402746,0.613830754112745,7733,13872,2,0.5,1.96266059399222,16,TRUE,FALSE,"","",-0.803003033795435,0.473355150982894,-0.802684916550602,0.473996255084414
0.0541857063900224,0.0548363643578327,0.135569463672668,0.135847707245935,0.68938514393029,0.686462330795034,13102,16644,2,0.6,1.96266059399222,16,TRUE,FALSE,"","",-0.211530442408406,0.319901855188451,-0.211425141844199,0.321097870559865
-0.0108853430028422,-0.0100427258660343,0.0786823531190095,0.0793014078250686,0.889967432501179,0.899225380505636,18374,19284,2,0.7,1.96266059399222,16,TRUE,FALSE,"","",-0.165102755116101,0.143332069110416,-0.165473485203169,0.1453880334711
-0.0218477283474083,-0.0207742577032928,0.052651487098039,0.0537872243662042,0.678178592636411,0.699326089149344,23703,21480,2,0.8,1.96266059399222,16,TRUE,FALSE,"","",-0.125044643059565,0.0813491863647482,-0.126197217461053,0.0846487020544674
-0.00353317203583359,-0.00220267217711978,0.0391021330608747,0.0408977072920506,0.928003107283278,0.957048231852674,28994,23793,2,0.9,1.96266059399222,16,TRUE,FALSE,"","",-0.0801733528351479,0.0731070087634808,-0.082362178469539,0.0779568341152995
-0.0150339994940802,-0.0134062401869448,0.0306473836540022,0.0332700393032619,0.62374647869622,0.686983286129651,35234,25357,2,1,1.96266059399222,16,TRUE,FALSE,"","",-0.0751028714559246,0.0450348724677641,-0.078615517221338,0.0518030368474484
-0.0250202618583666,-0.0230569196834312,0.0251290602581058,0.0286737212878995,0.319410309252061,0.42133156356092,42376,27307,2,1.1,1.96266059399222,16,TRUE,FALSE,"","",-0.0742732199642539,0.0242326962475207,-0.0792574134077141,0.0331435740408518
-0.0238787475947051,-0.0215380598121149,0.021310393138082,0.0258111905105913,0.262491717571565,0.404029374607305,49542,29168,2,1.2,1.96266059399222,16,TRUE,FALSE,"","",-0.0656471181453459,0.0178896229559357,-0.0721279932128739,0.0290518735886441
-0.0218927771717024,-0.0191286591461362,0.018496144372219,0.0239516730470401,0.236555581137909,0.424501729827188,56166,30706,2,1.3,1.96266059399222,16,TRUE,FALSE,"","",-0.0581452201412516,0.0143596657978469,-0.0660739383183347,0.0278166200260624
-0.0193419389951091,-0.0161132579008783,0.0163819961561635,0.0227378295300857,0.237728807677384,0.478539106534499,63373,32212,2,1.4,1.96266059399222,16,TRUE,FALSE,"","",-0.0514506514611894,0.0127667734709713,-0.0606794037798461,0.0284528879780896
-0.0153209131627463,-0.0115811287466521,0.0147354009474567,0.0219219218727639,0.298463001652928,0.597298177586224,71426,33337,2,1.5,1.96266059399222,16,TRUE,FALSE,"","",-0.0442022990197615,0.0135604726942689,-0.0545480956172694,0.0313858381239652
-0.013926763366845,-0.00962071406378762,0.0134085246982367,0.021359559168703,0.298967571025107,0.652409603616439,80695,34670,2,1.6,1.96266059399222,16,TRUE,FALSE,"","",-0.040207471775389,0.0123539450416991,-0.0514854500344455,0.0322440219068703
-0.0145895924579857,-0.00966553099337641,0.0123341484763113,0.0210005874617123,0.236863942786969,0.645336422935639,89585,35846,2,1.7,1.96266059399222,16,TRUE,FALSE,"","",-0.038764523471556,0.0095853385555845,-0.0508266824183326,0.0314956204315798
-0.0164779341477352,-0.0108670773824988,0.0114343878037686,0.0208480973492068,0.149560438474369,0.602192405312219,98607,36866,2,1.8,1.96266059399222,16,TRUE,FALSE,"","",-0.0388893342431218,0.00593346594765128,-0.0517293481869442,0.0299951934219465
-0.0163496124987512,-0.00999001589996507,0.0106815170929632,0.0209669490170385,0.125857112762175,0.633743186239293,108253,37882,2,1.9,1.96266059399222,16,TRUE,FALSE,"","",-0.0372853860009591,0.00458616100345663,-0.0510852359733605,0.0311052041734304
-0.0190366157829915,-0.0117072226143842,0.00993690110469981,0.0216367608118749,0.0553969569388679,0.588452313050864,127895,38552,2,2,1.96266059399222,16,TRUE,FALSE,*,"",-0.0385129419482032,0.000439710382220095,-0.054115273805659,0.0307008285768906
