coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,n_eligible_aidemerite_group_lab,mean_y
-0.00784735812635862,-0.00875683640434943,0.00634253741067359,0.00772744912829764,0.215991140989064,0.257125327176637,13972,10657,1,1.25968121252169,2.14741747973908,16,FALSE,FALSE,"","",-0.0202787314512788,0.00458401519856162,-0.0239026366958128,0.00638896388711393,3-5 (27.1%),0.955985915492958
-0.0068279483686398,-0.00771206932706772,0.00624760023641303,0.00760822082783482,0.274441498737115,0.310750023359212,14001,10719,1,1.26742480694156,2.1669056086559,16,FALSE,TRUE,"","",-0.0190732448320093,0.00541734809472974,-0.022624182149624,0.00720004349548853,3-5 (27.1%),0.955985915492958
-0.00111514209466745,0.000173724066742875,0.0124561092540407,0.0153507332660641,0.928664117534302,0.990970542606459,7491,6347,1,0.912510577277112,1.81033938015119,16,TRUE,FALSE,"","",-0.0255291162325873,0.0232988320432524,-0.0299137131347427,0.0302611612682285,3-5 (27.1%),0.955985915492958
-0.00315413591707515,-0.00265627344710983,0.0111284052419062,0.0138057791053825,0.776846406304825,0.847426535274675,8656,6722,1,0.985258465970788,1.91202764288806,16,TRUE,TRUE,"","",-0.0249658101912112,0.0186575383570609,-0.0297156004936595,0.0244030535994399,3-5 (27.1%),0.955985915492958
-0.0168084328224152,-0.01846174127464,0.00914093184170867,0.0111045648443083,0.0659432022110224,0.0964053070498006,11142,8850,1,1.02196850532494,1.82483489791892,16,FALSE,FALSE,*,*,-0.0347246592321642,0.00110779358733382,-0.0402266883694842,0.00330320582020426,0-2 (27.3%),0.945899527694289
-0.00751920561968441,-0.0102547179590081,0.00955035772399885,0.0112208686358641,0.431093463146917,0.360770980710739,10164,8563,1,0.967993017315028,1.85647287351725,16,FALSE,TRUE,"","",-0.0262379067587222,0.0111994955193533,-0.0322476204853017,0.0117381845672855,0-2 (27.3%),0.945899527694289
-0.0438120494510703,-0.0512413580049707,0.0188846902021232,0.0209251915491837,0.0203421143354543,0.0143337785902526,5310,4723,1,0.72489195167676,1.77278831443881,16,TRUE,FALSE,**,**,-0.0808260422472317,-0.00679805665490893,-0.0922547334413706,-0.0102279825685707,0-2 (27.3%),0.945899527694289
-0.025465932042966,-0.0325604009138221,0.0180898262582946,0.0201879949504989,0.159205452364934,0.106775019964479,5457,4805,1,0.738252862898535,1.77280954381958,16,TRUE,TRUE,"","",-0.0609219915092234,0.00999012742329141,-0.0721288710168,0.00700806918915581,0-2 (27.3%),0.945899527694289
-0.00667944308204271,-0.00976865195680032,0.0085958829272636,0.00995485966049337,0.437128430594186,0.326447389416486,6652,8520,1,0.89298878533811,1.81721739523883,16,FALSE,FALSE,"","",-0.0235273736194794,0.0101684874553939,-0.0292801768913673,0.00974287297776669,6-9 (23.7%),0.949971247843588
-0.00765374686404758,-0.0105808975918332,0.00815308604839881,0.00945564194634753,0.347856763870056,0.263138593586105,7196,8783,1,0.946378184547787,1.90592286475483,16,FALSE,TRUE,"","",-0.0236337955189092,0.00832630179081408,-0.0291139558066743,0.00795216062300799,6-9 (23.7%),0.949971247843588
-0.0015667449950999,-0.00656084252025269,0.0201144080882529,0.0234817376948055,0.937914219406867,0.779936400289605,3597,4804,1,0.699355889731093,1.54650862247162,16,TRUE,FALSE,"","",-0.0409909848480756,0.0378574948578758,-0.0525850484020715,0.0394633633615661,6-9 (23.7%),0.949971247843588
0.000348057033405674,-0.00473065658204455,0.0201678746266973,0.0234966580926126,0.986230797564147,0.840438070178805,3597,4804,1,0.694555411635192,1.54162238802367,16,TRUE,TRUE,"","",-0.039180977234921,0.0398770913017324,-0.0507841064435652,0.0413227932794761,6-9 (23.7%),0.949971247843588
0.00783906370539267,0.00841844704873129,0.00825550114804194,0.0101911720766916,0.342337716387471,0.408774095274636,8034,9634,1,1.13073411857552,1.95815534427938,16,FALSE,FALSE,"","",-0.00834171854476953,0.0240198459555549,-0.0115562502215842,0.0283931443190468,10+ (21.8%),0.954575818303273
0.00749500127174886,0.00807689017049572,0.00798593962129231,0.00985865146074494,0.347974849861677,0.412632802063823,8554,9767,1,1.17658891561966,2.00973541494667,16,FALSE,TRUE,"","",-0.00815744038598406,0.0231474429294818,-0.0112460666925644,0.0273998470335558,10+ (21.8%),0.954575818303273
-0.0055713362647084,-0.00746887857545309,0.00928152871772835,0.0113282622335841,0.548332553198437,0.509694341757598,9221,8026,1,1.3090131584299,2.5674280049406,16,TRUE,FALSE,"","",-0.023763132551456,0.0126204600220392,-0.029672272553278,0.0147345154023718,10+ (21.8%),0.954575818303273
-0.00409111293545106,-0.00555323829168809,0.00950562542452793,0.0117072619560241,0.666912977662343,0.635256518293303,8843,7923,1,1.27939604902401,2.48641250631268,16,TRUE,TRUE,"","",-0.0227221387675258,0.0145399128966237,-0.0284994717254954,0.0173929951421192,10+ (21.8%),0.954575818303273
