coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,pcs_depp,mean_y,outcome,bandwidth
-0.000504245247929802,0.00235868492094182,0.0108553221323018,0.013196341867476,0.962950444645779,0.858143598439078,9042,8173,1,1.05509303026565,2.07731986187601,16,TRUE,FALSE,"","",-0.0217806766272413,0.0207721861313817,-0.0235061451393111,0.0282235149811947,Very High SES,0.946099290780142,enrol_year_bac_all_0914,mse
-0.0143854448887626,-0.0219377897632564,0.022091637574332,0.024220825561707,0.514935782313055,0.36507306525831,4619,4196,1,0.681087654037132,1.68315844564885,16,TRUE,FALSE,"","",-0.0576850545344533,0.0289141647569281,-0.0694106078642021,0.0255350283376892,Low SES,0.948421520675856,enrol_year_bac_all_0914,mse
0.00265192103765122,0.000901364414257255,0.011503534042922,0.0141247896479053,0.817679188974015,0.949118043784072,11016,7417,1,1.00303712917896,1.95801387110998,16,TRUE,FALSE,"","",-0.0198950056864759,0.0251988477617784,-0.026783223295637,0.0285859521241516,Middle SES,0.938886726352666,enrol_year_bac_all_0914,mse
-0.000212801484862357,-0.00181651967080843,0.0104187675144363,0.0127726768647143,0.983704481896911,0.886906879812151,8566,5062,1,1.27891440626647,2.47970104555122,16,TRUE,FALSE,"","",-0.0206335858131574,0.0202079828434327,-0.0268509663256485,0.0232179269840317,High SES,0.952744961779013,enrol_year_bac_all_0914,mse
0.13051924428505,0.143442495676886,0.0965468312275595,0.109947140935614,0.176415316842295,0.192012183678407,449,484,1,0.615884454769651,1.36486124265491,16,TRUE,FALSE,"","",-0.0587125449209671,0.319751033491066,-0.0720539005569177,0.35893889191069,Missing,0.897689768976898,enrol_year_bac_all_0914,mse
-0.00343051082988977,-0.0415156269929096,0.01160452903233,0.035504498529744,0.767521617303605,0.242280323130032,8244,7672,1,1,1,16,TRUE,FALSE,"","",-0.0261753877332565,0.0193143660734769,-0.111104444111208,0.0280731901253886,Very High SES,0.946099290780142,enrol_year_bac_all_0914,"(15, 17)"
-0.0212251428249211,-0.00844129503368674,0.0118472352737684,0.0375318533904107,0.0732019869486804,0.822049167674461,9601,5502,1,1,1,16,TRUE,FALSE,*,"",-0.0444457239615071,0.00199543831166498,-0.0820037276788917,0.0651211376115182,Low SES,0.948421520675856,enrol_year_bac_all_0914,"(15, 17)"
0.0027125560081056,0.0273287788303134,0.011555951809797,0.0350116441712184,0.814416458438348,0.435059815550771,10549,7279,1,1,1,16,TRUE,FALSE,"","",-0.0199371095390966,0.0253622215553078,-0.0412940437452747,0.0959516014059014,Middle SES,0.938886726352666,enrol_year_bac_all_0914,"(15, 17)"
-0.00452524305340019,0.0103445568826346,0.0137582807427941,0.0433906354370189,0.742223334607495,0.811566767412745,5610,4200,1,1,1,16,TRUE,FALSE,"","",-0.0314914733092766,0.0224409872024762,-0.0747010885739224,0.0953902023391915,High SES,0.952744961779013,enrol_year_bac_all_0914,"(15, 17)"
0.040401872528701,0.154779137583966,0.0403806127118726,0.127315264542192,0.317055786661437,0.224093326241773,1230,704,1,1,1,16,TRUE,FALSE,"","",-0.0387441283865694,0.119547873443971,-0.0947587809187299,0.404317056086663,Missing,0.897689768976898,enrol_year_bac_all_0914,"(15, 17)"
