ymin,lower,middle,upper,ymax,outliers,notchupper,notchlower,x,flipped_aes,PANEL,group,ymin_final,ymax_final,xmin,xmax,order,xid,newx,new_width,weight,colour,fill,size,alpha,shape,linetype,linewidth,width,echelon,n_obs,pct,echelon_pct
22061,31803,36563,42152,57311,9655|14222,36600.6276701367,36525.3723298633,1,FALSE,1,1,9655,57311,0.625,1.375,1,1,1,0.75,1,#444444,#de6757,0.5,,19,1,0.5,0.9,0,193356,0.175513634903028,"Echelon 0
(18%)"
22501,30305,34685,39619.25,53589,56302|55125|55921|55921|55128|55844|55670|56875|55820|54146|54204|54456|55182|55182|53923|54334|55834|53919|55658|56382|56999|54441|56236|56257|53695|55954|54919|53817|54225|54332|56454|53671|55520|55607|53633|54607|55563|56363|53750|56583|54295|54584|55239|53942|53799|55013|54567|54818|55444|54103|54811|55459|55459|56649|56440|54344|55107|54344|54666|54660|56034|54463|54943|55839|56174|54399|57154|54121|54663|56211|57112|55028|53655|54725|57047|55474|55727|54454|56171|55562|54922|54912|55194|53842|54316|56884|56476|55719|53966|54925|56844|55773|55294|54336|55804|56370|54140|54252|53631|56595|54539|55083|56795|55586|54160|55597|56576|55791|54428|54184|54627|53748|56366|54478|54155|55689|56153|53665|54847|55053|55881|53837|54455|53854|54138|53916|56273|54607|56892|57012|53701|56702|56027|55896|56038|56904|55419|55100|55251|54154|55188|55141|56925|55378|54179|54705|55646|56990|54477|57198|54527|54232|54544|56293|56529|54038|53966|53713|55651|53992|55280|54394|53954|55928|56785|55891|54160|54566|54122|55966|56601|56601|54698|53617|55178|54050|54302|56333|54465|56210|54206|57180|54379|54997|54895|55528|54014|54991|56716|56416|54152|53872|54444|53699|56353|53982|55971|54070|53960|54505|55385|55154|55154|54444|56323|55049|55132|57269|57215|54148|54640|54778|53780|56951|54721|54257|54473|54532|55038|55038|54047|54047|53624|54192|53936|54653|55829|53660|55263|54216|54940|55566|56180|56900|56378|57261|54108|57034|56372|56739|54945|54888|53778|53776|54848|57186|55952|54024|55457|54226|54917|56583|54619|55255|56315|53597|53826|54010|56011|55645|56415|55745|54691|55363|53722|55464|55464|56196|54516|54066|56082|54353|54491|56749|56261|54853|54132|56082|54406|56547|54356|53638|56449|54469|57121|54038|54633|54775|55520|55565|54833|55890|54032|54014|54916|54319|55154|57248|54138|55098|54111|56355|54831|54103|54883|53632|53632|54111|54713|54194|54730|54205|55987|53650|54443|54425|56219|53900|53836|54536|54585|57003|54029|54361|56383|54837|55980|54750|55410|55058|57079|53816|55613|53675|55930|57227|56933|56933|53722|57259|55274|57003|53678|55682|55682|55002|53620|54316|55548|56885|55444|55326|56441|56257|54887|53793|54065|56547|56787|54940|54736|53875|56535|56632|56755|55200|53738|54688|53875|53705|54447|55090|53781|54396|56095|55095|54262|55573|56607|56414|53711|54515|56892|55733|55977|53948|54898|54701|54895|54276|55492|54610|54261|54778|54682|54153|55769|54812|56799|54726|54976|56513|55105|54684|56558|54860|54400|54219|54243|54722|53661|54694|53866|54895|54895|54068|56657|53764|55334|54105|56927|56447|55255|56236|53911|54262|56757|55829|56484|56973|56973|57313|55371|53900|56674|56588|56588|56298|54058|55452|54141|55820|53631|56025|53950|55031|53640|56032|56061|53825|53876|54527|54259|55348|54328|54353|53678|55608|54156|56709|54903|54845|53885|53946|55142|54794|54862|54285|54508|54355|55421|53779|54414|56454|55595|56708|54329|55205|53980|55015|55462|56136|54898|53640|55388|54919|54210|55556|54715|54315|55095|56143|54686|56391|56544|54122|54712|56603|54322|54415|53759|54032|54712|54687|55496|56219|55756|55351|54254|54409|53841|53650|53858|55487|53926|57231|54599|54872|54742|54882|55853|55777|55331|54797|54618|55518|57138|53942|56547|56546|54397|56116|56362|53895|56823|56823|55242|54117|56819|56819|55289|54499|56844|53723|55248|54441|54494|57013|56435|56978|54579|57192|55080|54034|54881|53791|53762|54206|53810|54546|56468|56421|55674|55471|56159|56420|54700|55340|55340|56111|53870|54800|54800|54496|56150|54745|53762|54879|55642|57233|55834|54238|55061|53682|56697|55514|56005|55865|53852|54257|54745|55444|54172|55160|53644|54725|55730|54112|56248|56000|54585|55538|57142|55074|55074|57142|56212|55676|56651|56488|53950|57282|56869|56691|54531|54217|54437|56871|54207|55006|55485|54313|56143|54846|53817|53817|56862|54772|55769|53964|56871|55730|54884|57082|55019|56320|54676|57113|53964|56612|54191|56747|53889|54341|55307|53790|57244|56823|53645|55449|56827|54657|56863|55916|56127|54583|55181|55181|53743|55897|54934|53954|56292|54900|56516|54244|55809|55943|55055|56292|54420|53844|54876|57213|56646|55789|53645|56791|54029|55547|57203|54319|54837|55246|55782|53774|54041|54053|53771|57148|55587|54911|55508|54536|56525|54400|55829|53850|53859|57183|54475|55109,34745.1320579561,34624.8679420439,2,FALSE,1,2,22501,57313,1.625,2.375,1,2,2,0.75,1,#444444,#de6757,0.5,,19,1,0.5,0.9,0bis,60653,0.0550561063415325,"Echelon 0bis
(6%)"
17831,24349,28178,32034,43560,47243|46743|47005|53057|43745|55934|47707|44620|44664|45808|44617|47204|53859|47379|43658|44608|56400|43902|47580|45400|56400|50748|51273|44935|44586|44345|52128|43600|47430|44763|51756|54685|53130|46694|45969|45791|49782|46509|44022|44963|44111|43795|45897|47789|44554|51162|49445|46245|44205|45429|50224|50090|45165|48624|46135|43816|44435|44114|44141|44654|43779|47007|52541|46054|49145|48043|45601|44932|44169|47156|46129|43736|44429|45627|49752|52499|46101|53352|49420|49420|47719|47285|47859|56367|46521|46349|45046|56605|45173|46593|49308|51508|44994|53036|44536|44536|49786|43689|44319|49536|44162|53115|43968|48886|44880|43748|47627|43601|45043|44183|45770|43583|54670|45820|50104|50104|43700|45570|43700|45272|45370|45810|48025|47677|52761|44837|44155|44517|43769|45713|51469|44761|49859|45307|48928|44207|44677|53742|45992|45968|48197|44536|51712|50460|44138|51712|45300|44468|44468|44468|48759|45821|45942|44877|48587|47510|54819|52392|46441|46774|47868|49672|48134|44576|50129|50129|49776|46733|44986|46647|50370|44971|52067|43742|43654|43654|49425|55893|44181|49832|44738|45640|44324|54082|50879|56838|44057|43822|54265|45064|44043|55010|44608|54395|45715|53320|53320|44204|52602|43726|45787|47081|43759|45226|48005|48922|44138|49320|44370|51275|46486|43771|52277|49230|48957|47899|48834|44071|47456|43678|45564|43621|45523|55125|47076|48913|57044|48758|44088|46024|48681|44655|50958|44297|43797|44261|45487|46723|56834|48424|53704|44431|45000|43623|45220|47585|47585|46310|46310|43741|47055|44682|54587|48074|47386|48313|43699|52161|53095|44554|44638|54195|48313|44067|49654|45228|52796|43895|44327|51625|44322|44068|45600|52448|48837|49154|52180|57113|48225|45574|47969|47501|52180|51323|48150|56420|48097|45794|47530|47056|44163|56847|53144|43594|45277|47023|47023|48535|44220|52671|46431|43964|46215|49690|49652|51928|43767|48467|43704|50312|50312|45696|52560|48138|50969|49145|44381|46083|48333|46025|45896|43972|45056|43591|45801|45801|48242|44239|45547|50076|53886|46960|44644|56085|45233|45103|56108|56399|49497|55883|43984|43984|45700|45897|47680|43569|49946|49946|49946|46202|54792|51592|47605|54569|48422|48800|43870|46982|46739|46739|45613|48837|54334|48351|44005|45785|57263|45553|50080|45386|52033|44097|45506|46223|46270|46564|45991|43736|48042|50963|53080|49723|49159|46491|46241|44567|43616|56091|47503|55094|57274|46545|48048|44626|56091|46455|45936|45159|48899|45895|45895|51331|51608|45883|43767|43767|48023|44037|44851|48455|45948|50879|44659|45796|56328|43856|50575|52048|45508|47815|48068|48348|44221|44306|46117|43951|44026|50242|45782|47822|43888|47858|46462|44592|44619|47082|46768|44896|50751|47321|43659|48752|46444|52554|52316|44758|44758|44538|47330|45380|44496|44296|45485|46283|54376|44496|47278|44837|44182|46748|43981|47020|48883|48432|43649|48513|47625|44964|46851|55540|45177|45309|44918|46010|44808|43852|44808|44245|53078|44542|44556|48167|48875|51579|44451|49880|47146|45912|45535|46425|44140|45013|44629|48747|48747|45135|48799|48799|52665|44922|50932|52835|45532|45146|47496|46688|51042|51811|51171|55983|55983|55983|47046|44318|48736|45305|48794|44922|43562|43570|49128|51340|44765|44806|44302|43712|43712|50249|48287|43686|54783|56414|45927|51388|53863|51706|49308|45559|46921|47939|44417|48695|48302|43811|55550|47291|46953|54713|52945|50317|44651|47299|47461|44653|47971|50228|43585|46730|45837|49567|44312|47423|47046|45473|43879|46970|46904|48387|43670|44371|56199|47199|47199|48171|43581|47476|49004|49422|49222|53352|46835|49736|44167|44299|48456|52199|49582|43992|56901|54968|56901|43690|49821|44117|44537|49732|44844|46252|45649|45599|43872|50527|49703|44603|47930|45035|54897|46772|45793|44560|45481|45618|48726|47137|44221|54435|45862|48376|43855|47495|51290|46646|46727|44732|45300|45705|53365|43928|46550|49550|44072|45179|53223|46586|44970|46823|46084|47127|45577|50203|52788|48851|54461|49245|49245|52116|50437|44129|46152|45010|44657|43885|49062|46886|43926|45804|44234|51241|52237|52237|52129|52129|44694|52726|50283|45262|45125|46015|46152|49486|44072|46710|49084|45641|55841|55841|50081|44646|53066|46823|45479|50868|44942|45165|48509|49995|52757|52757|44456|44140|49182|51306|46717|48137|48137|44767|44013|52119|45506|52748|47722|45472|43839|49308|48914|44783|46189|48618|43662|51147|44592|43615|45775|44196|50684|50527|44320|45901|50554|46059|43829|47423|46438|47987|51081|44427|43928|46158|52620|52620|44202|52191|44315|50527|44400|53838|46682|47609|44181|55189|52968|44088|46165|48946|49389|56348|47711|48789|45655|45083|51333|46144|45306|52248|47996|47281|44733|49200|44072|49343|44956|45144|56132|52463|47920|54894|46548|47757|44529|56073|47223|43835|51333|47740|44848|44848|52550|43951|48461|47125|43719|43676|43676|49924|45875|45976|49771|52510|44465|45696|43593|48536|45845|50500|50526|43569|56232|48269|46920|45456|45456|45610|45024|49584|44050|48962|44153|50735|48549|44040|52236|46774|44442|49407|44468|44468|50799|50799|46242|56491|44296|47473|45411|52003|45411|46541|57300|47489|46999|44936|44422|44267|43701|46957|49070|45740|52085|52932|45239|44312|43663|44326|49975|46051|50085|44308|51624|52395|52395|44790|46647|48769|44949|46971|52946|45088|48670|51439|44762|47417|49385|49385|49688|44845|45013|48836|49105|55112|45926|44228|43789|45444|46040|53760|54254|46537|46537|45972|47733|46961|44627|44009|51470|46918|51474|47500|45769|44106|44515|45730|44643|44494|51809|44713|55225|44175|48106|45386|48249|48249|49038|51606|47394|44499|56335|52737|44548|46436|50652|44970|46724|50345|55085|46800|47625|44724|45518|47036|49311|43677|47242|44072|44235|44950|46708|45340|46354|44265|49113|51563|44760|45903|48131|53921|50362|46717|45016|57235|48348|44675|50996|54182|51294|53293|51500|44346|46537|49397|49397|46502|43743|44167|49441|53119|44960|45894|44622|44817|49603|46820|52336|46039|50084|44445|45575|43765|45915|52953|43735|52892|55991|51274|45175|44529|45457|51470|56758|54918|44581|46053|54918|44694|43728|43688|51913|46452|56245|48994|46577|44279|50841|53354|46807|48693|50932|46452|48232|44825|52252|44172|43932|44835|53250|43756|53390|48075|45670|52010|49635|48075|46775|44155|47749|48458|50620|43815|45522|45080|51629|44057|50038|43974|44641|43828|50909|48884|43788|53057|45626|47602|46272|44083|52892|43650|44482|44380|44083|45801|46344|44884|50711|50711|48529|49966|44497|44187|52902|44163|43715|54427|44360|46434|47669|46455|45892|46593|44875|44007|43636|44453|48482|47725|49286|44444|53224|47448|47012|50780|46177|45259|51453|44250|47091|44799|47097|45502|46852|47697|51158|44454|46807|46807|45673|49223|45445|48169|44353|49507|44221|44489|46818|44104|44460|54334|46747|52262|45105|50718|44670|55284|45355|44756|54700|44894|53550|51241|48705|43677|44219|44442|44877|44877|55190|45168|49278|45886|49058|51489|52026|52052|44408|53903|47408|52673|49635|50068|45222|45222|45222|45222|46791|49719|45129|45163|44655|48393|50482|46046|44270|45204|47580|49546|44487|43657|44739|46312|44512|49078|54574|44568|51151|49309|44610|45085|44164|44278|44710|49724|45365|47898|44569|44863|47955|48944|43580|48109|45514|46849|45224|44465|51461|46962|44947|45934|46556|48068|44973|48677|43586|48733|44595|48809|45443|46981|44643|44787|44566|44391|44319|46535|46535|47677|49084|49675|48337|49680|49704|49324|43907|46318|56576|46318|44820|44834|54295|44273|45427|49979|46091|45490|47274|45987|46250|46538|49543|46967|48532|47121|52239|46683|50677|45671|45726|50708|47443|45779|50152|50010|46950|44504|48386|44920|45635|48687|46892|55834|46890|49445|50022|43651|51546|48657|44011|46181|54524|44325|49268|49268|52354|49099|45902|47402|56541|44883|49829|50027|52500|50056|50561|47948|52349|49733|49733|43923|50675|44015|46711|44512|44085|47228|44436|44694|43802|51681|52533|54291|43894|56755|46960|46704|47921|44844|44602|45466|44484|44304|45815|44947|46669|47959|44977|49174|43646|44780|44780|44534|44534|47371|48974|43949|51731|45597|50435|52307|44665|49799|55700|51392|50632|44251|43671|44347|44294|46290|51614|47709|44288|51328|44948|43758|44206|51521|45085|47448|44390|44229|44767|44306|44526|51507|54393|51747|44780|47250|44589|49698|48421|44852|47350|46917|47984|44918|45013|45652|47374|44345|48185|48025|47416|52823|44665|52710|48700|46798|47173|46994|43568|45692|44631|45899|49067|46018|44437|45479|47251|45276|53761|47522|43979|47187|48243|44319|46926|46004|51631|47846|45133|48205|45584|45584|46104|43674|49024|46388|46388|48747|47428|44899|44845|55782|53644|44170|49511|52097|46380|45723|51530|44104|43802|46531|48084|52199|46543|45299|51563|53610|48337|44626|43853|45124|45680|47621|43872|51032|45491|57302|44123|44330|45491|43741|44089|44054|51387|53294|45776|50126|48707|50135|44219|44147|46582|49362|44003|50091|43655|46973|52210|46657|44621|44302|49475|44515|48307|45668|47055|44319|54107|44337|45300|51944|53305|53305|47365|53947|44502|49026|52105|44357|49116|48705|43801|50030|46074|43637|47454|43641|43909|49852|45398|44891|49852|49852|48807|44158|44736|51541|51541|45255|43630|46054|50801|46085|46906|47050|43930|47030|55866|44008|46346|45262|44102|54569|47131|44469|50211|43800|55854|43915|46639|47176|46647|43718|46850|48901|46953|51703|44186|46580|49124|47468|46840|51112|44613|48239|46812|43763|45740|56636|45473|43766|45751|44948|45928|51060|47360|46326|45569|49216|50458|46027|54918|45217|44754|56787|43869|45124|45063|48846|55453|45964|46541|45010|44194|53338|46448|49738|47835|46792|46400|46466|45327|48609|48639|46792|46533|52127|49495|47835|49348|46079|44875|49742|50155|47151|55645|44967|43637|47741|46008|45514|55281|49367|43600|47080|45666|44815|44978|47298|43647|49908|49908|47213|49985|49985|46196|50928|50928|44745|45219|48428|46323|47116|45072|46615|44665|50321|44535|45221|44756|45221|44685|48355|48787|43579|43562|48479|46147|51443|46704|45039|45181|45905|46800|56724|56723|47461|50463|47255|49157|49309|45800|44049|44252|54459|49237|51811|51811|45516|44687|49754|44910|49754|43701|45846|43780|48945|48801|46496|48950|48348|44026|47892|43667|44709|43870|45978|44931|44300|44550|46273|56090|51501|45672|47181|44585|44133|46334|44501|47260|44820|43686|46422|44265|51302|46288|44506|46376|47460|52183|51569|54415|46221|50336|45354|44804|43753|53165|44404|50084|50846|45019|43782|48267|48267|45271|43607|56357|53008|43795|44208|45816|53335|44033|46966|44626|50872|47615|50629|43755|56105|48666|44204|46513|44667|48234|46219|56104|49608|49755|46530|46530|46870|45976|46254|51528|46754|46436|53339|47518|48795|46697|45501|48700|45924|44675|44156|49378|46351|44399|48179|52425|52425|46751|44112|46079|45614|46190|55674|45557|45557|44291|55947|48300|48300|43606|50279|45954|47238|46393|47972|53557|48847|48847|44075|45279|43607|45094|52202|52202|43858|57123|47295|47424|46632|43856|44441|48220|45397|44300|44552|44743|47691|46271|44888|53476|48728|44467|44792|43677|47472|50230|46136|46187|54748|44912|46370|50233|45160|43642|48883|44093|54931|49245|54231|45727|51071|44107|45762|54281|46246|50025|43939|49286|46002|47108|45976|45747|43959|43959|56464|43659|43609|44389|45025|45025|44579|45410|43855|43909|49899|53116|51293|52402|43690|56397|46591|47937|44604|48887|43800|43800|43620|46677|44734|44095|44033|44125|44340|46104|44041|55069|44629|45886|51502|48140|51547|46101|44521|44242|48140|46127|52336|46409|47841|43785|43822|45337|50454|44179|44172|49492|51537|45059|43670|45511|44935|43995|48499|50141|50141|50141|44816|46777|51271|51271|45262|45178|53172|53492|43562|54724|48660|51677|47440|50875|44585|46903|45691|50711|51821|44258|45125|48207|52118|44756|50364|45418|47265|47265|47488|45573|46624|43929|44279|54088|48552|46753|45570|45763|46865|49875|43729|44044|46974|44009|44246|45433|44808|45388|44729|45569|55765|46026|56201|52678|46474|51531|45879|54974|49934|46576|48364|47694|45189|45189|51859|44556|44607|49935|47141|56036|49350|49109|52743|48997|44567|45069|47653|45825|49055|45259|48758|49159|50005|47480|45675|46138|51472|44685|44332|47192|43831|51030|47795|44817|46865|46246|49855|49751|49397|50262|43694|49344|53755|44419|52262|54823|45682|44274|44547|44509|46670|48240|44500|48413|49215|48188|46384|43726|44631|45294|43629|46942|43789|48048|43590|45676|54740|43934|53631|45718|43898|48244|54940|45863|44116|44116|48753|53327|55133|43803|44511|43871|49087|43589|43702|44704|48264|47159|47342|43806|49020|43757|51788|45895|46175|45212|45049|44548|50468|47185|54553|47105|45998|47309|45690|47320|43721|46468|44093|48303|48650|50365|46762|44214|45508|47825|45790|49854|48329|46369|49854|43789|44196|49167|45568|48651|47111|52288|44592|44128|47089|53947|43661|49355|46808|45587|46800|44235|50114|44041|43923|51638|43700|49822|43921|46436|43997|44369|44574|45483|43705|44242|55053|44710|46171|44412|47167|51878|49064|51282|54416|51870|53256|45932|45856|51828|53385|46350|44758|49659|50094|44065|43608|45898|46153|46103|43620|45080|53503|44390|44098|45440|44385|46477|44904|46110|55809|49363|44314|44934|44125|50282|44676|49872|55803|48935|52346|44667|44476|45297|49688|54450|45371|52668|47026|44363|44756|44373|51086|49500|44281|44668|46982|49385|48123|46481|44517|48736|51935|52304|43770|52709|52709|46036|43867|51156|50512|52440|48392|48772|53294|47614|48930|44212|46237|48453|48412|46748|45677|43677|48017|47960|47960|43814|46157|51373|46169|44765|46133|54697|43651|46864|43957|46396|44772|49344|53258|47092|49240|46728|44723|43960|43954|51500|51612|52401|43859|45346|49520|49316|44018|44527|44557|44561|47046|45162|54108|54108|54108|50165|46342|49126|44267|44899|43621|50446|47814|47393|54420|49862|53961|45691|44987|45898|46462|52867|52867|47606|46072|49183|54639|47790|48994|49133|48098|47206|44277|52500|46952|44455|49876|46732|44097|46057|43591|43934|49839|44832|44630|49458|44690|52744|44361|44287|46551|47373|49136|47401|49436|48319|43688|52463|43616|46061|46061|44612|49580|56271|43765|49037|45412|52217|54782|47957|44685|48139|44299|48279|50001|48123|44045|47023|47369|46003|47457|54683|48468|44332|44528|44408|44878|49416|44709|50877|43915|44184|48138|46910|52881|45304|47182|43923|44023|57069|44339|44436|44716|45025|44569|47395|45242|54920|44240|45227|47249|47249|54237|52523|49430|46062|43799|46390|46296|47302|44518|43813|49317|47244|56430|47302|45443|48610|44213|45635|55070|55699|45668|49718|54495|43713|50017|46238|43945|44730|45585|48682|44428|44669|45258|44711|46792|43732|52241|43979|48559|44887|47973|54470|45273|46235|47881|45740|44200|46086|45062|48210|50990|43837|48523|46853|44635|45361|47814|45585|47523|44947|46410|43751|46047|55323|52065|51086|46887|53966|43863|49016|53195|47983|44884|44912|44336|48997|44443|44174|44825|43907|44059|44105|46156|43907|45759|45540|44402|51790|45470|47398|45789|52995|43858|43787|51541|56092|43915|50290|46311|49166|49032|54647|43615|45439|47205|47144|44561|54866|45683|44810|46417|52762|44478|46411|44464|49899|47774|45723|55564|44617|45807|43781|44795|46186|49899|43621|48346|51465|44404|52042|43767|48918|45024|57111|46681|46756|48084|49866|44896|46087|48389|52701|44315|51627|43809|46880|45922|44063|55959|54589|44711|50707|44462|53325|50438|44175|47495|51485|44167|44816|49200|45247|44364|44364|52459|43961|51594|45741|44587|48220|46388|53924|50518|47361|45708|47765|44087|46291|48643|43637|45278|43782|48857|48857|47885|44087|45260|44952|44971|46816|43603|45845|43893|49733|43994|52070|45232|44003|46897|53772|46254|49655|44920|43658|55646|45855|44907|47191|48959|45183|49106|44243|47181|48862|54972|49681|47626|50223|44097|56276|47313|44529|48476|55000|44400|48548|45228|44290|44884|47244|46439|44531|47267|50107|46807|45349|50967|53337|45285|43951|44901|47260|47715|53279|48807|53445|45613|54719|51284|45769|47567|46052|50393|50393|48085|44598|44808|44079|44079|43599|51730|49803|46793|54663|43779|50778|49380|44371|44337|44720|47215|48878|44417|45722|45722|44959|47512|44409|46838|45300|46650|46536|48958|46761|44940|46286|50064|44743|46546|54996|48651|46601|48768|50511|46298|43957|44694|50578|45883|47828|45709|49657|54294|49769|44544|44945|55959|44978|44978|49564|44432|43572|44410|46620|54895|44092|56576|49885|48428|44064|50534|44674|54889|49160|46150|55444|44669|49705|44459|52875|49286|43671|47900|47900|45326|54522|44998|45028|46842|45473|49979|44351|49195|45030|45479|45573|49639|43728|46551|46842|44511|45371|44767|49133|46153|44342|53747|56253|45473|57113|53963|51812|47359|45496|48578|57113|47826|51606|54223|55404|51606|56654|56503|44032|44938|48178|44577|45111|43758|45706|54700|49760|49760|51455|56955|45726|55058|44467|44196|48712|45703|45325|44836|46234|48178|43737|46260|45801|47510|43845|48732|51823|44864|43895|48872|46453|52489|51727|51160|53140|44152|50377|48551|45111|47500|48585|44786|48556|46881|44681|43761|44921|49323|49345|51927|43785|48200|47178|46912|47513|54010|51805|44002|47201|50042|46449|50779|50851|46812|47500|51634|43632|45325|47219|48753|47119|47038|48992|45464|47087|46813|48984|49597|44912|53297|44895|44895|49360|47023|44893|50148|45520|46387|44303|43934|48654|49220|44105|44850|44257|48608|48608|48428|51060|47973|57306|48908|52377|45365|56321|48268|47174|49927|46763|44414|50642|45444|46960|54899|47655|45560|47420|47085|43562|45077|50873|49413|50058|47635|44963|46544|46076|47733|46640|44622|44791|47247|45170|55933|51565|45856|44996|47482|47249|46786|46958|43952|52436|45223|45947|46355|44664|46355|48321|46103|46641|52942|46203|46643|50503|53871|46719|46139|43872|50644|50644|47220|44842|52890|52679|46632|45443|55933|46626|44706|43802|46656|44050|50202|43742|48864|48716|50538|48362|43820|50353|50353|44914|43597|44787|54715|47411|45842|46556|44633|44560|50888|51758|46250|48718|53520|50888|44975|43635|49515|48502|46495|54932|56469|54408|49688|43664|46318|54932|51784|54496|54764|43700|44284|48144|45332|47350|45288|53154|44675|44081|47526|51418|51418|56401|47979|50420|50284|53846|45525|43784|50613|50542|49555|44994|43609|48930|46837|43870|47258|54334|50507|54640|48588|47509|46074|43685|48513|48513|44347|45839|47615|45589|55086|49749|47644|49229|48500|43907|43872|48130|45907|43857|47120|50000|43694|45473|51040|44768|43580|46222|45576|53970|43654|44746|44265|44265|45014|46394|44493|54584|54587|51867|48522|48858|50025|50025|47507|44411|48875|56830|43644|45612|45884|43814|44270|46856|46411|56814|50573|57228|44884|49155|43863|55099|51276|48661|51595|44950|45108|47872|47010|44867|45252|52551|48408|45394|47010|48324|54138|45876|43709|50879|44917|49557|45515|44852|47524|49748|43991|44272|48089|44653|47504|44140|47714|45110|46151|44028|44088|48718|48718|46146|51758|53504|45174|45865|47090|43891|56551|46788|54487|47509|47054|47054|48551|54760|47231|45712|43712|44351|57043|44915|44276|48225|44779|47426|44342|44487|46256|52249|49908|44583|44583|44882|46923|44138|52923|43703,28206.4594102067,28149.5405897933,3,FALSE,1,3,17831,57306,2.625,3.375,1,3,3,0.75,1,#444444,#de6757,0.5,,19,1,0.5,0.9,1,182234,0.165417942773529,"Echelon 1
(17%)"
