coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,exagt_name,mean_y,outcome,bandwidth
-0.0032457669547008,-0.00661004258184539,0.00952413478066464,0.010708343021538,0.733258749396505,0.53705026558934,14426,16919,1,0.716916347868612,1.70757282672677,16,TRUE,FALSE,"","",-0.0219130711248035,0.0154215372154019,-0.0275983949040599,0.0143783097403691,Générale,0.960770016042001,enrol_year_bac_all_0914,mse
-0.029975026562592,-0.0341998249339577,0.0313644074547847,0.0376826279284272,0.339222817760812,0.364102612815127,2626,1838,1,0.745214445400454,1.51504352077401,16,TRUE,FALSE,"","",-0.09144926517397,0.031499212048786,-0.108057775673675,0.0396581258057596,Technologique,0.923220973782772,enrol_year_bac_all_0914,mse
5.27280952919629,5.32469300193697,3.12312990176489,3.13222054092473,0.0913518542749524,0.0891358449977989,61,525,1,0.324078755074087,0.886568071286219,16,TRUE,FALSE,*,*,-0.848525078262888,11.3941441366555,-0.81445925827551,11.4638452621494,Professionnelle,0.82,enrol_year_bac_all_0914,mse
-0.00689426733659815,0.00140590819126141,0.00581254049944973,0.0177271517943639,0.235581924003548,0.936787498040904,26639,22058,1,1,1,16,TRUE,FALSE,"","",-0.0182868467155196,0.00449831204232331,-0.0333393093256919,0.0361511257082147,Générale,0.960770016042001,enrol_year_bac_all_0914,"(15, 17)"
-0.00848898697821854,-0.0456628314669412,0.0200945780188342,0.0616324225318237,0.672695408834197,0.458760277626952,4839,2193,1,1,1,16,TRUE,FALSE,"","",-0.0478743598951335,0.0308963859386964,-0.166462379629316,0.0751367166954334,Technologique,0.923220973782772,enrol_year_bac_all_0914,"(15, 17)"
0.0214307119940038,0.0961516739476709,0.036025381345733,0.103130700175126,0.551924927711833,0.351166868719813,3756,1106,1,1,1,16,TRUE,FALSE,"","",-0.0491790354436329,0.0920404594316405,-0.105984498395576,0.298287846290918,Professionnelle,0.82,enrol_year_bac_all_0914,"(15, 17)"
0.0113086811439505,0.00737525042866016,0.0156374531497041,0.0187116600079132,0.469569784802439,0.693468339618267,21904,20178,1,0.880289659606075,1.84742982361914,16,TRUE,FALSE,"","",-0.0193407270294696,0.0419580893173705,-0.0292996031868498,0.0440501040441701,Générale,0.716639929998542,enrol_2_ontime_all_0914,mse
-0.0725609906839342,-0.0823746446482807,0.0581483987000108,0.0680674143863121,0.212082773000514,0.226205202926663,2072,1693,1,0.655619834218666,1.39605897688827,16,TRUE,FALSE,"","",-0.186531852135955,0.0414098707680869,-0.215786776845452,0.051037487548891,Technologique,0.801498127340824,enrol_2_ontime_all_0914,mse
0.115580871631765,0.13061243977676,0.17736195232346,0.195735264538683,0.514616232812044,0.504586080344579,660,712,1,0.487261247126676,1.09366471719428,16,TRUE,FALSE,"","",-0.232048554922215,0.463210298185746,-0.25302867871906,0.51425355827258,Professionnelle,0.689333333333333,enrol_2_ontime_all_0914,mse
0.0011056103305962,0.0770704543987979,0.0131825368656827,0.0408795810330857,0.933160337041245,0.059388751112475,26639,22058,1,1,1,16,TRUE,FALSE,"",*,-0.0247321619261418,0.0269433825873342,-0.00305352442605011,0.157194433223646,Générale,0.716639929998542,enrol_2_ontime_all_0914,"(15, 17)"
-0.0396959600124422,-0.103585212181974,0.029874346742438,0.0896062622939897,0.183925803601178,0.247679454463394,4839,2193,1,1,1,16,TRUE,FALSE,"","",-0.0982496796276207,0.0188577596027362,-0.279213486278193,0.0720430619142463,Technologique,0.801498127340824,enrol_2_ontime_all_0914,"(15, 17)"
-0.00219541130908874,0.059325914923529,0.0434795559466223,0.122475813958335,0.959729562474886,0.628109951762306,3756,1106,1,1,1,16,TRUE,FALSE,"","",-0.0874153409644684,0.0830245183462909,-0.180726680434807,0.299378510281865,Professionnelle,0.689333333333333,enrol_2_ontime_all_0914,"(15, 17)"
-0.0126418005602074,-0.0160809654920975,0.0100502337521937,0.0116244372507413,0.208441904911158,0.166549658665328,19483,19082,1,0.825297969487112,1.85574110166012,16,TRUE,FALSE,"","",-0.0323402587145069,0.00705665759409222,-0.0388648625035504,0.00670293151935547,Générale,0.925477614116961,enrol_2_anytime_all_0914,mse
-0.0496458426082631,-0.0567209870619099,0.0425863551638613,0.0501186210130214,0.243707949619825,0.257745950195731,2151,1730,1,0.679217772232884,1.43617868717654,16,TRUE,FALSE,"","",-0.133115098729431,0.0338234135129051,-0.154953484247432,0.041511510123612,Technologique,0.892322097378277,enrol_2_anytime_all_0914,mse
0.0532100676622362,0.0569057491692102,0.123738716694953,0.14159546821367,0.66718141774744,0.687765260891209,865,771,1,0.538001374893252,1.15788395166556,16,TRUE,FALSE,"","",-0.189317817059872,0.295737952384344,-0.220621368529583,0.334432866868004,Professionnelle,0.736,enrol_2_anytime_all_0914,mse
