coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome_var,ins_princip
-0.00358113280209205,-0.00409394796180873,0.006644702328611,0.00822035733461191,0.589924420752793,0.618466035594722,9525,9414,1,1.12040476368914,2.23784988497501,16,"","",-0.0166047493661696,0.00944248376198551,-0.0202058483376481,0.0120179524140306,enrol_2_anytime_all_0914,cpge
-0.00618279507393993,-0.0109388244686719,0.00756927308772959,0.0234082787871199,0.414026662359623,0.64028110668338,7956,8487,1,1,1,16,"","",-0.0210185703258899,0.00865298017801006,-0.0568190508914268,0.034941401954083,enrol_2_anytime_all_0914,cpge
-0.0365157549790829,-0.0405926899409406,0.0218929022641236,0.0264234097469712,0.0953302899517398,0.124479612926793,2532,1406,1,0.797829469368386,1.62677858442354,16,*,"",-0.0794258434167652,0.00639433345859938,-0.0923825730450041,0.0111971931631229,enrol_2_anytime_all_0914,dut
-0.0372599466839665,-0.0372591434910601,0.0163665987564766,0.04807735267382,0.0228110433645788,0.438349551562629,3901,1593,1,1,1,16,**,"",-0.0693384802466606,-0.00518141312127238,-0.131490754731747,0.0569724677496272,enrol_2_anytime_all_0914,dut
-0.0108831448115079,-0.0125481289436302,0.0185448720778214,0.022543110536059,0.557301315100094,0.577781545956442,6155,4661,1,0.804358714683816,1.6436968336525,16,"","",-0.0472310940840378,0.025464804461022,-0.0567326255943059,0.0316363677070454,enrol_2_anytime_all_0914,licence/master
-0.00828780970802256,-0.0165612054012994,0.0136364855969914,0.0429901059532797,0.543341835787258,0.700064831968839,9109,5378,1,1,1,16,"","",-0.0350153214781258,0.0184397020620807,-0.100821813069728,0.0676994022671288,enrol_2_anytime_all_0914,licence/master
-0.0373792467417946,-0.0398531142288419,0.0307172609889085,0.0379075275602045,0.223649551704283,0.293109556946915,3213,3468,1,0.847332528929238,1.71268450366137,16,"","",-0.0975850782800552,0.022826584796466,-0.114151868246843,0.034445639789159,enrol_2_anytime_all_0914,medecine
-0.0264734461531884,-0.0827891058541153,0.0245309666962469,0.0742226583373973,0.280505358514723,0.264672397179093,4386,3878,1,1,1,16,"","",-0.0745541408778324,0.0216072485714556,-0.228265516195414,0.0626873044871834,enrol_2_anytime_all_0914,medecine
0.0840818097907428,0.0885992111636353,0.0950557403750639,0.104573796425271,0.376397938560767,0.396860787321104,797,942,1,0.485594058548219,1.10666601732802,16,"","",-0.102227441344383,0.270391060925868,-0.116365429829897,0.293563852157167,enrol_2_anytime_all_0914,bts
-0.0246170368259167,-0.0266160177154746,0.0213944851091114,0.064629346911961,0.249886401138901,0.680467277176996,4348,1490,1,1,1,16,"","",-0.0665502276397749,0.0173161539879416,-0.153289537662918,0.100057502231969,enrol_2_anytime_all_0914,bts
0.00588692093844045,0.00653955918919325,0.0188667984483911,0.023554143937621,0.755021195517119,0.781289157860454,3029,3301,1,0.944294515042335,1.87387498773082,16,"","",-0.0310920040204062,0.0428658458972871,-0.0396265629285439,0.0527056813069304,enrol_2_anytime_all_0914,other
0.00714551844394418,-0.00622880301446971,0.0175392749726953,0.0573650422350118,0.683713480872652,0.91353414888621,3304,3387,1,1,1,16,"","",-0.0272314605025386,0.041522497390427,-0.118664285795093,0.106206679766153,enrol_2_anytime_all_0914,other
0.00855770454533422,0.0116406803810341,0.0144460410194754,0.01759983205101,0.553588798140797,0.508350308401363,10211,9915,1,1.18098140296942,2.45414884296006,16,"","",-0.0197565358528376,0.0368719449435061,-0.0228549904389456,0.0461363512010137,enrol_2_ontime_all_0914,cpge
0.0154163338635618,0.0636487371171919,0.0175018326480314,0.0538914250292844,0.378403820246517,0.237580873926116,7956,8487,1,1,1,16,"","",-0.0188872581265797,0.0497199258537033,-0.0419784559402056,0.169275930174589,enrol_2_ontime_all_0914,cpge
-0.053129134545796,-0.0649201300384128,0.0328989024725041,0.0376172893998513,0.106327763991342,0.0843823856463755,2374,1398,1,0.779110149652511,1.76288057380521,16,"",*,-0.117610983391904,0.011352714300312,-0.138650017262121,0.00880975718529581,enrol_2_ontime_all_0914,dut
-0.0555763597039403,-0.0592014439803723,0.0240506772654849,0.0693295580031267,0.0208437788859079,0.393152931292721,3901,1593,1,1,1,16,**,"",-0.102715687144291,-0.00843703226358983,-0.195087377666501,0.0766844897057559,enrol_2_ontime_all_0914,dut
0.00261360277325107,0.00372949935555944,0.0393886905789337,0.047029668879812,0.947095878969782,0.936793217963639,4283,4082,1,0.67624964181285,1.41748783758952,16,"","",-0.0745882307614589,0.0798154363079611,-0.0884486516488721,0.095907650359991,enrol_2_ontime_all_0914,licence/master
-0.00297676642024536,0.0142079526284229,0.0210908857033268,0.0652672464284617,0.887759388982252,0.827671542086132,9109,5378,1,1,1,16,"","",-0.0443149023987658,0.0383613695582751,-0.113715850371362,0.142131755628208,enrol_2_ontime_all_0914,licence/master
0.102080981914284,0.119019960493185,0.0527880547807321,0.0622946598424351,0.0531390239641495,0.0560564515537786,2331,2920,1,0.6971677616411,1.51162173189538,16,*,*,-0.00138360545595108,0.205545569284519,-0.00307757279798833,0.241117493784357,enrol_2_ontime_all_0914,medecine
0.0284842155996803,0.223714609596121,0.0311981704830303,0.0928175481807135,0.361237721063631,0.01594106812417,4386,3878,1,1,1,16,"",**,-0.0326641985470592,0.0896326297464198,0.041792215161923,0.40563700403032,enrol_2_ontime_all_0914,medecine
0.0483241612002243,0.0471700744021804,0.0827206323447769,0.0938111982743189,0.559095782389999,0.615091372872871,1050,1018,1,0.531723937807998,1.16659838240708,16,"","",-0.113808278195538,0.210456600595987,-0.136699874215485,0.231040023019845,enrol_2_ontime_all_0914,bts
-0.0356966832368144,-0.0610013806212573,0.025453598072199,0.0754145042980626,0.16078929899065,0.418583438793187,4348,1490,1,1,1,16,"","",-0.0855857354583245,0.0141923689846956,-0.20881380904546,0.0868110478029454,enrol_2_ontime_all_0914,bts
0.0435896361070047,0.0584420802130312,0.0434315197639039,0.0510721578933745,0.315551882659761,0.25249753916913,2514,2970,1,0.84539297559435,1.85654635800218,16,"","",-0.0415361426302469,0.128715414844256,-0.0416593492579827,0.158543509684045,enrol_2_ontime_all_0914,other
0.0407987518919026,0.0655354930465246,0.0341532473977816,0.108854176630479,0.232251560720655,0.547141858266499,3304,3387,1,1,1,16,"","",-0.0261416130077493,0.107739116791555,-0.147818693149215,0.278889679242264,enrol_2_ontime_all_0914,other
0.00919458833709363,0.0116409520328897,0.0118664191085786,0.0145435535985228,0.438433604537987,0.4234674628352,9141,9219,1,1.08881090482735,2.19090167969101,16,"","",-0.0140635931157204,0.0324527697899076,-0.016864413020215,0.0401463170859945,enrol_3_anytime_all_0914,cpge
0.0109614271656739,0.0380888300548938,0.0131581791547173,0.0407540985916421,0.404816272796967,0.349993852711724,7956,8487,1,1,1,16,"","",-0.014828603977572,0.0367514583089199,-0.0417892031847247,0.117966863294512,enrol_3_anytime_all_0914,cpge
0.0799453122782894,0.0665053857260824,0.0983559364986455,0.112257105143422,0.416323365961799,0.553557261729153,1145,1097,1,0.566648680179727,1.24413373714139,16,"","",-0.112832323259056,0.272722947815635,-0.153518540355024,0.286529311807189,enrol_3_anytime_all_0914,dut
-0.0299430924025881,0.0518863631064943,0.0357225904942117,0.106360605053883,0.40191183134376,0.625667135426638,3901,1593,1,1,1,16,"","",-0.099959369771243,0.0400731849660668,-0.156580422799116,0.260353149012105,enrol_3_anytime_all_0914,dut
-0.0258357117822516,-0.0304768204490098,0.0278467263543712,0.0329061358930317,0.353520284446806,0.354355357669139,4414,4128,1,0.688913609533786,1.4700591209238,16,"","",-0.0804152954368193,0.028743871872316,-0.0949728467993518,0.0340192059013323,enrol_3_anytime_all_0914,licence/master
-0.00952362977746812,-0.0506357753073705,0.0156392591567956,0.0482669874350783,0.542553219174885,0.294142786374461,9109,5378,1,1,1,16,"","",-0.0401765777247876,0.0211293181698513,-0.145239070680124,0.0439675200653829,enrol_3_anytime_all_0914,licence/master
-0.0383420400980818,-0.0340781072590488,0.0345267342627903,0.0421959529118257,0.266782359544279,0.419311938531038,2833,3287,1,0.783529222544664,1.61323354732081,16,"","",-0.106014439253151,0.0293303590569872,-0.116782174966227,0.0486259604481296,enrol_3_anytime_all_0914,medecine
-0.0178377912000585,-0.0989068164060107,0.0246169585943542,0.0749011248517884,0.468688908481636,0.186668665951228,4386,3878,1,1,1,16,"","",-0.0660870300449926,0.0304114476448757,-0.245713021115516,0.0478993883034945,enrol_3_anytime_all_0914,medecine
0.018933880492878,0.0035010480084765,0.112178654967417,0.128615247060801,0.865967116140391,0.97828338963347,1273,1090,1,0.570661678554594,1.23987223483464,16,"","",-0.20093628324326,0.238804044229016,-0.248584836230694,0.255586932247647,enrol_3_anytime_all_0914,bts
-0.00439533407610315,0.0693633183570011,0.0422362534474234,0.12234031219702,0.917117420978397,0.570734388763152,4348,1490,1,1,1,16,"","",-0.087178390833053,0.0783877226808467,-0.170423693549159,0.309150330263161,enrol_3_anytime_all_0914,bts
-0.0700424277903098,-0.081312839754518,0.0467913317087842,0.053799963371518,0.13441659195671,0.130688580288387,1600,2329,1,0.657732151163562,1.50795846221293,16,"","",-0.161753437939527,0.0216685823589072,-0.186760767962693,0.0241350884536573,enrol_3_anytime_all_0914,other
-0.0564153089675967,-0.122292880016612,0.023726835181397,0.0757294257513256,0.0174209669878843,0.106339701790274,3304,3387,1,1,1,16,**,"",-0.102919905923135,-0.00991071201205859,-0.27072255448921,0.0261367944559863,enrol_3_anytime_all_0914,other
0.0531946358105606,0.0641853701345228,0.0402088295858297,0.0471805800547545,0.185848989465021,0.173697284852229,4679,6434,1,0.722528632481252,1.61341388487346,16,"","",-0.0256146701776655,0.132003941798787,-0.0282885667727961,0.156659307041842,enrol_3_ontime_all_0914,cpge
0.0434758375027853,0.0604198603951589,0.0247819712186419,0.0765693804663897,0.0793734119489865,0.43006148257371,7956,8487,1,1,1,16,*,"",-0.00509682608575294,0.0920485010913235,-0.0896561253189649,0.210495846109283,enrol_3_ontime_all_0914,cpge
-0.00901192422863639,-0.0309978063354128,0.122751038075454,0.137214270908222,0.941474865276361,0.821272948220363,985,1052,1,0.546997887819834,1.23431602328237,16,"","",-0.249603958856527,0.231580110399254,-0.299937777315527,0.237942164644701,enrol_3_ontime_all_0914,dut
-0.027222140360349,-0.00665834676421517,0.0413834900457336,0.121135276158351,0.510665402609965,0.956165385324775,3901,1593,1,1,1,16,"","",-0.108333780849987,0.053889500129289,-0.244083488034583,0.230766794506152,enrol_3_ontime_all_0914,dut
0.0017488327722881,0.00446476296605036,0.0524761291302505,0.0613711099026032,0.973414418267796,0.942004868805341,3494,3773,1,0.616666579259987,1.32472096294341,16,"","",-0.101104380323003,0.104602045867579,-0.115822612443052,0.124752138375153,enrol_3_ontime_all_0914,licence/master
-0.0130883517506757,-0.0221934335273675,0.0230888194703886,0.0708247266956887,0.570802723773018,0.754009345830088,9109,5378,1,1,1,16,"","",-0.0583424379126374,0.0321657344112861,-0.161009897850917,0.116623030796182,enrol_3_ontime_all_0914,licence/master
0.0582181115533039,0.0626317822644094,0.0403247518774524,0.0502073776275456,0.148814537754155,0.212228243442603,3203,3389,1,0.829062797444777,1.6375576337945,16,"","",-0.0208184021265028,0.137254625233111,-0.03577467788558,0.161038242414399,enrol_3_ontime_all_0914,medecine
0.0218592909363737,0.181369434303058,0.0312657029964119,0.0931189072549756,0.484460798555143,0.0514486347507551,4386,3878,1,1,1,16,"",*,-0.0394214869365935,0.083140068809341,-0.00114362391669393,0.36388249252281,enrol_3_ontime_all_0914,medecine
0.0267224592411146,0.027016247878342,0.0607394500374419,0.0740891666475053,0.659971673281033,0.715376381853699,2346,1288,1,0.746605245892336,1.48130230609893,16,"","",-0.0923268628322715,0.145771781314501,-0.118198518750768,0.172231014507452,enrol_3_ontime_all_0914,bts
0.0096376707097745,0.0705751761708111,0.0401968287361482,0.115606705722596,0.810514793257718,0.541546211100016,4348,1490,1,1,1,16,"","",-0.069148113613076,0.088423455032625,-0.156013967045477,0.297164319387099,enrol_3_ontime_all_0914,bts
0.016925315185085,0.0220832646029603,0.0342585001329447,0.0425153730469198,0.621272863830149,0.603469042886531,3596,3600,1,1.0594461587974,2.03449934753763,16,"","",-0.0502213450754866,0.0840719754456566,-0.0612468665690025,0.105413395774923,enrol_3_ontime_all_0914,other
0.0145368791574547,0.066375028950153,0.0368605356667756,0.11759488760379,0.693304090168903,0.572456050258334,3304,3387,1,1,1,16,"","",-0.0577097707494255,0.0867835290643349,-0.164110950753274,0.296861008653581,enrol_3_ontime_all_0914,other
-0.0289257346047223,-0.0374958456581527,0.0357391337387782,0.0434614796534743,0.418309562259197,0.388281842842659,5571,7020,1,0.790935347454283,1.65912039013888,16,"","",-0.0989744367327276,0.0411229675232831,-0.122680345778962,0.047688654462657,grad_5_all,cpge
-0.020062164561129,-0.043989306228909,0.0257169769225306,0.078950586063146,0.435323986559642,0.577407752535871,7956,8487,1,1,1,16,"","",-0.0704674393292889,0.030343110207031,-0.198732454912675,0.110753842454857,grad_5_all,cpge
-0.0535997800675343,-0.0621023569279666,0.0313961763338094,0.0366113716388018,0.0877835367306395,0.0898369019779036,2098,1340,1,0.730947222468578,1.57401024979213,16,*,*,-0.115136285681801,0.00793672554673214,-0.133860645340018,0.00965593148408496,grad_5_all,dut
-0.0380733370985995,-0.0770891027159384,0.0202782472931804,0.0600574062538809,0.0604433326056641,0.199285353643805,3901,1593,1,1,1,16,*,"",-0.0778187017932331,0.00167202759603406,-0.194801618973545,0.0406234135416682,grad_5_all,dut
-0.0149433939902663,-0.0116973295258371,0.0337343822076027,0.040192796238155,0.65778583241241,0.771027994135939,4563,4169,1,0.692558502119761,1.4572269934457,16,"","",-0.0810627831171677,0.051175995136635,-0.0904752101526209,0.0670805511009467,grad_5_all,licence/master
-0.0046184825151574,-0.0041728590860064,0.0191823101402581,0.0585552389526869,0.809735091315221,0.943187937906524,9109,5378,1,1,1,16,"","",-0.0422158103900633,0.0329788453597485,-0.118941127433273,0.11059540926126,grad_5_all,licence/master
-0.0510955429772245,-0.0625107103849178,0.0411018740887723,0.0485703067912759,0.213814820761281,0.19808908155185,3003,3287,1,0.798136279531495,1.72791283324394,16,"","",-0.131655216191218,0.0294641302367692,-0.157708511695819,0.0326870909259829,grad_5_all,medecine
-0.0337144936236557,-0.12440357648036,0.0294546971231016,0.0922350034289277,0.252365784852169,0.177411651560247,4386,3878,1,1,1,16,"","",-0.0914456999849349,0.0240167127376235,-0.305184183201058,0.0563770302403386,grad_5_all,medecine
0.0286818843243755,0.0370540698230368,0.0446369997951689,0.0551149791096955,0.520510608607693,0.501389618999502,2380,2793,1,0.909449290348213,1.83877537187864,16,"","",-0.0588066352741556,0.116170403922907,-0.0709712892319663,0.14507942887804,grad_5_all,other
0.0335972263228772,0.0564570704548937,0.0391481700312483,0.125496016005973,0.39077827345393,0.652803159072467,2710,3009,1,1,1,16,"","",-0.0431331869383695,0.110327639584124,-0.189515120916814,0.302429261826602,grad_5_all,other
0.00863809019456463,0.012699341979713,0.0139354811796584,0.0166041134182344,0.535347938787087,0.444372138617744,8263,8835,1,1.0207762893633,2.18832535407574,16,"","",-0.0186754529175659,0.0359516333066952,-0.0198447203200264,0.0452434042794525,grad_9_all,cpge
0.0094840634199409,0.0917313740184356,0.0143396554683696,0.044943280911643,0.508364084311859,0.0412460996096984,7956,8487,1,1,1,16,"",**,-0.0186216612980636,0.0375897881379454,0.00364254343161538,0.179820204605256,grad_9_all,cpge
-0.0391572414383785,-0.0485642930270096,0.0296380743826859,0.0339680345785218,0.186441237189861,0.152801500480049,2173,1341,1,0.743627128669085,1.6550512742033,16,"","",-0.0972478672284429,0.0189333843516859,-0.115141640800912,0.0180130547468931,grad_9_all,dut
-0.0353372443946345,-0.0441327508515426,0.0194971802911821,0.0583518193707617,0.0699200190864786,0.449456303475683,3901,1593,1,1,1,16,*,"",-0.0735517177653514,0.00287722897608247,-0.158502316818235,0.0702368151151503,grad_9_all,dut
-0.0182226379437944,-0.0188175854754005,0.0287275068406804,0.0344576454096024,0.525867332415909,0.584991907311195,4684,4211,1,0.701508304083638,1.46244454838776,16,"","",-0.074528551351528,0.0380832754639392,-0.0863545704782212,0.0487193995274203,grad_9_all,licence/master
-0.00853612002747939,-0.026113599835464,0.0166185998726873,0.0514184435635087,0.607497716658611,0.61154840358264,9109,5378,1,1,1,16,"","",-0.0411085757779465,0.0240363357229877,-0.126893749219941,0.074666549549013,grad_9_all,licence/master
-0.0465233554987914,-0.0396661482032128,0.0728881611837296,0.0868010882967124,0.523288750122018,0.647687185782058,1987,2820,1,0.653763650500885,1.38875733624176,16,"","",-0.189384151418901,0.0963374404213186,-0.209796281264769,0.130463984858343,grad_9_all,medecine
-0.0127668633695426,-0.0377616328716237,0.0364241953914585,0.112338309351439,0.72595972267029,0.736763728127158,4386,3878,1,1,1,16,"","",-0.0841582863368013,0.0586245595977161,-0.257944719200444,0.182421453457197,grad_9_all,medecine
0.00486124194749893,0.00132941618803351,0.0267663553283308,0.0331362924803798,0.855882814295448,0.967997742439932,2410,2860,1,0.929563670779172,1.86848993812334,16,"","",-0.0476008144960294,0.0573232983910272,-0.0636177170735108,0.0662765494495778,grad_9_all,other
0.00332605382407669,0.0345883716254258,0.0242194478249018,0.0793354607812541,0.890770054638786,0.662854007487109,2710,3009,1,1,1,16,"","",-0.0441440639127307,0.0507961715608841,-0.120909131505832,0.190085874756684,grad_9_all,other
-0.000601129512576737,0.0000202736790542168,0.0114507560268585,0.0141797479828816,0.958132743209198,0.99885921456317,10211,9915,1,1.18668562779772,2.38689090838936,16,"","",-0.0230446113252194,0.0218423523000659,-0.0277720323673937,0.0278125797255021,master_anytime_all,cpge
0.00228806948491922,0.0596550651950887,0.0139966554156637,0.0425513943766,0.870146354373335,0.16092921060963,7956,8487,1,1,1,16,"","",-0.0251453751297817,0.0297215140996202,-0.0237456677830473,0.143055798173225,master_anytime_all,cpge
-0.0169507790055885,-0.0283553220514889,0.150509644342917,0.168910134765751,0.910329811426861,0.86668379238212,861,1014,1,0.511363271400052,1.13590061410844,16,"","",-0.311949681917706,0.278048123906529,-0.359419186192361,0.302708542089383,master_anytime_all,dut
-0.0183028554996583,0.00391731360099357,0.042523504694974,0.12447302027449,0.666892054528911,0.974893770820025,3901,1593,1,1,1,16,"","",-0.101648924701807,0.0650432137024908,-0.240049806137006,0.247884433338993,master_anytime_all,dut
-0.0418416255676424,-0.0486158593287271,0.0355827865580663,0.0421119824419428,0.239636783594873,0.24831882835576,4684,4211,1,0.70088922991645,1.48962411286559,16,"","",-0.111583887221452,0.0279006360861675,-0.131155344914935,0.0339236262574807,master_anytime_all,licence/master
-0.0192170915801044,-0.0614661658008864,0.0206291204020888,0.0632972305332209,0.35156826937442,0.331512445115686,9109,5378,1,1,1,16,"","",-0.0596501675681984,0.0212159844079896,-0.185528737645999,0.0625964060442266,master_anytime_all,licence/master
-0.0425348505244683,-0.0463021259593046,0.042758882788365,0.0529759585592292,0.319852728700166,0.382106553509715,3602,3555,1,0.877099206001081,1.74649645974592,16,"","",-0.126342260789664,0.0412725597407272,-0.150135004735394,0.0575307528167846,master_anytime_all,medecine
-0.0183711791143548,-0.203651024923826,0.0357130036952453,0.11046009359709,0.606964334124123,0.0652324831163632,4386,3878,1,1,1,16,"",*,-0.0883686663570356,0.0516263081283259,-0.420152808374123,0.0128507585264709,master_anytime_all,medecine
0.056764691374577,0.0886168357633999,0.218593368896904,0.22911773663137,0.795109331909833,0.698923358079315,533,866,1,0.439635703239208,1.08090374773246,16,"","",-0.371678311663356,0.48520769441251,-0.360453928034085,0.537687599560885,master_anytime_all,bts
-0.0233407292650032,0.1173974887962,0.0358097250684607,0.101591686821975,0.514531094130757,0.247852318496016,4348,1490,1,1,1,16,"","",-0.0935277903991862,0.0468463318691799,-0.0817222173748703,0.316517194967271,master_anytime_all,bts
-0.0323948977147515,-0.03802778656706,0.0281955210174911,0.0344123274965548,0.250581661294733,0.269132333067925,3161,3386,1,0.979421367039368,1.98699893177511,16,"","",-0.0876581189090341,0.0228683234795311,-0.105475948460307,0.0294203753261873,master_anytime_all,other
-0.0295808805820341,-0.0742632873676166,0.0274221297770192,0.0880263456818184,0.28071125404883,0.398865899041466,3304,3387,1,1,1,16,"","",-0.0833282549449918,0.0241664937809236,-0.246794924903981,0.0982683501687474,master_anytime_all,other
-0.040866145258442,-0.0460104523216114,0.0342450313299816,0.0419447152371435,0.232734190135219,0.272671619743926,5310,7015,1,0.789483643265456,1.63847982096447,16,"","",-0.107986406665206,0.026254116148322,-0.128222094186413,0.03620118954319,master_select_anytime_all,cpge
-0.0345630416943148,-0.0584772831580598,0.0247474142336524,0.0751474502575317,0.162524127852629,0.436470433284313,7956,8487,1,1,1,16,"","",-0.0830679735922736,0.013941890203644,-0.205766285662822,0.0888117193467024,master_select_anytime_all,cpge
-0.0313555142295678,-0.0474402481323152,0.0934234919731075,0.107448007393744,0.737151612790762,0.658837906662554,1224,1127,1,0.589765871631226,1.28100221313366,16,"","",-0.214465558496859,0.151754530037723,-0.258038342624054,0.163157846359423,master_select_anytime_all,dut
-0.003888751082336,-0.0188474634827439,0.0385459468836758,0.111355442302934,0.919640860297698,0.865596083481193,3901,1593,1,1,1,16,"","",-0.0794388069743406,0.0716613048096686,-0.237104130396495,0.199409203431007,master_select_anytime_all,dut
