coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome,placebo,mean_y,bandwidth
0.00917284081234016,0.0108242861212096,0.00375747515042577,0.00413153799031659,0.0146375475795797,0.00879512011655549,50675,36678,1,0.685264224037888,1.44552174785591,15,FALSE,FALSE,**,***,0.00180818951750565,0.0165374921071747,0.00272647166018904,0.0189221005822301,enrol_year_bac_all_0914,Grade 15,0.926,MSE-optimal
-0.0036366956529883,-0.00583663624486563,0.00480868488658681,0.00533259735728966,0.449483400138994,0.273726833882654,82436,43970,1,1.02848433415231,2.60049481548963,15,TRUE,FALSE,"","",-0.0130617180306984,0.00578832672472185,-0.0162885270651534,0.00461525457542211,enrol_year_bac_all_0914,Grade 15,0.926,MSE-optimal
0.00875545377329079,0.00952968400164134,0.00252880960823791,0.0029880850541801,0.000535614222598785,0.00142653401870584,157541,119807,1,1.27065551574455,2.28249446370536,14,FALSE,FALSE,***,***,0.00379898694114449,0.0137119206054371,0.00367303729544833,0.0153863307078343,enrol_year_bac_all_0914,Grade 14,0.912,MSE-optimal
0.00227154003373942,0.00156706862246336,0.00356628030993417,0.00435611387498367,0.524157816271886,0.719041538906987,128313,90585,1,1.19864673449179,2.36040563852334,14,TRUE,FALSE,"","",-0.00471836937373156,0.00926144944121039,-0.00697091457250463,0.0101050518174314,enrol_year_bac_all_0914,Grade 14,0.912,MSE-optimal
0.0718946664881579,0.0753643634926673,0.00828398456725242,0.00869540038861011,0.00000000000000000400127126948715,0.00000000000000000443060339539378,42807,60949,1,0.633802370864056,1.81481945998318,16,FALSE,FALSE,***,***,0.0556580567363432,0.0881312762399726,0.0583213787309915,0.0924073482543431,enrol_year_bac_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.732,MSE-optimal
-0.015925698060725,-0.0183227091307514,0.00990341604534304,0.0118458101132497,0.107812953783133,0.121919420834122,56453,49994,1,0.821152506472394,1.72196763461886,16,TRUE,FALSE,"","",-0.0353363935095973,0.00348499738814738,-0.0415404969527208,0.00489507869121797,enrol_year_bac_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.732,MSE-optimal
0.00401126374814043,0.00466437371773765,0.00218745570600891,0.00259392784433245,0.0666899690776213,0.0721469887681667,103595,52828,1,1.08080721421051,1.75170105844496,15,FALSE,FALSE,*,*,-0.000276149435637046,0.0082986769319179,-0.00041972485715396,0.00974847229262925,enrol_anytime_all_0914,Grade 15,0.958,MSE-optimal
0.00041878792889527,-0.00123447789746711,0.00392868203368435,0.00435107553493912,0.915108252356994,0.776626596414786,70496,35989,1,0.987432816135728,2.45075395208924,15,TRUE,FALSE,"","",-0.00728142885712605,0.00811900471491659,-0.00976258594594779,0.00729363015101357,enrol_anytime_all_0914,Grade 15,0.958,MSE-optimal
0.0108503241493605,0.0117484469169984,0.00231266274130804,0.002642871082706,0.00000270941727263368,0.00000877550751979927,123199,107405,1,1.06743979432728,2.10223545262517,14,FALSE,FALSE,***,***,0.00631750517639674,0.0153831431223242,0.00656841959489464,0.0169284742391021,enrol_anytime_all_0914,Grade 14,0.946,MSE-optimal
0.00569572583265865,0.00586777350711198,0.00333730308674192,0.0041422193979111,0.0878805769248028,0.15660658194218,99108,80940,1,1.02306600920667,1.9988851963679,14,TRUE,FALSE,*,"",-0.000845388217355523,0.0122368398826728,-0.00225097651279376,0.0139865235270177,enrol_anytime_all_0914,Grade 14,0.946,MSE-optimal
0.16765561739983,0.171827199709544,0.013359455308044,0.0136675794276564,0.0000000000000000000000000000000000039959973947263,0.00000000000000000000000000000000000301460011195794,17356,45278,1,0.389036411475962,1.37064742350842,16,FALSE,FALSE,***,***,0.141471084996064,0.193840149803596,0.145038744031337,0.198615655387751,enrol_anytime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.813,MSE-optimal
-0.0159482794806163,-0.01882642026291,0.0103071944469175,0.0120137489095094,0.121791915275991,0.117097654338631,46559,45853,1,0.741592828274105,1.63291138823992,16,TRUE,FALSE,"","",-0.0361503805965746,0.00425382163534205,-0.0423733681255485,0.00472052759972843,enrol_anytime_all_0914,Grade 16 Not Eligible to Need-Based Grant,0.813,MSE-optimal
0.00526263600857968,0.00749694977585191,0.0054269512812309,0.00623490566390486,0.332184901475887,0.229202427534352,103222,51463,1,1.0656357478842,1.89374846130093,15,FALSE,FALSE,"","",-0.00537418850263288,0.0158994605197922,-0.00472346532540161,0.0197173648771054,enrol_2_ontime_all_0914,Grade 15,0.679,MSE-optimal
