freq,id,year_bac_plus,echelon
3,102,3,5
8,103,1,0
8,103,2,7
8,103,3,6
26,104,1,0
26,104,2,7
26,104,3,7
3,105,1,0
3,105,2,7
3,105,3,"enrolled + FA app.
but not eligible"
17,106,1,0
17,106,2,7
17,106,3,
1221,107,1,0
1221,107,2,"enrolled + FA app.
but not eligible"
1221,107,3,0
813,108,1,0
813,108,2,"enrolled + FA app.
but not eligible"
813,108,3,0bis
116,109,1,0
116,109,2,"enrolled + FA app.
but not eligible"
116,109,3,1
59,110,1,0
59,110,2,"enrolled + FA app.
but not eligible"
59,110,3,2
27,111,1,0
27,111,2,"enrolled + FA app.
but not eligible"
27,111,3,3
21,112,1,0
21,112,2,"enrolled + FA app.
but not eligible"
21,112,3,4
27,113,1,0
27,113,2,"enrolled + FA app.
but not eligible"
27,113,3,5
22,114,1,0
22,114,2,"enrolled + FA app.
but not eligible"
22,114,3,6
13,115,1,0
13,115,2,"enrolled + FA app.
but not eligible"
13,115,3,7
2325,116,1,0
2325,116,2,"enrolled + FA app.
but not eligible"
2325,116,3,"enrolled + FA app.
but not eligible"
172,117,1,0
172,117,2,"enrolled + FA app.
but not eligible"
172,117,3,"not enrolled + FA app.
but not eligible"
6845,118,1,0
6845,118,2,"enrolled + FA app.
but not eligible"
6845,118,3,
42,119,1,0
42,119,2,"not enrolled + FA app.
but not eligible"
42,119,3,0
21,120,1,0
21,120,2,"not enrolled + FA app.
but not eligible"
21,120,3,0bis
7,121,1,0
7,121,2,"not enrolled + FA app.
but not eligible"
7,121,3,1
2,122,1,0
2,122,2,"not enrolled + FA app.
but not eligible"
2,122,3,2
3,123,1,0
3,123,2,"not enrolled + FA app.
but not eligible"
3,123,3,3
1,124,1,0
1,124,2,"not enrolled + FA app.
but not eligible"
1,124,3,4
2,125,1,0
2,125,2,"not enrolled + FA app.
but not eligible"
2,125,3,5
1,126,1,0
1,126,2,"not enrolled + FA app.
but not eligible"
1,126,3,6
1,127,1,0
1,127,2,"not enrolled + FA app.
but not eligible"
1,127,3,7
20,128,1,0
20,128,2,"not enrolled + FA app.
but not eligible"
20,128,3,"enrolled + FA app.
but not eligible"
62,129,1,0
62,129,2,"not enrolled + FA app.
but not eligible"
62,129,3,"not enrolled + FA app.
but not eligible"
829,130,1,0
829,130,2,"not enrolled + FA app.
but not eligible"
829,130,3,
4934,131,1,0
4934,131,2,
4934,131,3,0
3207,132,1,0
3207,132,2,
3207,132,3,0bis
1240,133,1,0
1240,133,2,
1240,133,3,1
287,134,1,0
287,134,2,
287,134,3,2
199,135,1,0
199,135,2,
199,135,3,3
148,136,1,0
148,136,2,
148,136,3,4
170,137,1,0
170,137,2,
170,137,3,5
120,138,1,0
120,138,2,
120,138,3,6
27,139,1,0
27,139,2,
27,139,3,7
1884,140,1,0
1884,140,2,
1884,140,3,"enrolled + FA app.
but not eligible"
321,141,1,0
321,141,2,
321,141,3,"not enrolled + FA app.
but not eligible"
59222,142,1,0
59222,142,2,
59222,142,3,
40,143,1,0bis
40,143,2,0
40,143,3,0
1572,144,1,0bis
1572,144,2,0
1572,144,3,0bis
46,145,1,0bis
46,145,2,0
46,145,3,1
18,146,1,0bis
18,146,2,0
18,146,3,2
16,147,1,0bis
16,147,2,0
16,147,3,3
5,148,1,0bis
5,148,2,0
5,148,3,4
9,149,1,0bis
9,149,2,0
9,149,3,5
4,150,1,0bis
4,150,2,0
4,150,3,6
1,151,1,0bis
1,151,2,0
1,151,3,7
709,152,1,0bis
709,152,2,0
709,152,3,"enrolled + FA app.
but not eligible"
70,153,1,0bis
70,153,2,0
