coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,echelon_gp,mean_y,outcome,bandwidth
0.00583760538751355,0.007513719973824,0.0137541327948805,0.0169046899286978,0.671255489951756,0.656698861141417,7501,3133,1,1.35075791048885,2.53550795411268,16,TRUE,FALSE,"","",-0.0211204948904522,0.0327957056654793,-0.0256194722864236,0.0406469122340716,6_7,0.9313824419778,enrol_year_bac_all_0914,mse
-0.0241972475754571,-0.029986828811388,0.0148979313067193,0.0169080825241164,0.104332736387193,0.0761425191986952,6449,4272,1,0.955933962934266,2.15160095855132,16,TRUE,FALSE,"",*,-0.0533971929366268,0.00500269778571274,-0.0631266705586561,0.00315301293588002,4_5,0.944479495268139,enrol_year_bac_all_0914,mse
-0.00194715740757001,-0.00164233202681929,0.0112490359302047,0.0139170415803366,0.862576368421113,0.906060762055082,10151,4966,1,1.34791459095495,2.51522481352521,16,TRUE,FALSE,"","",-0.0239952678307713,0.0201009530156313,-0.0289197335242791,0.0256350694706405,2_3,0.941773865944482,enrol_year_bac_all_0914,mse
0.00294886310797815,0.002103855380164,0.00989907853771484,0.0122044667577208,0.765785069364462,0.863135612508921,11499,5995,1,1.36756610293592,2.57446061520193,16,TRUE,FALSE,"","",-0.0164533308259429,0.0223510570418992,-0.0218168994649688,0.0260246102252968,1,0.940072639225182,enrol_year_bac_all_0914,mse
-0.00779438064141003,-0.0107819914512892,0.00994633365495549,0.0118099095716018,0.433249269154092,0.361262848595744,10979,9607,1,0.975921378023024,2.02071152369045,16,TRUE,FALSE,"","",-0.0272891946051228,0.0117004333223027,-0.0339294142116287,0.0123654313090503,0_0bis,0.951178451178451,enrol_year_bac_all_0914,mse
0.00266274233450181,0.0725866970912152,0.019379673911427,0.0610366771760011,0.890715644986001,0.234348853282556,4242,2565,1,1,1,16,TRUE,FALSE,"","",-0.0353214185318951,0.0406469032008988,-0.0470451901737469,0.192218584356177,6_7,0.9313824419778,enrol_year_bac_all_0914,"(15, 17)"
-0.0218404407450019,-0.057072292569579,0.01408332799086,0.0434632335332233,0.120949353439509,0.189143667811654,6790,4372,1,1,1,16,TRUE,FALSE,"","",-0.0494437636070875,0.00576288211708371,-0.142260230294697,0.0281156451555386,4_5,0.944479495268139,enrol_year_bac_all_0914,"(15, 17)"
-0.0078048461720126,-0.00140661956798693,0.0157925480611404,0.0505564499161645,0.621157386516686,0.977803519513958,5984,4029,1,1,1,16,TRUE,FALSE,"","",-0.0387582403718479,0.0231485480278227,-0.100497261403669,0.0976840222676955,2_3,0.941773865944482,enrol_year_bac_all_0914,"(15, 17)"
0.0137374149471281,0.0483331837308967,0.0139208139250025,0.0411571775403141,0.323728163851351,0.240252409450259,6703,4783,1,1,1,16,TRUE,FALSE,"","",-0.0135473803458769,0.0410222102401331,-0.0323348842481189,0.129001251709912,1,0.940072639225182,enrol_year_bac_all_0914,"(15, 17)"
-0.00735546625551287,-0.00307753833107727,0.00964455797289241,0.0301538607304086,0.445669428245065,0.918708121214632,11515,9608,1,1,1,16,TRUE,FALSE,"","",-0.026258799882382,0.0115478673713563,-0.0621791053626781,0.0560240287005235,0_0bis,0.951178451178451,enrol_year_bac_all_0914,"(15, 17)"
0.00990029604850218,0.0104784767481418,0.0166239783178834,0.0203804955305096,0.551480479388921,0.607152439992349,3323,2370,1,0.878841673806778,1.73968169379053,16,TRUE,FALSE,"","",-0.0226827014545493,0.0424832935515536,-0.0294672944916571,0.0504242479879407,6_7,0.964682139253279,enrol_anytime_all_0914,mse
-0.0196861238446981,-0.0237457928254785,0.0099074861329352,0.0111544316603088,0.0469229684271192,0.0332690396768798,6501,4369,1,0.975587802258417,2.2892510964997,16,TRUE,FALSE,**,**,-0.0391047966652511,-0.00026745102414515,-0.0456084788796837,-0.00188310677127336,4_5,0.975394321766561,enrol_anytime_all_0914,mse
0.00809400696779816,0.00827843359358527,0.0095536882576838,0.0118544694164057,0.39687652088849,0.484965463973667,7828,4534,1,1.15993868043639,2.18255472722203,16,TRUE,FALSE,"","",-0.0106312220172621,0.0268192359528584,-0.0149563264625699,0.0315131936497404,2_3,0.966824644549763,enrol_anytime_all_0914,mse
0.0320410104164131,0.0356616931179334,0.0144431649715345,0.0169266632865876,0.0265261880424033,0.0351318513332961,4054,3921,1,0.755220186403224,1.6623783150831,16,TRUE,FALSE,**,**,0.00373240707220548,0.0603496137606206,0.00248543307622182,0.0688379531596451,1,0.969733656174334,enrol_anytime_all_0914,mse
-0.00521330874007564,-0.00584334321826674,0.00557874121586444,0.0068715427762775,0.350048339690381,0.395120268147725,14233,10609,1,1.12116715626762,2.16921714328744,16,TRUE,FALSE,"","",-0.0161476415231699,0.00572102404301866,-0.0193115670597706,0.00762488062323715,0_0bis,0.979461279461279,enrol_anytime_all_0914,mse
0.00479883931148661,0.0405585595824838,0.0137765762555349,0.0450468817221473,0.72758994037856,0.367926938849639,4242,2565,1,1,1,16,TRUE,FALSE,"","",-0.0222032501493617,0.031800928772335,-0.0477333285929249,0.128850447757892,6_7,0.964682139253279,enrol_anytime_all_0914,"(15, 17)"
-0.0198017042565759,-0.0381257219212636,0.00965727073770786,0.0279759138773368,0.0403210079615251,0.172943900436374,6790,4372,1,1,1,16,TRUE,FALSE,**,"",-0.0387299549024833,-0.000873453610668502,-0.0929585131208438,0.0167070692783165,4_5,0.975394321766561,enrol_anytime_all_0914,"(15, 17)"
0.00751212927835798,0.00704668354444582,0.0115608056845369,0.0383630983819701,0.515826015475072,0.854261439580514,5984,4029,1,1,1,16,TRUE,FALSE,"","",-0.0151470498633344,0.0301713084200503,-0.0681449892842156,0.0822383563731072,2_3,0.966824644549763,enrol_anytime_all_0914,"(15, 17)"
0.0150700278997831,0.065937687166064,0.00977606792070977,0.0291557244923755,0.123189690139632,0.0237240356122566,6703,4783,1,1,1,16,TRUE,FALSE,"",**,-0.00409106522480808,0.0342311210243742,0.00879246716100793,0.12308290717112,1,0.969733656174334,enrol_anytime_all_0914,"(15, 17)"
-0.00415393303956879,0.0184103607599524,0.00641999714353997,0.019881721587629,0.517612296957353,0.354448945199572,11515,9608,1,1,1,16,TRUE,FALSE,"","",-0.0167371274409071,0.00842926136176955,-0.0205578135518004,0.0573785350717052,0_0bis,0.979461279461279,enrol_anytime_all_0914,"(15, 17)"
-0.00296429954921229,-0.0106836115051054,0.032884559652746,0.039924719587878,0.928173900901026,0.789011925255006,4883,2727,1,1.07280160955857,2.06106682725968,16,TRUE,FALSE,"","",-0.0674180364685943,0.0614894373701698,-0.0889360618973464,0.0675688388871355,6_7,0.685166498486377,enrol_2_ontime_all_0914,mse
-0.013872508778676,-0.0144033870588012,0.0206153059078647,0.0255076885573431,0.500996424556512,0.5722992950007,11211,5231,1,1.30612950035334,2.43145350046555,16,TRUE,FALSE,"","",-0.0542785083580907,0.0265334908007388,-0.0643984566311936,0.0355916825135912,4_5,0.709148264984227,enrol_2_ontime_all_0914,mse
-0.0367853664168747,-0.0427947675218372,0.0236708728605666,0.0284814993328598,0.120176052989654,0.132956115466104,7994,4557,1,1.16264808156811,2.32876923119577,16,TRUE,FALSE,"","",-0.0831802772235852,0.00960954438983586,-0.0986185062142425,0.0130289711705681,2_3,0.740013540961408,enrol_2_ontime_all_0914,mse
0.0302150594299715,0.0331385560653839,0.0269027740096802,0.0333036803007585,0.261386282323791,0.31971590461613,6692,4783,1,0.989816361439109,1.91926431841415,16,TRUE,FALSE,"","",-0.0225143776290018,0.0829444964889447,-0.0321366573241027,0.0984137694548704,1,0.727602905569007,enrol_2_ontime_all_0914,mse
-0.0101594498159021,-0.0176864166432074,0.0282215754235759,0.0332545449269577,0.718855542432272,0.594830161938172,7185,7817,1,0.76969209538617,1.66891672179791,16,TRUE,FALSE,"","",-0.0654737376461108,0.0451548380143066,-0.0828653247000445,0.0474924914136298,0_0bis,0.737037037037037,enrol_2_ontime_all_0914,mse
0.000709165090941433,0.0314897660734155,0.0358094984999126,0.110245323019575,0.984199865475529,0.775158782869782,4242,2565,1,1,1,16,TRUE,FALSE,"","",-0.0694774519688873,0.0708957821507702,-0.184591067044951,0.247570599191782,6_7,0.685166498486377,enrol_2_ontime_all_0914,"(15, 17)"
-0.00830598758916157,0.0429783934469938,0.0277280612843708,0.0848390000110642,0.76451913934812,0.612444144092286,6790,4372,1,1,1,16,TRUE,FALSE,"","",-0.0626529877065283,0.0460410125282051,-0.123306046574692,0.20926283346868,4_5,0.709148264984227,enrol_2_ontime_all_0914,"(15, 17)"
-0.0286875301059313,0.0820940190564679,0.0282091368933808,0.0866342846788464,0.309173027573296,0.343336824368327,5984,4029,1,1,1,16,TRUE,FALSE,"","",-0.0839774384169577,0.0266023782050951,-0.0877091789140711,0.251897217027007,2_3,0.740013540961408,enrol_2_ontime_all_0914,"(15, 17)"
0.0291592826248697,0.17912603364428,0.0265804633312402,0.0818916335743321,0.272632933176287,0.0287166546229021,6703,4783,1,1,1,16,TRUE,FALSE,"",**,-0.0229384255043611,0.0812569907541004,0.0186184318385892,0.339633635449971,1,0.727602905569007,enrol_2_ontime_all_0914,"(15, 17)"
-0.0147842912638905,-0.00538130083050925,0.019451891932839,0.0595486334075964,0.447228361005011,0.927994652457853,11515,9608,1,1,1,16,TRUE,FALSE,"","",-0.0529099994522549,0.0233414169244739,-0.122096622309398,0.11133402064838,0_0bis,0.737037037037037,enrol_2_ontime_all_0914,"(15, 17)"
0.0211752331538615,0.0274471821728111,0.0412956026254168,0.0491812274888152,0.608110743577311,0.576788052979715,2315,2067,1,0.73666697609211,1.53525239301343,16,TRUE,FALSE,"","",-0.0597641479919554,0.102114614299678,-0.0689480237052668,0.123842388050889,6_7,0.874873864783048,enrol_2_anytime_all_0914,mse
-0.0318538725167028,-0.0399743237997745,0.02458365304174,0.028246782508528,0.195067179434912,0.157015289754891,4875,3809,1,0.828281267825504,1.84880893056302,16,TRUE,FALSE,"","",-0.0800378324785132,0.0163300874451076,-0.0953380175164893,0.0153893699169403,4_5,0.894637223974763,enrol_2_anytime_all_0914,mse
-0.0183681760625349,-0.0283428727789197,0.0296784132558586,0.0336007818826687,0.53597766344517,0.398938662611432,3407,3249,1,0.73858504701611,1.71650055450752,16,TRUE,FALSE,"","",-0.0765378660440178,0.0398015139189479,-0.0942004052689504,0.037514659711111,2_3,0.909275558564658,enrol_2_anytime_all_0914,mse
0.0096888438404612,0.0149577972769333,0.0263954618298458,0.0312998424097947,0.713570713346572,0.632730418826608,3806,3869,1,0.734605502312612,1.57442460105482,16,TRUE,FALSE,"","",-0.0420462613460366,0.061423949026959,-0.0463898938462644,0.0763054884001309,1,0.906779661016949,enrol_2_anytime_all_0914,mse
-0.0238020639385002,-0.0281236577844255,0.015007443604722,0.0177899642015101,0.11273540405224,0.11390728838524,8925,8518,1,0.850514638227521,1.82182166900571,16,TRUE,FALSE,"","",-0.0532166534037554,0.00561252552675505,-0.0629919876193853,0.00674467205053427,0_0bis,0.917508417508417,enrol_2_anytime_all_0914,mse
0.0136168630435294,0.0564065220263954,0.0253054633896874,0.0800373971097847,0.590508198148925,0.480964535258268,4242,2565,1,1,1,16,TRUE,FALSE,"","",-0.0359818452002579,0.0632155712873167,-0.100466776308783,0.213279820361573,6_7,0.874873864783048,enrol_2_anytime_all_0914,"(15, 17)"
-0.0258006339952965,-0.0540610969918389,0.0189279187341258,0.0585432115911643,0.172851197090131,0.355778366770962,6790,4372,1,1,1,16,TRUE,FALSE,"","",-0.0628993547141831,0.01129808672359,-0.168805791710521,0.060683597726843,4_5,0.894637223974763,enrol_2_anytime_all_0914,"(15, 17)"
-0.0295992077182494,-0.0167771930051592,0.0188555422622901,0.058380502276839,0.116464394059447,0.773823940258545,5984,4029,1,1,1,16,TRUE,FALSE,"","",-0.066556070552338,0.00735765511583917,-0.131202977467764,0.0976485914574452,2_3,0.909275558564658,enrol_2_anytime_all_0914,"(15, 17)"
0.00118103937537084,0.0237308196106394,0.0169415374934574,0.0513106915171159,0.944422377657142,0.643728045149831,6703,4783,1,1,1,16,TRUE,FALSE,"","",-0.0320243741118056,0.0343864528625472,-0.0768381357629078,0.124299774984187,1,0.906779661016949,enrol_2_anytime_all_0914,"(15, 17)"
-0.0204248052229392,-0.0515108829869382,0.0121192217247819,0.0377660720771594,0.0919262370304149,0.172584561382479,11515,9608,1,1,1,16,TRUE,FALSE,*,"",-0.0441784798035117,0.00332886935763327,-0.125532384258171,0.0225106182842942,0_0bis,0.917508417508417,enrol_2_anytime_all_0914,"(15, 17)"
0.00167099490535105,-0.000278326745818402,0.0299732685145591,0.0370778259551829,0.955541360912734,0.994010691779464,6684,3036,1,1.27644930938572,2.37044145557273,16,TRUE,FALSE,"","",-0.0570766113831848,0.0604186011938869,-0.0729508656179769,0.0723942121263401,6_7,0.487386478304743,enrol_3_ontime_all_0914,mse
-0.0219292415662331,-0.0304070607462092,0.0284794156512432,0.0338934548051886,0.441297986552865,0.36964600024859,7796,4590,1,1.06159192683054,2.12154162072152,16,TRUE,FALSE,"","",-0.0777488962426698,0.0338904131102036,-0.0968382321643789,0.0360241106719604,4_5,0.526182965299685,enrol_3_ontime_all_0914,mse
-0.0269600181721807,-0.0353726322392036,0.0268296495342361,0.0317524306275857,0.314964688732975,0.265273451047577,7828,4534,1,1.15732385278287,2.39595276540243,16,TRUE,FALSE,"","",-0.0795461312592835,0.0256260949149221,-0.0976073962692715,0.0268621317908643,2_3,0.568720379146919,enrol_3_ontime_all_0914,mse
0.0827753020758022,0.0927799040703936,0.0311313862076794,0.0368911447627083,0.00783957850132173,0.0119044510719289,6364,4693,1,0.957839096580818,1.99345978800136,16,TRUE,FALSE,***,**,0.0217577851087506,0.143792819042854,0.0204732603354854,0.165086547805302,1,0.558111380145279,enrol_3_ontime_all_0914,mse
0.00535888648667782,-0.00140651237182143,0.030136942650952,0.0363598922552143,0.858866024860638,0.96914306897785,7885,8038,1,0.792743927319512,1.65076272710113,16,TRUE,FALSE,"","",-0.0537095211091882,0.0644272940825438,-0.0726719011920414,0.0698588764483986,0_0bis,0.608080808080808,enrol_3_ontime_all_0914,mse
0.0221022322742097,0.0480094653440912,0.0391062170784504,0.11858960859885,0.571948199525003,0.685597305000388,4242,2565,1,1,1,16,TRUE,FALSE,"","",-0.0545459531995532,0.0987504177479726,-0.184426167509654,0.280445098197837,6_7,0.487386478304743,enrol_3_ontime_all_0914,"(15, 17)"
-0.0237631822431679,-0.000666549509727776,0.0306666072835035,0.0930249010003593,0.438405915665599,0.994282982230136,6790,4372,1,1,1,16,TRUE,FALSE,"","",-0.0838697325188348,0.0363433680324991,-0.182995355470432,0.181662256450976,4_5,0.526182965299685,enrol_3_ontime_all_0914,"(15, 17)"
-0.0374639224967326,0.0969100898554791,0.0318037173762427,0.0970942185300387,0.238807343686309,0.318229120631388,5984,4029,1,1,1,16,TRUE,FALSE,"","",-0.0997992085541682,0.0248713635607031,-0.0933945784633968,0.287214758174355,2_3,0.568720379146919,enrol_3_ontime_all_0914,"(15, 17)"
0.0772085832359923,0.249734900987444,0.0295365693343321,0.0903737560512977,0.00894891163700288,0.00572102525641293,6703,4783,1,1,1,16,TRUE,FALSE,***,***,0.0193169073407013,0.135100259131283,0.0726023391269007,0.426867462847988,1,0.558111380145279,enrol_3_ontime_all_0914,"(15, 17)"
-0.00388676613085948,0.00990967099507345,0.0217743111419885,0.0667228662672224,0.858328460568805,0.881932510933007,11515,9608,1,1,1,16,TRUE,FALSE,"","",-0.0465644159691569,0.0387908837074379,-0.120867146888683,0.140686488878829,0_0bis,0.608080808080808,enrol_3_ontime_all_0914,"(15, 17)"
0.0178859988542488,0.0195954730156542,0.0233577117726393,0.0288376033760731,0.443829374379528,0.496814045621531,7501,3133,1,1.35795755588782,2.52284877914846,16,TRUE,FALSE,"","",-0.0278951162201242,0.0636671139286218,-0.036926229601449,0.0761171756327574,6_7,0.747729566094854,enrol_3_anytime_all_0914,mse
-0.0338432689571375,-0.0399241055264654,0.0329809813144413,0.0395580769301919,0.304823243316139,0.312853342142188,4684,3802,1,0.817252339963235,1.69366115101427,16,TRUE,FALSE,"","",-0.0984859923334425,0.0307994544191674,-0.117457936309642,0.0376097252567107,4_5,0.784227129337539,enrol_3_anytime_all_0914,mse
-0.0341751450094394,-0.0395724037529086,0.0214654110921913,0.0257562183435418,0.111361567189041,0.124435073836986,7454,4417,1,1.12939430753737,2.27902891223821,16,TRUE,FALSE,"","",-0.0762473507501343,0.00789706073125544,-0.0900545917062506,0.0109097842004334,2_3,0.817874069058903,enrol_3_anytime_all_0914,mse
-0.00825424284513243,-0.0135778737508054,0.0168007481681481,0.0198432178413363,0.623212795278592,0.493812479721564,10424,5769,1,1.28729511439959,2.64472033182308,16,TRUE,FALSE,"","",-0.0411837092547026,0.0246752235644378,-0.0524705807198246,0.0253148332182137,1,0.828087167070218,enrol_3_anytime_all_0914,mse
-0.0170713590755036,-0.0174973430012519,0.0187092028102143,0.0231137462943568,0.36152774535174,0.449043717996757,8925,8518,1,0.858957727506039,1.72323836158272,16,TRUE,FALSE,"","",-0.0537413965835236,0.0195986784325164,-0.0628002857381912,0.0278055997356873,0_0bis,0.853198653198653,enrol_3_anytime_all_0914,mse
0.0286048192835338,0.0478710555862594,0.0326470498195482,0.102036911076971,0.38093007007943,0.638959348534194,4242,2565,1,1,1,16,TRUE,FALSE,"","",-0.0353833983627807,0.0925930369298482,-0.152121290124603,0.247863401297122,6_7,0.747729566094854,enrol_3_anytime_all_0914,"(15, 17)"
-0.0254949326540612,-0.0707461729423942,0.0247478523566856,0.0764795014200039,0.302921910990374,0.354947991963976,6790,4372,1,1,1,16,TRUE,FALSE,"","",-0.074000723273165,0.0230108579650425,-0.220645995725602,0.0791536498408134,4_5,0.784227129337539,enrol_3_anytime_all_0914,"(15, 17)"
-0.0451644268123035,0.0374903462898275,0.0249380499021635,0.0771550596102817,0.0701308062939587,0.62703160957272,5984,4029,1,1,1,16,TRUE,FALSE,*,"",-0.0940430046205439,0.00371415099593696,-0.113733570546325,0.18871426312598,2_3,0.817874069058903,enrol_3_anytime_all_0914,"(15, 17)"
-0.00418133827414779,0.0643090869904941,0.0223473457528902,0.0688640723930032,0.851576969597196,0.350378479303268,6703,4783,1,1,1,16,TRUE,FALSE,"","",-0.0479821359498127,0.0396194594015171,-0.0706644948997922,0.19928266888078,1,0.828087167070218,enrol_3_anytime_all_0914,"(15, 17)"
-0.0137202701117465,-0.0601404609568297,0.0153337789334446,0.0470503515723995,0.370907793088056,0.201173659921639,11515,9608,1,1,1,16,TRUE,FALSE,"","",-0.0437744768212979,0.0163339365978049,-0.152359150038733,0.0320782281250734,0_0bis,0.853198653198653,enrol_3_anytime_all_0914,"(15, 17)"
0.278152910597552,0.315982477453311,0.120165286244483,0.142810738422444,0.020626474493584,0.0269255067741839,4737,2590,1,1.09964568549331,2.21931455794014,16,TRUE,FALSE,**,**,0.0426289495583647,0.513676871636738,0.0360734301453209,0.5958915247613,6_7,12.9694904608623,quality,mse
0.155002984776587,0.150628192080518,0.109770364723978,0.136744036989358,0.157930569110472,0.270664359669587,5681,3986,1,0.938200838177061,1.78543282916859,16,TRUE,FALSE,"","",-0.0601469300824092,0.370152899635583,-0.117390120418625,0.418646504579661,4_5,13.1074487383064,quality,mse
-0.276948122087951,-0.344381818736792,0.198606180547488,0.223002362797454,0.163179124022064,0.12251646539056,2685,2831,1,0.670969954825736,1.5843451270325,16,TRUE,FALSE,"","",-0.666216235961028,0.112319991785125,-0.781466449819802,0.0927028123462172,2_3,13.2573639464415,quality,mse
0.00357687723293054,-0.0280387554749453,0.095462463144793,0.113221337976242,0.970111105630254,0.804408698863264,6850,4738,1,1.04755102781569,2.12449971907945,16,TRUE,FALSE,"","",-0.183529550530864,0.190683304996725,-0.249952577908379,0.193875066958489,1,13.3554178325441,quality,mse
-0.0930533363149735,-0.129973685063185,0.0873522037582816,0.0984728549194125,0.286755555360176,0.186870564754332,8927,8427,1,0.885694253637482,2.05222347348306,16,TRUE,FALSE,"","",-0.264263655681205,0.0781569830512585,-0.322980480705233,0.063033110578864,0_0bis,13.4380720068776,quality,mse
0.29210566966033,0.48562088127655,0.134825919524615,0.405414210310427,0.0302699908497154,0.230979769239911,3949,2427,1,1,1,16,TRUE,FALSE,**,"",0.0278468673920854,0.556364471928575,-0.308990970931887,1.28023273348499,6_7,12.9694904608623,quality,"(15, 17)"
0.135127577414345,0.591944918565769,0.101595613044457,0.297704917582963,0.183500720336052,0.0467717524878295,6311,4169,1,1,1,16,TRUE,FALSE,"",**,-0.0639998241527911,0.33425497898148,0.0084432801031622,1.17544655702838,4_5,13.1074487383064,quality,"(15, 17)"
-0.188495774144961,-0.469898749624385,0.107451042930476,0.320907233435875,0.0793880264900033,0.143116858738707,5563,3826,1,1,1,16,TRUE,FALSE,*,"",-0.399099818288695,0.0221082699987726,-1.0988769271587,0.159079427909931,2_3,13.2573639464415,quality,"(15, 17)"
-0.00326640475891082,-0.196918021391014,0.10085592609965,0.302469078491121,0.974163557005901,0.51502375532735,6289,4563,1,1,1,16,TRUE,FALSE,"","",-0.200944019914225,0.194411210396403,-0.789757415233611,0.395921372451584,1,13.3554178325441,quality,"(15, 17)"
-0.0665302188631429,-0.449347004394042,0.0747832932274751,0.224448478376281,0.373659149834402,0.0452841801468933,10892,9228,1,1,1,16,TRUE,FALSE,"",**,-0.213105473588994,0.0800450358627082,-0.889266022011553,-0.00942798677653067,0_0bis,13.4380720068776,quality,"(15, 17)"
0.221142660304601,0.261233547182101,0.139037515584284,0.166601375957654,0.111716489363525,0.116877504752098,3774,2399,1,0.990372647363354,1.99018272287914,16,TRUE,FALSE,"","",-0.0513708702405968,0.493656190849798,-0.0653051496949007,0.587772244059103,6_7,13.0625750006592,quality_bacyear_plus1,mse
0.132351757020096,0.106700587090366,0.106682965048142,0.129783729868406,0.21475053587733,0.410996382934084,5754,3951,1,0.958834381562837,1.89042606214452,16,TRUE,FALSE,"","",-0.0767468544742611,0.341450368514454,-0.14767552345171,0.361076697632442,4_5,13.154886650725,quality_bacyear_plus1,mse
-0.229573702758692,-0.294959779241047,0.216012081059771,0.244337441428733,0.287880926645438,0.227362032520826,2389,2676,1,0.640893253606918,1.478907868976,16,TRUE,FALSE,"","",-0.652957381635843,0.193809976118458,-0.773861164441364,0.18394160595927,2_3,13.2925644007209,quality_bacyear_plus1,mse
