mention,q8707_1,n_unweighted,n_weighted,pct_unweighted,pct_weighted,se,ci_lower,ci_upper
No honors,1,625,33406.0102134191,0.184202770409667,0.225877360899899,0.015505978706709,0.195485642634749,0.256269079165048
Honors,1,406,19170.6013697062,0.143412221829742,0.159425537224608,0.01739466231331,0.125331999090521,0.193519075358696
High and highest honors,1,273,14095.6703811366,0.122531418312388,0.139561969307872,0.0198453240300127,0.100665134209047,0.178458804406697
