coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,income_quint,mean_y,outcome,bandwidth
0.00902516560545097,0.0114127145027894,0.01499161012119,0.0183502912024568,0.54716453285776,0.533983672817985,6295,3112,1,1.18088451195582,2.26250814520463,16,TRUE,FALSE,"","",-0.0203583902320815,0.0384087214429834,-0.0245538562540259,0.0473792852596046,1,0.933078393881453,enrol_year_bac_all_0914,mse
-0.0139431869502085,-0.018462024628342,0.0150968426713069,0.0179028074804702,0.355703478384411,0.302430030135413,6552,3628,1,1.10112952356622,2.2542918320915,16,TRUE,FALSE,"","",-0.0435329985859699,0.015646624685553,-0.0535515272900636,0.0166274780333795,2,0.940110323089046,enrol_year_bac_all_0914,mse
-0.00134444884291351,-0.00594715569982585,0.0186198142162535,0.0220579335778241,0.94243854571032,0.787456252108393,4508,3728,1,0.814915331030719,1.73713368017391,16,TRUE,FALSE,"","",-0.0378392847067703,0.0351503870209433,-0.049180705512361,0.0372863941127093,3,0.947503201024328,enrol_year_bac_all_0914,mse
0.00646979762844868,0.00659387811249967,0.00960643569501367,0.011930021183544,0.50063830621179,0.580459932085324,13057,6909,1,1.32493058370615,2.49302414123987,16,TRUE,FALSE,"","",-0.0123588163337781,0.0252984115906755,-0.0167889634072465,0.0299767196322458,4,0.935613682092555,enrol_year_bac_all_0914,mse
-0.020401102173,-0.0243305284093576,0.0132292296680066,0.0155449988482955,0.123043654849359,0.117543618318136,7394,7839,1,0.794240976668352,1.7307912457214,16,TRUE,FALSE,"","",-0.046330392322293,0.00552818797629305,-0.0547987261520168,0.00613766933330164,5,0.95372018511926,enrol_year_bac_all_0914,mse
0.00499881885373998,0.0414551160879402,0.0183243802807825,0.0579984153030063,0.78500998373829,0.474755557340233,4545,2748,1,1,1,16,TRUE,FALSE,"","",-0.0309169664965937,0.0409146042040736,-0.0722217779059522,0.155132010081833,1,0.933078393881453,enrol_year_bac_all_0914,"(15, 17)"
-0.0196275085926789,-0.0325427529573235,0.0170001322134995,0.0541486998674424,0.248274608740407,0.547847559209761,5422,3360,1,1,1,16,TRUE,FALSE,"","",-0.0529477677311379,0.0136927505457801,-0.138674204697511,0.0735886987828636,2,0.940110323089046,enrol_year_bac_all_0914,"(15, 17)"
-0.00893058663870727,0.020976681534727,0.0140037164838806,0.0437695486426261,0.523649614864681,0.63175875069277,6505,4276,1,1,1,16,TRUE,FALSE,"","",-0.0363778709471133,0.0185166976696987,-0.0648116338048201,0.106764996874274,3,0.947503201024328,enrol_year_bac_all_0914,"(15, 17)"
0.0161556604597584,0.0705877687752801,0.0133571742273703,0.0408861500774115,0.226466262738856,0.0842670368723904,7918,5612,1,1,1,16,TRUE,FALSE,"",*,-0.0100244010258874,0.0423357219454042,-0.00954908537644657,0.150724622927007,4,0.935613682092555,enrol_year_bac_all_0914,"(15, 17)"
-0.0142975814037838,-0.0450473492915009,0.00967767021298144,0.0296814892526904,0.139574219894948,0.129092142446447,10836,9358,1,1,1,16,TRUE,FALSE,"","",-0.0332658150212274,0.00467065221365983,-0.103223068226774,0.0131283696437722,5,0.95372018511926,enrol_year_bac_all_0914,"(15, 17)"
0.00554101632152859,0.0051910508602302,0.0110098649987748,0.0136225378828044,0.614769247786134,0.703156190645429,6012,3068,1,1.15419472156215,2.14062365243355,16,TRUE,FALSE,"","",-0.0160383190760701,0.0271203517191273,-0.0215091233900665,0.0318912251105269,1,0.964627151051625,enrol_anytime_all_0914,mse
-0.027635140117698,-0.0327272447018689,0.017324633711611,0.0200341559015512,0.110681914450309,0.102348661135214,3602,2869,1,0.792612392898121,1.74441039097312,16,TRUE,FALSE,"","",-0.0615914221924556,0.00632114195705968,-0.0719941902689092,0.00653970086517134,2,0.971631205673759,enrol_anytime_all_0914,mse
