coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper
0.015807323548549,0.0140161749312582,0.0250651474361516,0.0254514750023179,0.528269703261386,0.581838061081283,7733,13872,1,0.5,1.7332094902222,16,TRUE,FALSE,"","",-0.0333203654263082,0.0649350125234061,-0.0358687160732849,0.0639010659358012
0.00222125190490852,1.67143001825743e-05,0.0147063117757724,0.0154206172948176,0.879943595199115,0.999135178625208,13102,16644,1,0.6,1.7332094902222,16,TRUE,FALSE,"","",-0.0266031191756053,0.0310456229854224,-0.0302076955976599,0.0302411241980251
-0.000678300855332381,-0.00332409500029396,0.0105402750471509,0.0116139000869415,0.948688961459894,0.774711966296627,18374,19284,1,0.7,1.7332094902222,16,TRUE,FALSE,"","",-0.0213372399477482,0.0199806382370835,-0.0260873391706993,0.0194391491701113
-0.00125440732384252,-0.00438322511385536,0.00828948084829821,0.0097341807281668,0.879719193683794,0.652499802574044,23703,21480,1,0.8,1.7332094902222,16,TRUE,FALSE,"","",-0.017501789786507,0.014992975138822,-0.0234622193410623,0.0146957691133516
-0.00450835176181208,-0.00814922285297293,0.00695516253257086,0.00875273458398906,0.516854169250266,0.351828332028562,28994,23793,1,0.9,1.7332094902222,16,TRUE,FALSE,"","",-0.018140470325651,0.0091237668020268,-0.0253045826375915,0.00900613693164562
-0.00506158203805684,-0.00925328125535119,0.00604371805470094,0.00816146582343575,0.402314536341339,0.256888151536655,35234,25357,1,1,1.7332094902222,16,TRUE,FALSE,"","",-0.0169072694252707,0.006784105349157,-0.0252497542692853,0.00674319175858289
-0.00353325174201569,-0.00831534664838873,0.00537756609829357,0.00777608068307162,0.511158100890923,0.284912291328013,42376,27307,1,1.1,1.7332094902222,16,TRUE,FALSE,"","",-0.0140732812946711,0.0070067778106397,-0.0235564647872091,0.00692577149043163
-0.00361720292255985,-0.00902339991448065,0.00488554385634751,0.00753275521658492,0.459063992398032,0.230960475553611,49542,29168,1,1.2,1.7332094902222,16,TRUE,FALSE,"","",-0.013192868881001,0.00595846303588127,-0.0237876001389871,0.00574080031002579
-0.00292439797722732,-0.00899357002064827,0.00450006132860957,0.00736785177064456,0.51578436309611,0.222218476162984,56166,30706,1,1.3,1.7332094902222,16,TRUE,FALSE,"","",-0.0117445181813021,0.00589572222684744,-0.0234345594911116,0.00544741944981507
-0.00185454027949916,-0.00862307992398037,0.00418896715976293,0.00725971832944671,0.657968146835951,0.234912947634865,63373,32212,1,1.4,1.7332094902222,16,TRUE,FALSE,"","",-0.0100649159126345,0.00635583535363619,-0.0228521278496959,0.00560596800173517
-0.000970899976836304,-0.00847437815067043,0.00393396887676512,0.00720407555370973,0.80506370731723,0.239462591015479,71426,33337,1,1.5,1.7332094902222,16,TRUE,FALSE,"","",-0.00868147897529593,0.00673967902162332,-0.0225943662359415,0.00564560993460064
-2.7126799270194e-05,-0.00830773497116999,0.00371891540807717,0.00720791783521294,0.994180060578354,0.24908093422091,80695,34670,1,1.6,1.7332094902222,16,TRUE,FALSE,"","",-0.00731620099910145,0.00726194740056106,-0.0224352539281873,0.00581978398584737
0.000678484539536228,-0.0084130736886836,0.00353651982206309,0.00728224280852349,0.847858992633486,0.247973297686723,89585,35846,1,1.7,1.7332094902222,16,TRUE,FALSE,"","",-0.00625309431170743,0.00761006339077988,-0.0226862695933897,0.00586012221602245
0.00139419699861731,-0.00855262269040291,0.00337792322504941,0.00744832607621938,0.679798640778565,0.250860814987376,98607,36866,1,1.8,1.7332094902222,16,TRUE,FALSE,"","",-0.00522653252247952,0.00801492651971415,-0.0231513417997929,0.00604609641898708
0.00197242392225006,-0.00887448934409041,0.00323848518528203,0.00770494309468334,0.542486279270905,0.249406687986434,108253,37882,1,1.9,1.7332094902222,16,TRUE,FALSE,"","",-0.00437500704090273,0.00831985488540284,-0.0239761778096698,0.00622719912148893
0.00270890660470324,-0.00919213188343182,0.00310166113964176,0.00809456297056162,0.382459888769224,0.25612679313228,127895,38552,1,2,1.7332094902222,16,TRUE,FALSE,"","",-0.00337034922899461,0.0087881624384011,-0.0250574753057326,0.00667321153886896
0.151694411050292,0.151922245837927,0.202045933246487,0.202226706079384,0.452778021305612,0.452503901531223,7733,13872,2,0.5,1.7332094902222,16,TRUE,FALSE,"","",-0.244315618112824,0.547704440213407,-0.244442098077667,0.54828658975352
0.0800070831734736,0.0803225883955463,0.084902330387508,0.0853413178052395,0.34601726203266,0.346606338742025,13102,16644,2,0.6,1.7332094902222,16,TRUE,FALSE,"","",-0.086401484386042,0.246415650732989,-0.0869463945027232,0.247591571293816
0.0225379996111919,0.0229539548247395,0.0490040812170306,0.049888518617174,0.645573020327648,0.645440884617416,18374,19284,2,0.7,1.7332094902222,16,TRUE,FALSE,"","",-0.0735099995741882,0.118585998796572,-0.0748275416649215,0.120735451314401
0.00886218219268109,0.00940037059936394,0.0325735740574259,0.0341059916234304,0.785570795185096,0.782838208231438,23703,21480,2,0.8,1.7332094902222,16,TRUE,FALSE,"","",-0.0549820229598737,0.0727063873452359,-0.0574473729825597,0.0762481141812875
0.0150651544274254,0.0157411743928497,0.0240972582944634,0.0263972186512005,0.531852096535712,0.550961853002872,28994,23793,2,0.9,1.7332094902222,16,TRUE,FALSE,"","",-0.0321654718297228,0.0622957806845736,-0.0359973741635032,0.0674797229492027
0.00512460510013657,0.00595924149397753,0.018793897263775,0.022001443977889,0.78510390612608,0.786501144621744,35234,25357,2,1,1.7332094902222,16,TRUE,FALSE,"","",-0.0317114335368625,0.0419606437371356,-0.0371635887026849,0.0490820716906399
-0.0045240314044559,-0.00350665674856465,0.0153575654814295,0.019504769698032,0.768314753932233,0.857321692943668,42376,27307,2,1.1,1.7332094902222,16,TRUE,FALSE,"","",-0.0346248597480577,0.0255767969391459,-0.0417360053567073,0.034722691859578
-0.00342748016071948,-0.0022038218119409,0.0130238419626108,0.0180701158516217,0.792419808689714,0.902931114220928,49542,29168,2,1.2,1.7332094902222,16,TRUE,FALSE,"","",-0.0289542104074367,0.0220992500859977,-0.0376212488811194,0.0332136052572377
-0.00589630117352513,-0.00444264208340606,0.0112911344307931,0.0171518733528618,0.601526722278126,0.795621435482749,56166,30706,2,1.3,1.7332094902222,16,TRUE,FALSE,"","",-0.0280269246578796,0.0162343223108294,-0.0380603138550152,0.0291750296882031
-0.00829395994928195,-0.00658712954540697,0.00998717505895983,0.0165662160270032,0.406278157371838,0.690907168056988,63373,32212,2,1.4,1.7332094902222,16,TRUE,FALSE,"","",-0.0278688230648432,0.0112809031662793,-0.0390569129583333,0.0258826538675194
-0.00880403893769355,-0.00681652520547171,0.0089805163878936,0.016227611958392,0.32691394776747,0.674443669789863,71426,33337,2,1.5,1.7332094902222,16,TRUE,FALSE,"","",-0.026405851057965,0.0087977731825779,-0.0386226446439201,0.0249895942329767
-0.00932378948754931,-0.00702420697915152,0.00817149565471426,0.0161229392717302,0.253864171189591,0.663079504242858,80695,34670,2,1.6,1.7332094902222,16,TRUE,FALSE,"","",-0.0253399209707893,0.00669234199569064,-0.0386251679517427,0.0245767539934396
-0.00868361269132478,-0.00604596297050009,0.0075167924190084,0.0163131947499605,0.2479968743139,0.710922102633191,89585,35846,2,1.7,1.7332094902222,16,TRUE,FALSE,"","",-0.0234165258325813,0.00604930044993168,-0.0380198246804227,0.0259278987394225
