coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,n_aidemerite_prev_year_group_lab,mean_y
0.0289622043092932,0.0672940282540377,0.00999717379896262,0.0211459490722626,0.0037670269171788,0.00146079982572318,12243,9503,1,1,1,16,FALSE,FALSE,***,***,0.00936774366332646,0.0485566649552599,0.0258479680724031,0.108740088435672,0-2 (33.7%),0.91897233201581
0.0157144621310224,0.0335402594874863,0.00974885449284512,0.0205881533938083,0.106977371589612,0.103290835580714,12243,9503,1,1,1,16,FALSE,TRUE,"","",-0.00339329267495407,0.0348222169369988,-0.00681252116437792,0.0738930401393506,0-2 (33.7%),0.91897233201581
0.0101428727933792,0.031309634395316,0.0130335158675072,0.0407053947203346,0.436442490483672,0.441788519366806,11024,6449,1,1,1,16,TRUE,FALSE,"","",-0.0154028183069348,0.0356885638936933,-0.0484729392565399,0.111092208047172,0-2 (33.7%),0.91897233201581
0.00924647670302953,0.0230632229564833,0.012800399006036,0.0399500494400447,0.470074110238864,0.563735809194497,11024,6449,1,1,1,16,TRUE,TRUE,"","",-0.015842305348801,0.03433525875486,-0.0552388739460043,0.101365319858971,0-2 (33.7%),0.91897233201581
-0.000646641283437388,0.000919896711570334,0.00773448423492583,0.0152124286311241,0.933370519293558,0.951781248318837,9390,9136,1,1,1,16,FALSE,FALSE,"","",-0.015806230383892,0.0145129478170172,-0.028896463405433,0.0307362568285737,3-5 (28.7%),0.955404750363548
-0.00287097913510232,-0.00644656966888997,0.00767111871965382,0.0151370308377675,0.708212222605373,0.670194760698607,9390,9136,1,1,1,16,FALSE,TRUE,"","",-0.0179063718256238,0.0121644135554192,-0.0361151501109142,0.0232220107731342,3-5 (28.7%),0.955404750363548
-0.00862100860585136,-0.00846948968717531,0.0111470847945362,0.0342600525572581,0.439293480106706,0.804744303963703,8415,6549,1,1,1,16,TRUE,FALSE,"","",-0.0304692948031423,0.0132272775914396,-0.0756191926994011,0.0586802133250505,3-5 (28.7%),0.955404750363548
-0.00866552156093607,-0.00957728000891401,0.0110886644840167,0.0340002078962567,0.434522778116883,0.778186603355866,8415,6549,1,1,1,16,TRUE,TRUE,"","",-0.0303993039496088,0.0130682608277367,-0.0762176874855772,0.0570631274677492,3-5 (28.7%),0.955404750363548
-0.00573069803356474,0.0100815076925664,0.00889285458991923,0.017743997043527,0.51930569372249,0.569923332211969,7244,7120,1,1,1,16,FALSE,FALSE,"","",-0.0231606930298064,0.011699296962677,-0.0246967265127465,0.0448597418978794,6-9 (22.3%),0.958257713248639
-0.00461772322647898,0.0105205193016458,0.00883817980274084,0.0176182357720092,0.601340023863357,0.550415202554369,7244,7120,1,1,1,16,FALSE,TRUE,"","",-0.021940555639851,0.0127051091868931,-0.0240112228114922,0.0450522614147838,6-9 (22.3%),0.958257713248639
-0.00287991626025053,0.053936384931485,0.0123622947361856,0.0387464269593463,0.81579271294515,0.163911780209354,6476,5127,1,1,1,16,TRUE,FALSE,"","",-0.0271100139431743,0.0213501814226732,-0.0220066119088337,0.129879381771804,6-9 (22.3%),0.958257713248639
-0.00314261401035338,0.0536708675784286,0.0123102929736435,0.0385489469601418,0.798504184724859,0.163838098901152,6476,5127,1,1,1,16,TRUE,TRUE,"","",-0.0272707882386947,0.0209855602179879,-0.0218850684634494,0.129226803620307,6-9 (22.3%),0.958257713248639
-0.0125876847969201,-0.0135454615783622,0.00960902594910508,0.0186031170744713,0.190200736158964,0.466534868332795,4653,5151,1,1,1,16,FALSE,FALSE,"","",-0.031421375657166,0.00624600606332588,-0.0500075710443261,0.0229166478876016,10+ (15.2%),0.964684014869889
-0.01361494848711,-0.0171601636892716,0.00964346543688526,0.0190848104639132,0.157999574511926,0.368571195841159,4653,5151,1,1,1,16,FALSE,TRUE,"","",-0.0325161407434051,0.00528624376918506,-0.0545663921985415,0.0202460648199983,10+ (15.2%),0.964684014869889
-0.0294885518151926,-0.0339638431717644,0.0142639681035056,0.0417817371614037,0.0387015995453439,0.4162826812257,4176,3719,1,1,1,16,TRUE,FALSE,**,"",-0.0574459292980637,-0.00153117433232156,-0.115856048008116,0.0479283616645868,10+ (15.2%),0.964684014869889
-0.0286370875465179,-0.0334106621242573,0.0140933807758163,0.0411216998846129,0.0421584128246763,0.416514815843191,4176,3719,1,1,1,16,TRUE,TRUE,**,"",-0.0562601138671179,-0.00101406122591786,-0.114009193898099,0.0471878696495839,10+ (15.2%),0.964684014869889
