coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,variable,donut,bandwidth,mean_y,category,variable_lab
0.180519353659529,0.188470315857702,0.0279387167547221,0.0289517152813357,0.000000000103833737707405,0.0000000000752433195383808,6049,21245,1,0.361833255779638,1.10337108053191,16,***,***,0.125759468820274,0.235279238498784,0.131724953906284,0.24521567780912,female,No Donut,MSE-Optimal,0.577060518731989,Demographic,Female
0.0715868346166647,0.142536165810032,0.00927479544037763,0.018611162356484,0.000000000000011777377525431,0.0000000000000187914418433267,39274,35879,1,1,1,16,***,***,0.0534082355535245,0.0897654336798049,0.106058287591324,0.179014044028741,female,No Donut,"(15, 17)",0.577060518731989,Demographic,Female
0.177433588324634,0.187398599152285,0.0264109905210096,0.0278190094780315,0.0000000000184017866688864,0.0000000000162414205014483,8141,11806,1,0.415818488313187,1.21780887808237,16,***,***,0.125668046903455,0.229199129745813,0.132873340575343,0.241923857729227,female,"Donut [15.95, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.063659748400791,0.137774826422013,0.0107349533445388,0.0214387666528276,0.00000000302681276127908,0.000000000130631800231181,39224,25357,1,1,1,16,***,***,0.042619239845495,0.0847002569560871,0.0957548437824705,0.179794809061555,female,"Donut [15.95, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
0.170035509725286,0.180885138119751,0.0269566176794521,0.0285577726900654,0.000000000283127511897764,0.000000000238874343420242,8890,12408,1,0.436127794603353,1.2514171430698,16,***,***,0.11720053907356,0.222870480377012,0.124911903647223,0.236858372592279,female,"Donut [15.9, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.0581215833170363,0.129709717154247,0.0108401428053504,0.0224910270072755,0.000000082442812635163,0.00000000806107301219752,39039,25357,1,1,1,16,***,***,0.0368749034185494,0.0793682632155232,0.0856273042199864,0.173792130088507,female,"Donut [15.9, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
0.135089317803805,0.14601180811378,0.0265257153758048,0.0284240091480379,0.000000352873159312418,0.000000279280538471447,10827,13863,1,0.481166072552298,1.31753320265113,16,***,***,0.0830989156672274,0.187079719940382,0.0903007501836262,0.201722866043935,female,"Donut [15.85, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.0472018482218402,0.107631338795861,0.0110648480175499,0.0244903175164141,0.0000199072716457001,0.0000110847876821112,38605,25357,1,1,1,16,***,***,0.0255147461074424,0.0688889503362379,0.0596303164636898,0.155632361128033,female,"Donut [15.85, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
0.046374388766278,0.0548632344967464,0.0218145162347994,0.0243468129409663,0.0335157534286586,0.0242336129688075,15379,16644,1,0.590670946114712,1.42909467488329,16,**,**,0.00361793694607116,0.0891308405864848,0.00714348113245243,0.10258298786104,female,"Donut [15.8, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.0297867900862716,0.0551971329329313,0.0114161911248707,0.0274163899970975,0.0090761984788033,0.044084171506681,37909,25357,1,1,1,16,***,**,0.00741105548152505,0.0521625246910182,0.0014610085386201,0.108933257327242,female,"Donut [15.8, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
0.0104024266331373,0.017156417788323,0.0210055408270307,0.0241063537129801,0.620442727464293,0.476652472815093,18031,18472,1,0.661496329619067,1.4980781019213,16,"","",-0.0307684333878428,0.0515732866541174,-0.0300920354891181,0.0644048710657641,female,"Donut [15.75, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.020860701852607,0.0242267236409452,0.0120349512061913,0.0322933325932805,0.0830346716971481,0.453129307414313,36716,25357,1,1,1,16,*,"",-0.00272780251152785,0.0444492062167419,-0.0390682082418845,0.087521655523775,female,"Donut [15.75, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
0.0264359193740336,0.0353210667844335,0.0297054687912646,0.0326832620537864,0.373501096359818,0.279826968668864,13831,17209,1,0.610682648592526,1.49300319526493,16,"","",-0.0317867994568451,0.0846586382049122,-0.0287381268409878,0.0993802604098548,female,"Donut [15.7, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.0261882653362093,0.0460623455725575,0.0129163213191874,0.0393432332596999,0.0426079519272022,0.241686453133425,35234,25357,1,1,1,16,**,"",0.000872275550602125,0.0515042551218165,-0.0310503916164543,0.123175082761569,female,"Donut [15.7, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
-0.0129015607358709,-0.00915572662154784,0.0236796920058047,0.0277025772593009,0.585865966214319,0.741021515285852,18240,20238,1,0.739899280809603,1.59929560023327,16,"","",-0.0593137570672481,0.0335106355955063,-0.0634527780497777,0.045141324806682,female,"Donut [15.65, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.00913614618103953,-0.0379586033152897,0.0140557773698633,0.0486915381387194,0.515697235834591,0.4356423157489,33462,25357,1,1,1,16,"","",-0.0184131774638925,0.0366854698259715,-0.13339401806718,0.0574768114366004,female,"Donut [15.65, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
-0.0359655570348982,-0.0297632640873835,0.0362162962947243,0.0399838350075654,0.320672617803109,0.456645148065067,13983,19136,1,0.690684954711278,1.60499757879829,16,"","",-0.106949497772558,0.0350183837027613,-0.108131580702212,0.0486050525274446,female,"Donut [15.6, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.0157791617597214,-0.00472714491568271,0.015857637239519,0.0645336346393549,0.319711338901888,0.941606486252683,31286,25357,1,1,1,16,"","",-0.0153018072297358,0.0468601307491786,-0.131213068808818,0.121758778977453,female,"Donut [15.6, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
-0.106417522269094,-0.114872916017692,0.0237340073163502,0.0253536666308683,0.00000733401649976862,0.00000587550066723183,16744,27166,1,0.597401207647947,1.56353228321783,16,***,***,-0.152936176609141,-0.0598988679290477,-0.164566102614194,-0.0651797294211901,age,No Donut,MSE-Optimal,18.0872622478386,Demographic,Age
-0.0345807436725956,-0.124782230680033,0.0132266386426714,0.0284670737007668,0.00893641542366255,0.0000116847706881325,39274,35879,1,1,1,16,***,***,-0.0605049554122314,-0.00865653193295971,-0.180577695133536,-0.0689867662265302,age,No Donut,"(15, 17)",18.0872622478386,Demographic,Age
