coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper
-0.313133206419622,-0.327265834938828,0.174871575517471,0.180614755031084,0.0733500108647517,0.069993127306656,7091,12936,1,0.5,1.47087453861275,16,TRUE,FALSE,*,*,-0.655881494433864,0.0296150815946209,-0.681270754799753,0.0267390849220968
-0.0398984936554569,-0.0572724957901087,0.105073042529363,0.115397259464341,0.704152156420921,0.619677656288972,11925,15538,1,0.6,1.47087453861275,16,TRUE,FALSE,"","",-0.245841657013008,0.166044669702094,-0.283451124340218,0.16890613276
0.00583239258099866,-0.0150304845918754,0.0757383546011548,0.0904843266067071,0.938617880642651,0.868069227047686,16734,18020,1,0.7,1.47087453861275,16,TRUE,FALSE,"","",-0.142614782437265,0.154279567599262,-0.192379764741021,0.162318795557271
0.00788641800523493,-0.0167821347946813,0.0600320795118566,0.0786460072568447,0.895482570478255,0.831024135311729,21529,20106,1,0.8,1.47087453861275,16,TRUE,FALSE,"","",-0.109776457838004,0.125549293848474,-0.170928309018097,0.137364039428734
0.0179510575397828,-0.0107383957332985,0.0506805853940531,0.0725216491023642,0.72318908945067,0.882286271884081,26236,22300,1,0.9,1.47087453861275,16,TRUE,FALSE,"","",-0.0813828898325613,0.117285004912127,-0.152880827973932,0.131404036507335
0.0205953499277456,-0.0124311862017734,0.04430539522491,0.0688903815135118,0.642039089560768,0.856800251581801,31840,23780,1,1,1.47087453861275,16,TRUE,FALSE,"","",-0.066243224713078,0.107433924568569,-0.147456333968257,0.12259396156471
0.0270454818210553,-0.0106168905268973,0.0396789807192532,0.066636921191159,0.49548731518132,0.873413261928024,38136,25633,1,1.1,1.47087453861275,16,TRUE,FALSE,"","",-0.0507253203886811,0.104816284030792,-0.141225256061569,0.119991475007774
0.0350627553003697,-0.00749012425665896,0.0361905274969158,0.0653517808320833,0.33262606467821,0.908752352993575,44475,27398,1,1.2,1.47087453861275,16,TRUE,FALSE,"","",-0.0358706785935852,0.105996189194325,-0.135579614687542,0.120599366174224
0.0402481472943137,-0.00750243144879192,0.0334219667725307,0.0648931653150947,0.228495927618594,0.90796001761364,50305,28851,1,1.3,1.47087453861275,16,TRUE,FALSE,"","",-0.0252589075798464,0.105755202168474,-0.134693035466378,0.119688172568794
0.0439301396672711,-0.00930735937872029,0.0311826592223732,0.0652941915412412,0.158894226432772,0.886649551346813,56635,30282,1,1.4,1.47087453861275,16,TRUE,FALSE,"","",-0.0171878724085803,0.105048151743123,-0.137283974799553,0.118669256042113
0.0502848447386164,-0.0087130257856991,0.0293429499091734,0.0666515877158535,0.0865848922278169,0.895992890737338,63644,31364,1,1.5,1.47087453861275,16,TRUE,FALSE,*,"",-0.00722733708336355,0.107797026560596,-0.139350137708772,0.121924086137374
0.0578051769885413,-0.00728994283954165,0.027789661074882,0.0690119881396569,0.0375166817438073,0.915873546797739,71752,32630,1,1.6,1.47087453861275,16,TRUE,FALSE,**,"",0.00333744128177252,0.11227291269531,-0.142553439593269,0.127973553914186
0.065919919228584,-0.00553083777153418,0.0264748089906911,0.0721892110479793,0.0127775072526517,0.938929149470841,79515,33745,1,1.7,1.47087453861275,16,TRUE,FALSE,**,"",0.0140292936068295,0.117810544850338,-0.147021691425574,0.135960015882505
