coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,sample,outcome
-0.00721630500480175,-0.0113752844035924,0.0113304876974411,0.0130548670654331,0.524194732184786,0.383566172205389,36991,26327,1,1.02101593083603,2.25963038788302,16,TRUE,FALSE,"","",-0.0294240608917862,0.0149914508821827,-0.0369628238518412,0.0142122550446565,baseline,enrol_2_ontime_all_0914
-0.0036987515721596,-0.00771373065826642,0.012012481949099,0.014044723048477,0.758151560327706,0.582850187874838,31475,23700,1,0.963785467666339,2.03271906562543,16,TRUE,FALSE,"","",-0.0272432161923936,0.0198457130480744,-0.0352413878332813,0.0198139265167485,conditional on enrollment,enrol_2_ontime_all_0914
-0.00619158290744659,0.0548330322076929,0.0116484915707778,0.035810756615074,0.595047978704134,0.125722718997838,35234,25357,1,1,1,16,TRUE,FALSE,"","",-0.029022626386171,0.0166394605712779,-0.0153560507578521,0.125022115173238,baseline,enrol_2_ontime_all_0914
-0.00573965231670726,0.0421928443008892,0.0114713539290096,0.035297734042595,0.616831084911117,0.231953654515896,33004,24213,1,1,1,16,TRUE,FALSE,"","",-0.0282235060175661,0.0167442013841516,-0.0269907144225971,0.111376403024375,conditional on enrollment,enrol_2_ontime_all_0914
-0.0159999073800172,-0.0197232987190712,0.011618076471733,0.0132938671329005,0.168463924770465,0.137904737489002,21319,20502,1,0.751310371075931,1.71114031235963,16,TRUE,FALSE,"","",-0.0387713372646139,0.00677152250457948,-0.0457792782995562,0.00633268086141376,baseline,enrol_2_anytime_all_0914
-0.0170955301633748,-0.0200782583463215,0.00908282827687786,0.0104320511584527,0.0598113943521468,0.0542706266093929,21309,20472,1,0.780314547218369,1.76774866124977,16,TRUE,FALSE,*,*,-0.0348978735860555,0.000706813259305772,-0.0405250786168888,0.000368561924245833,conditional on enrollment,enrol_2_anytime_all_0914
-0.0150302178651169,-0.0214156626519029,0.00763427760889164,0.023693194327671,0.0489782877825387,0.366062209973176,35234,25357,1,1,1,16,TRUE,FALSE,**,"",-0.0299934019785446,-0.0000670337516893195,-0.0678543235341381,0.0250229982303323,baseline,enrol_2_anytime_all_0914
-0.014291636027858,-0.0271547271124484,0.0063917280127458,0.0197963654718693,0.0253545158685336,0.170156021012686,33004,24213,1,1,1,16,TRUE,FALSE,**,"",-0.0268194229328398,-0.00176384912287622,-0.0659556034373123,0.0116461492124155,conditional on enrollment,enrol_2_anytime_all_0914
0.0157522117313711,0.0159466807727813,0.0161670231588373,0.0199675082437188,0.32988669427686,0.424504125224626,27049,22675,1,0.852441806434569,1.68669696398227,16,TRUE,FALSE,"","",-0.01593515365995,0.0474395771226922,-0.0231896353849075,0.0550829969304701,baseline,enrol_3_ontime_all_0914
0.0159115302483606,0.0181772201997406,0.017568589212992,0.0214664207889235,0.365104938882031,0.397120760042466,22849,21040,1,0.818355200093871,1.65520571505475,16,TRUE,FALSE,"","",-0.0185229046091037,0.0503459651058249,-0.0238969645465496,0.0602514049460307,conditional on enrollment,enrol_3_ontime_all_0914
0.0048603627446091,0.066326624765819,0.0129944661877568,0.039738756362746,0.708379560136635,0.095104212596043,35234,25357,1,1,1,16,TRUE,FALSE,"",*,-0.0206087909833942,0.0303295164726124,-0.0115613377051633,0.144214587236801,baseline,enrol_3_ontime_all_0914
0.00520683369769359,0.0547419830991267,0.0132814739824213,0.0407108718558706,0.695030626196473,0.178737421379038,33004,24213,1,1,1,16,TRUE,FALSE,"","",-0.0208248553078522,0.0312385227032394,-0.0250513257383797,0.134535291936633,conditional on enrollment,enrol_3_ontime_all_0914
-0.0151998440883951,-0.0187505674022264,0.00996473249366513,0.0114706599459416,0.127168335954344,0.102121468284555,35234,25357,1,0.995594225476476,2.1967293922654,16,TRUE,FALSE,"","",-0.0347307197759788,0.00433103159918851,-0.041233060896272,0.00373192609181923,baseline,enrol_3_anytime_all_0914
-0.010286726612982,-0.0119088563296716,0.00823672749527461,0.010012847083688,0.211707085609873,0.234298956373128,41270,26985,1,1.13800327797121,2.246784547114,16,TRUE,FALSE,"","",-0.0264307125037203,0.0058572592777562,-0.0315340366137001,0.00771632395435684,conditional on enrollment,enrol_3_anytime_all_0914
-0.0151051322500932,-0.0150339994930158,0.0099138387112759,0.0306473836539757,0.12759838700927,0.623746478720492,35234,25357,1,1,1,16,TRUE,FALSE,"","",-0.034536256124194,0.00432599162400751,-0.0751028714548082,0.0450348724687767,baseline,enrol_3_anytime_all_0914
-0.0135611392848984,-0.0226225933511914,0.00961181154822397,0.0297420614727544,0.158279183933315,0.446880322903651,33004,24213,1,1,1,16,TRUE,FALSE,"","",-0.0324002899194174,0.00527801134962054,-0.0809170338377901,0.0356718471354072,conditional on enrollment,enrol_3_anytime_all_0914
-0.0212743712692216,-0.0456268278035452,0.0547265087631541,0.0596540219295025,0.69746864821129,0.444356386533049,25364,21638,1,0.851795299199345,2.18742063955361,16,TRUE,FALSE,"","",-0.128538328445004,0.0859895859065604,-0.16254871078537,0.0712950551782796,baseline,quality
-0.0212743712692216,-0.0456268278035452,0.0547265087631541,0.0596540219295025,0.69746864821129,0.444356386533049,25364,21638,1,0.851795299199345,2.18742063955361,16,TRUE,FALSE,"","",-0.128538328445004,0.0859895859065604,-0.16254871078537,0.0712950551782796,conditional on enrollment,quality
0.00139633300686626,-0.139872225553994,0.0442230590680422,0.132298654798879,0.974811162389562,0.290399324250666,33004,24213,1,1,1,16,TRUE,FALSE,"","",-0.0852808627664965,0.088073528780229,-0.399177588959796,0.119433137851809,baseline,quality
0.00139633300686626,-0.139872225553994,0.0442230590680422,0.132298654798879,0.974811162389562,0.290399324250666,33004,24213,1,1,1,16,TRUE,FALSE,"","",-0.0852808627664965,0.088073528780229,-0.399177588959796,0.119433137851809,conditional on enrollment,quality
0.00391161589828926,-0.0217718455964473,0.0724420132233998,0.0820531325027567,0.956937944728229,0.790748797555894,17020,18393,1,0.717607738301003,1.66492845826115,16,TRUE,FALSE,"","",-0.138074730019574,0.145897961816153,-0.18259598530185,0.139052294108956,baseline,quality_bacyear_plus1
0.00619424897271159,-0.0203149853478095,0.0706369998929108,0.0793478235892501,0.930122050062706,0.797931934096517,17868,18618,1,0.731681694299102,1.73210750867505,16,TRUE,FALSE,"","",-0.132254270817394,0.144642768762817,-0.17583671958274,0.135206748887121,conditional on enrollment,quality_bacyear_plus1
0.0205953499278024,-0.051754165527619,0.0443053952249098,0.13242976210474,0.642039089559848,0.695941644844269,31840,23780,1,1,1,16,TRUE,FALSE,"","",-0.0662432247130209,0.107433924568626,-0.311316499252909,0.207808168197671,baseline,quality_bacyear_plus1
0.0176543211212987,-0.0537153532749457,0.044708024019594,0.133756382816303,0.692931176770274,0.68798508891675,31213,23384,1,1,1,16,TRUE,FALSE,"","",-0.0699734059571055,0.105282048199703,-0.3158778635949,0.208447157045008,conditional on enrollment,quality_bacyear_plus1
-0.0472242924520856,-0.0633337170636636,0.086889248816905,0.10204576010009,0.586785704001338,0.534836279591839,12624,15808,1,0.646391577586704,1.39664947435445,16,TRUE,FALSE,"","",-0.217527220133219,0.123078635229048,-0.263343406859839,0.136675972732512,baseline,quality_bacyear_plus2
-0.0757921049077339,-0.0954468330538276,0.0952329215404727,0.110269585117188,0.426113217753831,0.386722091586722,11295,14906,1,0.622753168285149,1.37733031251006,16,TRUE,FALSE,"","",-0.26244863112706,0.110864421311593,-0.311575219883515,0.12068155377586,conditional on enrollment,quality_bacyear_plus2
0.0119617091960436,-0.0761365061969386,0.0432044677994628,0.129951799186564,0.781885470696004,0.557954368471129,28290,22521,1,1,1,16,TRUE,FALSE,"","",-0.0727190476909034,0.0966424660829906,-0.330842032602604,0.178569020208726,baseline,quality_bacyear_plus2
