coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,gender,mean_y,outcome,bandwidth
-0.0118119488229214,-0.01727513918242,0.0220168311506181,0.0245268944812319,0.591615580680382,0.481224455013666,5391,6818,1,0.598031959367091,1.41487125656986,16,TRUE,FALSE,"","",-0.0549649378781329,0.0313410402322901,-0.0653478523656344,0.0307975740007945,Male,0.950122649223221,enrol_year_bac_all_0914,mse
0.00616179115716209,0.00497514997514514,0.00880670462434425,0.0108061398078942,0.484133122718258,0.645228921668372,18529,14244,1,0.937738871601729,1.86679151626877,16,TRUE,FALSE,"","",-0.0110993499065526,0.0234229322208768,-0.0162048840483275,0.0261551839986178,Female,0.939472632840591,enrol_year_bac_all_0914,mse
-0.0184753921229444,-0.0271070231765411,0.00908317717770296,0.0281469799781175,0.041949267315175,0.33552111068617,14691,10485,1,1,1,16,TRUE,FALSE,**,"",-0.0362784193912422,-0.000672364854646546,-0.0822751039336515,0.0280610575805693,Male,0.950122649223221,enrol_year_bac_all_0914,"(15, 17)"
0.00467930810323214,0.0285892274916306,0.00809746043699347,0.0252362903184001,0.563349502758151,0.257272323693429,20543,14872,1,1,1,16,TRUE,FALSE,"","",-0.0111917143532751,0.0205503305597393,-0.0208739015324335,0.0780523565156948,Female,0.939472632840591,enrol_year_bac_all_0914,"(15, 17)"
-0.00190682074175896,-0.00380017674675326,0.00634931914441109,0.00750760677568743,0.763933894020936,0.612732505153826,13991,10274,1,0.958700353033447,2.00914203596676,16,TRUE,FALSE,"","",-0.0143514862648047,0.0105378447812868,-0.0185150860271006,0.0109147325335941,Male,0.977105478331971,enrol_anytime_all_0914,mse
-0.0024992042556935,-0.00308189132375381,0.00415583898216794,0.00509974561653753,0.54759239509736,0.545629210569697,34566,18483,1,1.34390497508175,2.56930517343595,16,TRUE,FALSE,"","",-0.0106446486607427,0.00564624014935566,-0.0130773927321674,0.00691361008465975,Female,0.970035956851778,enrol_anytime_all_0914,mse
-0.00150859508485812,0.00406688629724172,0.00602458914633896,0.0185745075686505,0.802273157099595,0.826689086439097,14691,10485,1,1,1,16,TRUE,FALSE,"","",-0.0133167898116825,0.0102995996419662,-0.0323391485373133,0.0404729211317967,Male,0.977105478331971,enrol_anytime_all_0914,"(15, 17)"
0.000746192778951382,0.0271945545217935,0.00580769881342919,0.0183414528239422,0.89776644931449,0.138158737092551,20543,14872,1,1,1,16,TRUE,FALSE,"","",-0.0106368968953698,0.0121292824532726,-0.0087546930131331,0.0631438020567202,Female,0.970035956851778,enrol_anytime_all_0914,"(15, 17)"
-0.0260446915895591,-0.0340710837159959,0.0229519219443222,0.0262430731567684,0.256480114736831,0.194188169092498,9854,8852,1,0.797173323067705,1.81035121292883,16,TRUE,FALSE,"","",-0.0710304586004306,0.0189410754213124,-0.0855075071032619,0.0173653396712701,Male,0.778413736713001,enrol_2_ontime_all_0914,mse
0.0204316290158386,0.0167837072002484,0.0167846156265601,0.0203228614912187,0.223496520385056,0.408887175765261,19459,14550,1,0.954661359197011,1.92275493906792,16,TRUE,FALSE,"","",-0.0124662176122192,0.0533294756438964,-0.0230491013225404,0.0566165157230371,Female,0.685377546943668,enrol_2_ontime_all_0914,mse
