coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,outcome
-0.00534584640596636,-0.00767938334817453,0.00635903553527904,0.00731143295122613,0.400533183799986,0.293568555584764,33599,24826,1,0.960545038515205,2.10233706572775,16,TRUE,no_controls,"","",-0.0178095560551133,0.00711786324318055,-0.0220097919325777,0.00665102523622869,enrol_year_bac_all_0914
-0.00523909025982248,-0.00755121883972331,0.00632611977963923,0.00728084121058992,0.407575337220031,0.299672715849028,33599,24826,1,0.96419805229132,2.10610562854202,16,TRUE,gender_only,"","",-0.0176382850279154,0.00716010450827041,-0.0218216676124796,0.00671922993303294,enrol_year_bac_all_0914
-0.00259842621717945,-0.00544354448347626,0.00876734289776544,0.0100641952780006,0.766943282764876,0.588588753106313,21646,20890,1,0.76605792273853,1.7332094902222,16,TRUE,all,"","",-0.0197824182967997,0.0145855658624408,-0.0251693672283575,0.014282278261405,enrol_year_bac_all_0914
-0.00506158203804352,0.00512460510088664,0.00604371805470093,0.0187938972637738,0.402314536342577,0.785103906095385,35234,25357,1,1,1,16,TRUE,no_controls,"","",-0.0169072694252573,0.0067841053491703,-0.03171143353611,0.0419606437378833,enrol_year_bac_all_0914
-0.00497188145082629,0.00528237879749892,0.0060433701522303,0.0187928196988807,0.410678537536983,0.778645243686315,35234,25357,1,1,1,16,TRUE,gender_only,"","",-0.0168168869491977,0.00687312404754511,-0.0315515478123073,0.0421163054073051,enrol_year_bac_all_0914
-0.00550342746789822,-0.000803002524351324,0.00595474545841127,0.018465021772628,0.355377674808369,0.965312717554809,35234,25357,1,1,1,16,TRUE,all,"","",-0.0171747285663843,0.00616787363058788,-0.0369944451987021,0.0353884401499995,enrol_year_bac_all_0914
-0.000489338571081799,-0.00179496154207071,0.00407352600423237,0.0047756592938785,0.904382911347251,0.707023743976402,36991,26327,1,1.02605322628628,2.17120686218218,16,TRUE,no_controls,"","",-0.00847344953937724,0.00749477239721364,-0.0111552537580726,0.00756533067393116,enrol_anytime_all_0914
-0.00029064466052176,-0.00163776641140154,0.00412359284291674,0.00482432018232777,0.943808947940809,0.734247193829176,36894,25853,1,1.01537965905669,2.15510446111079,16,TRUE,gender_only,"","",-0.00837288663263857,0.00779159731159505,-0.011093433968764,0.0078179011459609,enrol_anytime_all_0914
-0.00199093276778018,-0.0019749677169721,0.0031690715827748,0.00391441063205088,0.529847714854517,0.613883580253069,53459,30249,1,1.2631347982366,2.42335771269723,16,TRUE,all,"","",-0.0082023130700188,0.00422044753445843,-0.00964721255579183,0.00569727712184763,enrol_anytime_all_0914
-0.000353876686280508,0.0171502954224398,0.00421325756975607,0.013176672252769,0.933063404446308,0.193065130917394,35234,25357,1,1,1,16,TRUE,no_controls,"","",-0.0086118615230024,0.00790410815044139,-0.0086759821929874,0.0429765730378671,enrol_anytime_all_0914
