coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,variable,donut,bandwidth,mean_y,category,variable_lab
0.180519353659529,0.188470315857702,0.0279387167547221,0.0289517152813357,0.000000000103833737707405,0.0000000000752433195383808,6049,21245,1,0.361833255779638,1.10337108053191,16,***,***,0.125759468820274,0.235279238498784,0.131724953906284,0.24521567780912,female,No Donut,MSE-Optimal,0.577060518731989,Demographic,Female
0.0715868346166647,0.142536165810032,0.00927479544037763,0.018611162356484,0.000000000000011777377525431,0.0000000000000187914418433267,39274,35879,1,1,1,16,***,***,0.0534082355535245,0.0897654336798049,0.106058287591324,0.179014044028741,female,No Donut,"(15, 17)",0.577060518731989,Demographic,Female
0.0264359193740336,0.0353210667844335,0.0297054687912646,0.0326832620537864,0.373501096359818,0.279826968668864,13831,17209,1,0.610682648592526,1.49300319526493,16,"","",-0.0317867994568451,0.0846586382049122,-0.0287381268409878,0.0993802604098548,female,"Donut [15.7, 16.05]",MSE-Optimal,0.577060518731989,Demographic,Female
0.0261882653362093,0.0460623455725575,0.0129163213191874,0.0393432332596999,0.0426079519272022,0.241686453133425,35234,25357,1,1,1,16,**,"",0.000872275550602125,0.0515042551218165,-0.0310503916164543,0.123175082761569,female,"Donut [15.7, 16.05]","(15, 17)",0.577060518731989,Demographic,Female
-0.106417522269094,-0.114872916017692,0.0237340073163502,0.0253536666308683,0.00000733401649976862,0.00000587550066723183,16744,27166,1,0.597401207647947,1.56353228321783,16,***,***,-0.152936176609141,-0.0598988679290477,-0.164566102614194,-0.0651797294211901,age,No Donut,MSE-Optimal,18.0872622478386,Demographic,Age
-0.0345807436725956,-0.124782230680033,0.0132266386426714,0.0284670737007668,0.00893641542366255,0.0000116847706881325,39274,35879,1,1,1,16,***,***,-0.0605049554122314,-0.00865653193295971,-0.180577695133536,-0.0689867662265302,age,No Donut,"(15, 17)",18.0872622478386,Demographic,Age
0.0201570605472341,0.02842980197304,0.0210232360340495,0.0235122916886027,0.337659944511852,0.22660662005873,27049,22675,1,0.858670497074039,2.01740334820048,16,"","",-0.0210484820795029,0.0613626031739711,-0.0176542897366213,0.0745138936827013,age,"Donut [15.7, 16.05]",MSE-Optimal,18.0872622478386,Demographic,Age
0.0141729869420999,0.0299680628614354,0.0170204464797447,0.0529941787858867,0.405011917511404,0.571735587925546,35234,25357,1,1,1,16,"","",-0.0191870881581997,0.0475330620423995,-0.0739005275589025,0.133836653281773,age,"Donut [15.7, 16.05]","(15, 17)",18.0872622478386,Demographic,Age
-0.0255676765477801,-0.0289976559499792,0.0347614696217503,0.0426454760874325,0.462024258001958,0.496523284812981,34964,34811,1,0.921710790133426,1.62511595107714,16,"","",-0.0937001570064108,0.0425648039108505,-0.112582789081347,0.0545874771813886,year_bac,No Donut,MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
-0.0212265775887772,-0.0861633355621052,0.0322971968175854,0.0645373466126711,0.511035209653998,0.181846032626363,39274,35879,1,1,1,16,"","",-0.0845290833512446,0.0420759281736902,-0.21265653492294,0.0403298637987301,year_bac,No Donut,"(15, 17)",2011.78847262248,Demographic,HS Grad. Year
0.0339623221934744,0.0449070767554076,0.0486015525755761,0.0589850782333014,0.484682722430503,0.446460318788051,31952,24779,1,0.947464446184135,1.89953395878925,16,"","",-0.0612967208546548,0.129221365241604,-0.0707036765818632,0.160517830092678,year_bac,"Donut [15.7, 16.05]",MSE-Optimal,2011.78847262248,Demographic,HS Grad. Year
0.0316449327674491,0.0844691144930039,0.0453437688560121,0.138658092911596,0.485246403563631,0.542398551499151,35234,25357,1,1,1,16,"","",-0.0572288541903347,0.120518719725233,-0.187300747613725,0.356238976599732,year_bac,"Donut [15.7, 16.05]","(15, 17)",2011.78847262248,Demographic,HS Grad. Year
-0.00153762825314741,-0.00343348604493565,0.0107194959877933,0.0129033802367336,0.885940944556136,0.790168368520476,24847,30785,1,0.747589889309139,1.3878622180895,16,"","",-0.0225478403892223,0.0194725838829274,-0.0287241113089334,0.0218571392190621,ses_very_high,No Donut,MSE-Optimal,0.243804034582133,Parent SES,Very High SES
0.00106245315412667,-0.00709403343918025,0.00814103605065832,0.0161280210307179,0.896166194567083,0.660040209925939,39274,35879,1,1,1,16,"","",-0.0148939775051636,0.017018883813417,-0.0387049546593873,0.0245168877810268,ses_very_high,No Donut,"(15, 17)",0.243804034582133,Parent SES,Very High SES
0.0192612437819335,0.0207143723874854,0.00993424543268525,0.0122645816298673,0.0525167610142802,0.0912273363751541,44163,28257,1,1.13055234619901,2.10105965009568,16,*,*,-0.000209877266129581,0.0387323648299966,-0.00332420760705455,0.0447529523820254,ses_very_high,"Donut [15.7, 16.05]",MSE-Optimal,0.243804034582133,Parent SES,Very High SES
0.0177410570145653,0.0213539370883433,0.0114380934117735,0.03444783618936,0.120889655436679,0.535328911837588,35234,25357,1,1,1,16,"","",-0.00467760607251082,0.0401597201016414,-0.0461638218428022,0.0888716960194889,ses_very_high,"Donut [15.7, 16.05]","(15, 17)",0.243804034582133,Parent SES,Very High SES
0.0044559628522157,0.00621728068312322,0.00679097222784822,0.00814233011632025,0.511721323270357,0.445120481501739,39274,35879,1,0.996739161696773,1.8094025435221,16,"","",-0.00885434271436681,0.0177662684187982,-0.00974168634486447,0.0221762477111109,ses_high,No Donut,MSE-Optimal,0.165878962536023,Parent SES,High SES
0.0043980489504831,0.0271664903132268,0.00677402806988636,0.0128911310304735,0.516175727212937,0.0350847975864438,39274,35879,1,1,1,16,"",**,-0.00887904606649417,0.0176751439674604,0.00189987349349867,0.0524331071329549,ses_high,No Donut,"(15, 17)",0.165878962536023,Parent SES,High SES
-0.013945089169041,-0.0176709611430729,0.0111432205502821,0.012996692649032,0.210773427028277,0.173940513147782,30242,23793,1,0.90163274408363,1.950433559099,16,"","",-0.035785801447594,0.00789562310951194,-0.0431444787351756,0.00780255644902977,ses_high,"Donut [15.7, 16.05]",MSE-Optimal,0.165878962536023,Parent SES,High SES
-0.0130128323052554,-0.0257531682500709,0.00973972256120295,0.0293606027983405,0.181530381576066,0.380414131609182,35234,25357,1,1,1,16,"","",-0.0321026885252131,0.00607702391470244,-0.0832999497348182,0.0317936132346764,ses_high,"Donut [15.7, 16.05]","(15, 17)",0.165878962536023,Parent SES,High SES
