outcomes,mean_y,var
enrol_2_ontime_all_0914,0.782608695652174,outcomes_notexpensive_cities_same_au_mse
enrol_2_anytime_all_0914,0.931844888366627,outcomes_notexpensive_cities_same_au_mse
enrol_3_ontime_all_0914,0.556991774383079,outcomes_notexpensive_cities_same_au_mse
enrol_3_anytime_all_0914,0.787309048178613,outcomes_notexpensive_cities_same_au_mse
quality,12.9104826877748,outcomes_notexpensive_cities_same_au_mse
quality_bacyear_plus1,13.0439291338526,outcomes_notexpensive_cities_same_au_mse
quality_bacyear_plus2,13.1886014550361,outcomes_notexpensive_cities_same_au_mse
tot_enrol_yrs,5.39482961222092,outcomes_notexpensive_cities_same_au_mse
max_enrol_degetu,4.23207990599295,outcomes_notexpensive_cities_same_au_mse
grad_5_all,0.648690292758089,outcomes_notexpensive_cities_same_au_mse
grad_9_all,0.834360554699538,outcomes_notexpensive_cities_same_au_mse
max_ects_credits,267.39702970297,outcomes_notexpensive_cities_same_au_mse
master_anytime_all,0.629259694477086,outcomes_notexpensive_cities_same_au_mse
master_select_anytime_all,0.278495887191539,outcomes_notexpensive_cities_same_au_mse
quality_first_grad_degree,13.5475405075644,outcomes_notexpensive_cities_same_au_mse
